TAI SAN,,,,,,
A. TAI SAN NGAN HAN,,417397,347424,290720,315128,
I. Tien va cac khoan tuong duong tien,,76819,50467,36413,45398,
1. Tien,,12289,15244,18264,17084,
2. Cac khoan tuong duong tien,,64530,35223,18149,28315,
II. Dau tu tai chinh ngan han,,,,,,
1. Chung khoan kinh doanh,,,,,,
2. Du phong giam gia chung khoan kinh doanh (*),,,,,,
3. Dau tu nam giu den ngay dao han,,,,,,
III. Cac khoan phai thu ngan han,,113448,98594,113236,108003,
1. Phai thu ngan han cua khach hang,,86386,76356,84076,63276,
2. Tra truoc cho nguoi ban ngan han,,8033,7344,12524,13823,
3. Phai thu noi bo ngan han,,,,,,
4. Phai thu theo tien do ke hoach hop dong xay dung,,,,,,
5. Phai thu ve cho vay ngan han,,200,200,200,200,
6. Phai thu ngan han khac,,21487,18806,20328,34087,
7. Du phong phai thu ngan han kho doi (*),,(2701),(4161),(3944),(3439),
8. Tai san thieu cho xu ly,,44,50,52,56,
IV. Hang ton kho,,213908,185963,129336,156701,
1. Hang ton kho,,216243,188483,129646,160125,
2. Du phong giam gia hang ton kho (*),,(2335),(2520),(310),(3424),
V. Tai san ngan han khac,,13222,12401,11734,5025,
1. Chi phi tra truoc ngan han,,8465,8991,8488,1837,
2. Thue GTGT duoc khau tru,,3314,3259,3177,3075,
3. Thue va cac khoan khac phai thu cua nha nuoc,,908,147,5,109,
4. Giao dich mua ban lai trai phieu chinh phu,,,,,,
5. Tai san ngan han khac,,
