TAI SAN,,,,,,
A. TAI SAN NGAN HAN (100=110+130),,11817070,12433103,11884989,12629286,
I. Tai san tai chinh ngan han,,11569592,12185871,11786485,12458638,
1. Tien va cac khoan tuong duong tien,,619984,447264,308565,311764,
1.1. Tien,,443823,364087,201152,202899,
1.2. Cac khoan tuong duong tien,,176160,83176,107413,108865,
Cac khoan dau tu tai chinh ngan han,,,,,,
+Dau tu ngan han,,,,,,
+Dau tu ngan han cua nguoi uy thac dau tu,,,,,,
Du phong giam gia dau tu ngan han,,,,,,
2. Cac tai san tai chinh ghi nhan thong qua lai lo (FVTPL),,1067366,1336936,1425668,1382262,
3. Cac khoan dau tu nam giu den ngay dao han (HTM),,4705448,5677835,5243744,4944240,
4. Cac khoan cho vay,,4383736,3982582,3779178,3956176,
5. Cac tai san tai chinh san san de ban (AFS),,618310,703888,959826,1835345,
6. Du phong suy giam gia tri tai san tai chinh va tai san the chap,,(31150),(31150),(28431),(20913),
7. Cac khoan phai thu ngan han,,187876,17747,53619,18362,
7.1. Phai thu ban cac tai san tai chinh,,167893,12201,53486,18229,
7.2. Phai thu va du thu co tuc tien lai cac tai san tai chinh,,19982,5546,133,133,
7.2.1. Phai thu co tuc tien lai den ngay nhan,,133,133,133,133,
Trong do: Phai thu kho doi ve co tuc tien lai den ngay nhan nhung chua nhan duoc,,133,,133,,
7.2.2. Du thu co tuc tien lai chua den ngay nhan,,19849,5413,,,
8. Thue GTGT con duoc khau tru,,,,,,
9. Phai thu cac dich vu CTCK cung cap,,9042,12660,36101,25938,
Phai thu hoat dong giao dich chung khoan,,,,,,
10. Phai thu noi bo ngan han,,,,,,
11. Phai thu ve loi giao dich chung khoan,,,,,,
12. Cac khoan phai thu khac,,13776,42905,24138,3408,
13. Du phong suy giam gia tri cac khoan phai thu,,(4797),(4797),(15922),(15663),
Du phong cac khoan phai thu ngan han kho doi,,,,,,
Phai thu khach hang,,,,,,
Tra truoc cho nguoi ban,,,,,17718,
Hang ton kho,,,,,,
Hang ton kho (chi tiet),,,,,,
Du phong giam gia hang ton kho,,,,,,
II. Tai san ngan han khac,,247478,247232,98504,170649,
1. Tam ung,,8880,10534,9232,10307,
2. Vat tu van phong cong cu dung cu,,,,,,
3. Chi phi tra truoc ngan han,,8101,6419,7665,8979,
4. Cam co the chap ky quy ky cuoc ngan han,,710,751,893,882,
Thue va cac khoan khac phai thu cua nha nuoc,,,,,,
Giao dich mua ban lai trai phieu Chinh phu (TS),,,,,,
5. Tai san ngan han khac,,229788,229528,80713,150481,
6. Du phong suy giam gia tri tai san ngan han khac,,,,,,
B. TAI SAN DAI HAN (200=210+220+240+250-260),,1689840,1482188,1342980,2335151,
I. Tai san tai chinh dai han,,1188728,983278,750344,1742378,
1. Cac khoan phai thu dai han,,,,,,
1.1. Phai thu dai han cua khach hang,,,,,,
1.2. Von kinh doanh o cac don vi truc thuoc,,,,,,
1.3. Phai thu dai han noi bo,,,,,,
1.4. Phai thu dai han khac,,,,,,
1.5. Du phong phai thu dai han kho doi,,,,,,
2. Cac khoan dau tu,,1188728,983278,750344,1742378,
2.1. Cac khoan dau tu nam giu den ngay dao han,,521318,300378,41007,1019067,
2.2. Dau tu vao cong ty con,,,,,,
2.3 Dau tu vao cong ty lien ket lien doanh,,667410,682900,709337,723310,
2.4 Dau tu chung khoan dai han,,,,,,
- Chung khoan san sang de ban,,,,,,
- Chung khoan nam giu den ngay dao han,,,,,,
2.5 Dau tu dai han khac,,,,,,
2.6 Du phong giam gia dau tu dai han,,,,,,
II. Tai san co dinh,,133728,131816,131417,141827,
1. Tai san co dinh huu hinh,,14683,13579,12569,21691,
- Nguyen gia,,89868,89907,89953,100404,
- Gia tri hao mon luy ke,,(75185),(76328),(77384),(78713),
- Danh gia TSCDHH theo gia tri hop ly,,,,,,
2. Tai san co dinh thue tai chinh,,,,,,
- Nguyen gia,,,,,,
- Gia tri hao mon luy ke,,,,,,
- Danh gia TSCDTTC theo gia tri hop ly,,,,,,
