TAI SAN,,,,,,
A. TAI SAN NGAN HAN,,740995,940546,797749,1681908,
I. Tien va cac khoan tuong duong tien,,325537,432137,194244,685735,
1. Tien,,146337,118947,119254,231565,
2. Cac khoan tuong duong tien,,179200,313190,74990,454170,
II. Dau tu tai chinh ngan han,,67173,175289,258320,669449,
1. Chung khoan kinh doanh,,2590,2590,2590,2590,
2. Du phong giam gia chung khoan kinh doanh (*),,(1104),(1104),(1145),(1145),
3. Dau tu nam giu den ngay dao han,,65687,173803,256875,668004,
III. Cac khoan phai thu ngan han,,281816,261522,303239,290820,
1. Phai thu ngan han cua khach hang,,246125,199034,261648,244263,
2. Tra truoc cho nguoi ban ngan han,,21453,40652,21079,21751,
3. Phai thu noi bo ngan han,,,142,,,
4. Phai thu theo tien do ke hoach hop dong xay dung,,,,,,
5. Phai thu ve cho vay ngan han,,,,,,
6. Phai thu ngan han khac,,56669,64259,63401,64868,
7. Du phong phai thu ngan han kho doi (*),,(42703),(42838),(43163),(40335),
8. Tai san thieu cho xu ly,,273,273,273,273,
IV. Hang ton kho,,54264,61360,27592,24513,
1. Hang ton kho,,55048,62143,28351,25272,
2. Du phong giam gia hang ton kho (*),,(783),(783),(759),(759),
V. Tai san ngan han khac,,12204,10238,14354,11392,
1. Chi phi tra truoc ngan han,,7157,7590,4562,7141,
2. Thue GTGT duoc khau tru,,4619,2547,9786,4136,
3. Thue va cac khoan khac phai thu cua nha nuoc,,321,101,6,115,
4. Giao dich mua ban lai trai phieu chinh phu,,,,,,
5. Tai san ngan han khac,,106,,,,
B. TAI SAN DAI HAN,,1342545,1436975,1480580,1169928,
I. Cac khoan phai thu dai han,,11428,2874,3817,2500,
1. Phai thu dai han cua khach hang,,,,,,
2. Tra truoc cho nguoi ban dai han,,3974,2446,2242,1834,
3. Von kinh doanh o cac don vi truc thuoc,,,,,,
4. Phai thu noi bo dai han,,,,,,
5. Phai thu ve cho vay dai han,,26,,,,
6. Phai thu dai han khac,,7428,428,1575,666,
7. Du phong phai thu dai han kho doi (*),,,,,,
II. Tai san co dinh,,409073,418133,450825,510717,
1. Tai san co dinh huu hinh,,384394,394859,428868,408696,
- Nguyen gia,,1004266,1025819,1074190,1071291,
- Gia tri hao mon luy ke (*),,(619872),(630961),(645322),(662595),
2. Tai san co dinh thue tai chinh,,,,,,
- Nguyen gia,,,,,,
- Gia tri hao mon luy ke (*),,,,,,
3. Tai san co dinh vo hinh,,24679,23274,21957,102021,
- Nguyen gia,,27207,25920,24679,122884,
- Gia tri hao mon luy ke (*),,(2529),(2645),(2722),(20863),
III. Bat dong san dau tu,,,,,,
- Nguyen gia,,,,,,
- Gia tri hao mon luy ke (*),,,,,,
IV. Tai san do dang dai han,,4585,17509,110800,131639,
1. Chi phi san xuat kinh doanh do dang dai han,,,,,,
2. Chi phi xay dung co ban do dang,,4585,17509,110800,131639,
V. Dau tu tai chinh dai han,,760336,835036,754052,408155,
1. Dau tu vao cong ty con,,,,,,
2. Dau tu vao cong ty lien ket. lien doanh,,672575,434039,433055,407342,
3. Dau tu gop von vao don vi khac,,91322,320997,320997,813,
4. Du phong dau tu tai chinh dai han (*),,(3561),,,,
5. Dau tu nam giu den ngay dao han,,,80000,,,
6. Dau tu dai han khac,,,,,,
VI. Tai san dai han khac,,15892,26851,28077,24039,
1. Chi phi tra truoc dai han,,15460,20965,19583,14668,
2. Tai san thue thu nhap hoan lai,,432,5887,8494,9372,
3. Thiet bi vat tu phu tung thay the dai han,,,,,,
4. Tai san dai han khac,,,,,,
VII. Loi the thuong mai,,141231,136572,133009,92879,
TONG CONG TAI SAN,,2083540,2377521,2278329,2851837,
NGUON VON,,,,,,
A. NO PHAI TRA,,1209400,1077943,1068784,1166924,
I. No ngan han,,548482,408604,397415,455123,
1. Phai tra nguoi ban ngan han,,102110,86664,108055,92827,
2. Nguoi mua tra tien truoc ngan han,,26964,35405,10469,11099,
3. Thue va cac khoan phai nop Nha nuoc,,17880,26991,17578,117869,
4. Phai tra nguoi lao dong,,13530,13639,27392,12433,
5. Chi phi phai tra ngan han,,4219,20803,5525,23589,
6. Phai tra noi bo ngan han,,,,,,
7. Phai tra theo tien do ke hoach hop dong xay dung,,,,,,
