TAI SAN,,,,,,
A. TAI SAN NGAN HAN,,1413464,1662921,1725052,1507992,
I. Tien va cac khoan tuong duong tien,,174573,230848,233345,143746,
1. Tien,,145939,169056,154180,110593,
2. Cac khoan tuong duong tien,,28635,61792,79165,33153,
II. Dau tu tai chinh ngan han,,46796,50476,46294,46390,
1. Chung khoan kinh doanh,,54425,55256,51870,50845,
2. Du phong giam gia chung khoan kinh doanh (*),,(14429),(14429),(15175),(15054),
3. Dau tu nam giu den ngay dao han,,6800,9650,9600,10600,
III. Cac khoan phai thu ngan han,,498610,362772,533670,452034,
1. Phai thu ngan han cua khach hang,,322998,225841,397774,311414,
2. Tra truoc cho nguoi ban ngan han,,103096,73537,66018,77458,
3. Phai thu noi bo ngan han,,,,,,
4. Phai thu theo tien do ke hoach hop dong xay dung,,,,,,
5. Phai thu ve cho vay ngan han,,,,3000,,
6. Phai thu ngan han khac,,72532,63410,67671,63956,
7. Du phong phai thu ngan han kho doi (*),,(16),(16),(794),(794),
8. Tai san thieu cho xu ly,,,,,,
IV. Hang ton kho,,645230,950235,851649,809718,
1. Hang ton kho,,669797,974802,876735,834183,
2. Du phong giam gia hang ton kho (*),,(24567),(24567),(25086),(24465),
V. Tai san ngan han khac,,48255,68590,60095,56104,
1. Chi phi tra truoc ngan han,,11873,9845,12475,15515,
2. Thue GTGT duoc khau tru,,35879,58343,46527,39762,
3. Thue va cac khoan khac phai thu cua nha nuoc,,504,401,1093,826,
4. Giao dich mua ban lai trai phieu chinh phu,,,,,,
5. Tai san ngan han khac,,,,,,
B. TAI SAN DAI HAN,,1592538,1663882,1602269,1642891,
I. Cac khoan phai thu dai han,,156653,185105,135526,142210,
1. Phai thu dai han cua khach hang,,,,,,
2. Tra truoc cho nguoi ban dai han,,,,,,
3. Von kinh doanh o cac don vi truc thuoc,,,,,,
4. Phai thu noi bo dai han,,,,,,
5. Phai thu ve cho vay dai han,,,,,,
6. Phai thu dai han khac,,162619,191071,139676,146360,
7. Du phong phai thu dai han kho doi (*),,(5966),(5966),(4150),(4150),
II. Tai san co dinh,,279326,243779,249048,339809,
1. Tai san co dinh huu hinh,,209183,215898,221195,311562,
- Nguyen gia,,329469,339195,351436,453399,
- Gia tri hao mon luy ke (*),,(120287),(123297),(130241),(141837),
2. Tai san co dinh thue tai chinh,,,,,,
- Nguyen gia,,,,,,
- Gia tri hao mon luy ke (*),,,,,,
3. Tai san co dinh vo hinh,,70143,27881,27852,28247,
- Nguyen gia,,81726,34251,34342,35773,
- Gia tri hao mon luy ke (*),,(11583),(6370),(6490),(7525),
III. Bat dong san dau tu,,725974,662814,656961,724863,
- Nguyen gia,,862913,805607,805607,879362,
- Gia tri hao mon luy ke (*),,(136939),(142792),(148646),(154499),
IV. Tai san do dang dai han,,226892,354905,331438,137947,
1. Chi phi san xuat kinh doanh do dang dai han,,,,,,
2. Chi phi xay dung co ban do dang,,226892,354905,331438,137947,
V. Dau tu tai chinh dai han,,186370,199958,204008,277357,
1. Dau tu vao cong ty con,,,,,,
2. Dau tu vao cong ty lien ket. lien doanh,,173954,183943,191593,264942,
3. Dau tu gop von vao don vi khac,,12415,16015,12415,12415,
4. Du phong dau tu tai chinh dai han (*),,,,,,
5. Dau tu nam giu den ngay dao han,,,,,,
6. Dau tu dai han khac,,,,,,
VI. Tai san dai han khac,,17324,17321,25288,20704,
1. Chi phi tra truoc dai han,,14733,14730,21749,17542,
2. Tai san thue thu nhap hoan lai,,2591,2591,3539,3162,
3. Thiet bi vat tu phu tung thay the dai han,,,,,,
4. Tai san dai han khac,,,,,,
VII. Loi the thuong mai,,,,,,
TONG CONG TAI SAN,,3006002,3326803,3327321,3150882,
NGUON VON,,,,,,
A. NO PHAI TRA,,1931920,2196980,2155579,1979443,
I. No ngan han,,1383655,1564084,1585763,1420313,
1. Phai tra nguoi ban ngan han,,151976,107048,183653,127192,
2. Nguoi mua tra tien truoc ngan han,,142645,110946,123040,93589,
3. Thue va cac khoan phai nop Nha nuoc,,27003,17429,41023,13714,
4. Phai tra nguoi lao dong,,33161,41977,65249,31873,
5. Chi phi phai tra ngan han,,44811,45286,42371,37342,
6. Phai tra noi bo ngan han,,,,,,
7. Phai tra theo tien do ke hoach hop dong xay dung,,,,,,
8. Doanh thu chua thuc hien ngan han,,15813,12338,108,5055,
9. Phai tra ngan han khac,,153370,153894,159559,246350,
10. Vay va no thue tai chinh ngan han,,802481,1064058,948411,849397,
11. Du phong phai tra ngan han,,798,1085,185,184,
12. Quy khen thuong phuc loi,,11597,10024,22165,15617,
13. Quy binh on gia,,,,,,
14. Giao dich mua ban lai trai phieu Chinh phu,,,,,,
II. No dai han,,548265,632896,569816,559130,
1. Phai tra nguoi ban dai han,,,,,,
2. Nguoi mua tra tien truoc dai han,,,,,,
3. Chi phi phai tra dai han,,,,,,
4. Phai tra noi bo ve von kinh doanh,,,,,,
5. Phai tra noi bo dai han,,,,,,
6. Doanh thu chua thuc hien dai han,,99383,99585,97015,90560,
7. Phai tra dai han khac,,179617,173231,103643,110790,
8. Vay va no thue tai chinh dai han,,269265,360080,369158,357779,
9. Trai phieu chuyen doi,,,,,,
10. Co phieu uu dai (No),,,,,,
11. Thue thu nhap hoan lai phai tra,,,,,,
12. Du phong phai tra dai han,,,,,,
13. Quy phat trien khoa hoc va cong nghe,,,,,,
14. Du phong tro cap mat viec lam,,,,,,
B. VON CHU SO HUU,,1074083,1129823,1171741,1171440,
I. Von chu so huu,,1074083,1129823,1171741,1171440,
1. Von gop cua chu so huu,,249956,249956,249956,249956,
- Co phieu pho thong co quyen bieu quyet,,249956,249956,249956,249956,
- Co phieu uu dai,,,,,,
2. Thang du von co phan,,317065,317065,317065,317065,
3. Quyen chon chuyen doi trai phieu,,,,,,
4. Von khac cua chu so huu,,,2550,2550,4650,
5. Co phieu quy (*),,(690),(690),(690),(690),
6. Chenh lech danh gia lai tai san,,,,,,
7. Chenh lech ty gia hoi doai,,,,,,
8. Quy dau tu phat trien,,43529,42624,46601,46840,
9. Quy ho tro sap xep doanh nghiep,,,,,,
10. Quy khac thuoc von chu so huu,,,,,,
11. Loi nhuan sau thue chua phan phoi,,203606,228459,257589,249558,
- LNST chua phan phoi luy ke den cuoi ky truoc,,,,,,
- LNST chua phan phoi ky nay,,,,,,
12. Nguon von dau tu XDCB,,,,,,
13. Loi ich co dong khong kiem soat,,260617,289861,298671,304062,
14. Quy du phong tai chinh,,,,,,
II. Nguon kinh phi va quy khac,,,,,,
1. Nguon kinh phi,,,,,,
2. Nguon kinh phi da hinh thanh TSCD,,,,,,
C. LOI ICH CO DONG THIEU SO,,,,,,
TONG CONG NGUON VON,,3006002,3326803,3327321,3150882,
