TAI SAN,,,,,,
A. TAI SAN NGAN HAN,,1011888,1018513,1049673,1035438,
I. Tien va cac khoan tuong duong tien,,406466,295184,63854,349902,
1. Tien,,74666,83184,63854,28902,
2. Cac khoan tuong duong tien,,331800,212000,,321000,
II. Dau tu tai chinh ngan han,,,,255000,,
1. Chung khoan kinh doanh,,,,,,
2. Du phong giam gia chung khoan kinh doanh (*),,,,,,
3. Dau tu nam giu den ngay dao han,,,,255000,,
III. Cac khoan phai thu ngan han,,104467,82369,87486,116294,
1. Phai thu ngan han cua khach hang,,98526,79474,82895,114601,
2. Tra truoc cho nguoi ban ngan han,,1479,975,1275,881,
3. Phai thu noi bo ngan han,,,,,,
4. Phai thu theo tien do ke hoach hop dong xay dung,,,,,,
5. Phai thu ve cho vay ngan han,,,,,,
6. Phai thu ngan han khac,,4462,1920,3316,811,
7. Du phong phai thu ngan han kho doi (*),,,,,,
8. Tai san thieu cho xu ly,,,,,,
IV. Hang ton kho,,479769,627808,609292,541756,
1. Hang ton kho,,487777,639412,621856,542988,
2. Du phong giam gia hang ton kho (*),,(8007),(11603),(12564),(1231),
V. Tai san ngan han khac,,21186,13152,34041,27485,
1. Chi phi tra truoc ngan han,,543,698,1367,1487,
2. Thue GTGT duoc khau tru,,20628,12078,32044,25722,
3. Thue va cac khoan khac phai thu cua nha nuoc,,,376,630,276,
4. Giao dich mua ban lai trai phieu chinh phu,,,,,,
5. Tai san ngan han khac,,15,,,,
B. TAI SAN DAI HAN,,210701,190924,176309,158445,
I. Cac khoan phai thu dai han,,,,,,
1. Phai thu dai han cua khach hang,,,,,,
2. Tra truoc cho nguoi ban dai han,,,,,,
3. Von kinh doanh o cac don vi truc thuoc,,,,,,
4. Phai thu noi bo dai han,,,,,,
5. Phai thu ve cho vay dai han,,,,,,
6. Phai thu dai han khac,,,,,,
7. Du phong phai thu dai han kho doi (*),,,,,,
II. Tai san co dinh,,208033,188271,170793,138018,
1. Tai san co dinh huu hinh,,179850,167190,151766,127756,
- Nguyen gia,,452599,470656,486786,497094,
- Gia tri hao mon luy ke (*),,(272748),(303466),(335020),(369337),
2. Tai san co dinh thue tai chinh,,,,,,
- Nguyen gia,,,,,,
- Gia tri hao mon luy ke (*),,,,,,
3. Tai san co dinh vo hinh,,21073,19992,19027,10262,
- Nguyen gia,,33491,33491,33491,14192,
- Gia tri hao mon luy ke (*),,(12418),(13499),(14464),(3930),
III. Bat dong san dau tu,,,,,,
- Nguyen gia,,,,,,
- Gia tri hao mon luy ke (*),,,,,,
IV. Tai san do dang dai han,,,,2374,1952,
1. Chi phi san xuat kinh doanh do dang dai han,,,,,,
2. Chi phi xay dung co ban do dang,,7110,1090,2374,1952,
V. Dau tu tai chinh dai han,,1824,1824,1824,,
1. Dau tu vao cong ty con,,,,,,
2. Dau tu vao cong ty lien ket. lien doanh,,,,,,
3. Dau tu gop von vao don vi khac,,,,1824,,
4. Du phong dau tu tai chinh dai han (*),,,,,,
5. Dau tu nam giu den ngay dao han,,,,,,
6. Dau tu dai han khac,,1824,1824,,,
VI. Tai san dai han khac,,844,829,1318,18474,
1. Chi phi tra truoc dai han,,,104,711,8945,
2. Tai san thue thu nhap hoan lai,,844,725,606,9529,
3. Thiet bi vat tu phu tung thay the dai han,,,,,,
4. Tai san dai han khac,,,,,,
VII. Loi the thuong mai,,,,,,
TONG CONG TAI SAN,,1222589,1209437,1225982,1193883,
NGUON VON,,,,,,
A. NO PHAI TRA,,813138,771511,778325,707488,
I. No ngan han,,813138,771511,778325,707488,
1. Phai tra nguoi ban ngan han,,469373,401398,332291,236646,
2. Nguoi mua tra tien truoc ngan han,,5920,8432,9590,14816,
3. Thue va cac khoan phai nop Nha nuoc,,8009,11366,4906,16289,
4. Phai tra nguoi lao dong,,20133,26008,26493,38382,
5. Chi phi phai tra ngan han,,2033,2951,2862,33277,
6. Phai tra noi bo ngan han,,,,,,
7. Phai tra theo tien do ke hoach hop dong xay dung,,,,,,
8. Doanh thu chua thuc hien ngan han,,,,,,
9. Phai tra ngan han khac,,2433,2751,3563,1777,
10. Vay va no thue tai chinh ngan han,,298052,311810,395404,350524,
11. Du phong phai tra ngan han,,,,,12181,
12. Quy khen thuong phuc loi,,7185,6796,3217,3595,
13. Quy binh on gia,,,,,,
14. Giao dich mua ban lai trai phieu Chinh phu,,,,,,
II. No dai han,,,,,,
1. Phai tra nguoi ban dai han,,,,,,
2. Nguoi mua tra tien truoc dai han,,,,,,
3. Chi phi phai tra dai han,,,,,,
4. Phai tra noi bo ve von kinh doanh,,,,,,
5. Phai tra noi bo dai han,,,,,,
6. Doanh thu chua thuc hien dai han,,,,,,
7. Phai tra dai han khac,,,,,,
8. Vay va no thue tai chinh dai han,,,,,,
9. Trai phieu chuyen doi,,,,,,
10. Co phieu uu dai (No),,,,,,
11. Thue thu nhap hoan lai phai tra,,,,,,
12. Du phong phai tra dai han,,,,,,
13. Quy phat trien khoa hoc va cong nghe,,,,,,
14. Du phong tro cap mat viec lam,,,,,,
B. VON CHU SO HUU,,409450,437926,447657,486395,
I. Von chu so huu,,409450,437926,447657,486395,
1. Von gop cua chu so huu,,189802,189802,189802,189802,
- Co phieu pho thong co quyen bieu quyet,,,,189802,189802,
- Co phieu uu dai,,,,,,
2. Thang du von co phan,,,,,,
3. Quyen chon chuyen doi trai phieu,,,,,,
4. Von khac cua chu so huu,,,,,,
5. Co phieu quy (*),,,,,,
6. Chenh lech danh gia lai tai san,,,,,,
7. Chenh lech ty gia hoi doai,,,,,,
8. Quy dau tu phat trien,,114197,120523,120523,127497,
9. Quy ho tro sap xep doanh nghiep,,,,,,
10. Quy khac thuoc von chu so huu,,18980,18980,18980,18980,
11. Loi nhuan sau thue chua phan phoi,,86471,108620,118352,150115,
- LNST chua phan phoi luy ke den cuoi ky truoc,,,,63796,83167,
- LNST chua phan phoi ky nay,,,,54556,66949,
12. Nguon von dau tu XDCB,,,,,,
13. Loi ich co dong khong kiem soat,,,,,,
14. Quy du phong tai chinh,,,,,,
II. Nguon kinh phi va quy khac,,,,,,
1. Nguon kinh phi,,,,,,
2. Nguon kinh phi da hinh thanh TSCD,,,,,,
C. LOI ICH CO DONG THIEU SO,,,,,,
TONG CONG NGUON VON,,1222589,1209437,1225982,1193883,
