TAI SAN,,,,,,
A. TAI SAN NGAN HAN,,351453,292536,238657,314438,
I. Tien va cac khoan tuong duong tien,,110719,70107,67873,52313,
1. Tien,,6719,12107,8873,3913,
2. Cac khoan tuong duong tien,,104000,58000,59000,48400,
II. Dau tu tai chinh ngan han,,74000,26000,5000,4500,
1. Chung khoan kinh doanh,,74000,26000,,,
2. Du phong giam gia chung khoan kinh doanh (*),,,,,,
3. Dau tu nam giu den ngay dao han,,,,5000,4500,
III. Cac khoan phai thu ngan han,,153024,182360,162429,252436,
1. Phai thu ngan han cua khach hang,,126061,154678,147598,239509,
2. Tra truoc cho nguoi ban ngan han,,7521,10476,151,970,
3. Phai thu noi bo ngan han,,,,,,
4. Phai thu theo tien do ke hoach hop dong xay dung,,,,,,
5. Phai thu ve cho vay ngan han,,,,,,
6. Phai thu ngan han khac,,19495,17298,14785,12076,
7. Du phong phai thu ngan han kho doi (*),,(53),(92),(105),(118),
8. Tai san thieu cho xu ly,,,,,,
IV. Hang ton kho,,6729,5889,3346,4084,
1. Hang ton kho,,6729,5889,3346,4084,
2. Du phong giam gia hang ton kho (*),,,,,,
V. Tai san ngan han khac,,6982,8180,9,1104,
1. Chi phi tra truoc ngan han,,1134,932,9,95,
2. Thue GTGT duoc khau tru,,3420,4749,,1010,
3. Thue va cac khoan khac phai thu cua nha nuoc,,2057,2210,,,
4. Giao dich mua ban lai trai phieu chinh phu,,,,,,
5. Tai san ngan han khac,,372,289,,,
B. TAI SAN DAI HAN,,443678,601984,610438,520389,
I. Cac khoan phai thu dai han,,,,10719,10719,
1. Phai thu dai han cua khach hang,,,,,,
2. Tra truoc cho nguoi ban dai han,,,,,,
3. Von kinh doanh o cac don vi truc thuoc,,,,,,
4. Phai thu noi bo dai han,,,,,,
5. Phai thu ve cho vay dai han,,,,,,
6. Phai thu dai han khac,,,,10719,10719,
7. Du phong phai thu dai han kho doi (*),,,,,,
II. Tai san co dinh,,322020,450929,345581,312500,
1. Tai san co dinh huu hinh,,274894,449671,345460,
