TAI SAN,,,,,,
A. TAI SAN NGAN HAN,,960142,994563,1171380,1310068,
I. Tien va cac khoan tuong duong tien,,118097,140749,88198,96377,
1. Tien,,75197,94049,37498,32677,
2. Cac khoan tuong duong tien,,42900,46700,50700,63700,
II. Dau tu tai chinh ngan han,,1600,4500,4500,29500,
1. Chung khoan kinh doanh,,3450,6350,,,
2. Du phong giam gia chung khoan kinh doanh (*),,(1850),(1850),,,
3. Dau tu nam giu den ngay dao han,,,,4500,29500,
III. Cac khoan phai thu ngan han,,194228,186692,200231,369199,
1. Phai thu ngan han cua khach hang,,156265,135468,157254,345705,
2. Tra truoc cho nguoi ban ngan han,,25466,40189,38716,21862,
3. Phai thu noi bo ngan han,,,,,,
4. Phai thu theo tien do ke hoach hop dong xay dung,,,,,,
5. Phai thu ve cho vay ngan han,,,,1850,1850,
6. Phai thu ngan han khac,,14518,13416,6826,4199,
7. Du phong phai thu ngan han kho doi (*),,(2022),(2382),(4416),(4416),
8. Tai san thieu cho xu ly,,,,,,
IV. Hang ton kho,,612733,624547,780567,728759,
1. Hang ton kho,,626038,646309,786523,739598,
2. Du phong giam gia hang ton kho (*),,(13305),(21762),(5957),(10838),
V. Tai san ngan han khac,,33484,38075,97885,86232,
1. Chi phi tra truoc ngan han,,3572,6146,13438,7886,
2. Thue GTGT duoc khau tru,,26569,27748,84447,78346,
3. Thue va cac khoan khac phai thu cua nha nuoc,,,2,,,
4. Giao dich mua ban lai trai phieu chinh phu,,,,,,
5. Tai san ngan han khac,,3343,4180,,,
B. TAI SAN DAI HAN,,1029149,1065555,1337877,1510326,
I. Cac khoan phai thu dai han,,,,35,35,
1. Phai thu dai han cua khach hang,,,,,,
2. Tra truoc cho nguoi ban dai han,,,,,,
3. Von kinh doanh o cac don vi truc thuoc,,,,,,
4. Phai thu noi bo dai han,,,,,,
5. Phai thu ve cho vay dai han,,,,,,
6. Phai thu dai han khac,,,,35,35,
7. Du phong phai thu dai han kho doi (*),,,,,,
II. Tai san co dinh,,696803,739787,870879,1178372,
1. Tai san co dinh huu hinh,
