TAI SAN,,,,,,
A. TAI SAN NGAN HAN,,69665,77991,121747,109743,
I. Tien va cac khoan tuong duong tien,,11879,16374,70623,65184,
1. Tien,,11879,10374,7623,13684,
2. Cac khoan tuong duong tien,,,6000,63000,51500,
II. Dau tu tai chinh ngan han,,1878,1858,,,
1. Chung khoan kinh doanh,,1878,1858,,,
2. Du phong giam gia chung khoan kinh doanh (*),,,,,,
3. Dau tu nam giu den ngay dao han,,,,,,
III. Cac khoan phai thu ngan han,,28766,36329,40434,34369,
1. Phai thu ngan han cua khach hang,,22250,30698,24783,25382,
2. Tra truoc cho nguoi ban ngan han,,540,1012,4101,3339,
3. Phai thu noi bo ngan han,,,,,,
4. Phai thu theo tien do ke hoach hop dong xay dung,,,,,,
5. Phai thu ve cho vay ngan han,,,,,,
6. Phai thu ngan han khac,,6363,5007,12147,5649,
7. Du phong phai thu ngan han kho doi (*),,(387),(387),(597),,
8. Tai san thieu cho xu ly,,,,,,
IV. Hang ton kho,,12944,13269,10107,7193,
1. Hang ton kho,,13662,13906,11607,8693,
2. Du phong giam gia hang ton kho (*),,(717),(637),(1500),(1500),
V. Tai san ngan han khac,,14198,10161,582,2996,
1. Chi phi tra truoc ngan han,,842,556,524,546,
2. Thue GTGT duoc khau tru,,1286,730,46,2365,
3. Thue va cac khoan khac phai thu cua nha nuoc,,94,7,12,85,
4. Giao dich mua ban lai trai phieu chinh phu,,,,,,
5. Tai san ngan han khac,,11976,8868,,,
B. TAI SAN DAI HAN,,174160,145279,140977,137073,
I. Cac khoan phai thu dai han,,,,2472,4817,
1. Phai thu dai han cua khach hang,,,,,,
2. Tra truoc cho nguoi ban dai han,,,,,,
3. Von kinh doanh o cac don vi truc thuoc,,,,,,
4. Phai thu noi bo dai han,,,,,,
5. Phai thu ve cho vay dai han,,,,2472,2472,
6. Phai thu dai han khac,,,,,2345,
7. Du phong phai thu dai han kho doi (*),,,,,,
II. Tai san co dinh,,144993,114613,111972,111593,
1. Tai san co dinh huu hinh,,134097,104050,103944,103994,
- Nguyen gia,,200631,169510,175690,186355,
- Gia tri hao mon luy ke (*),,(66533),(65461),(71747),(82361),
2. Tai san co dinh thue tai chinh,,1178,1033,,,
- Nguyen gia,,1396,1396,,,
- Gia tri hao mon luy ke (*),,(218),(364),,,
3. Tai san co dinh vo hinh,,8855,8457,8028,7599,
- Nguyen gia,,12388,12419,12419,12419,
- Gia tri hao mon luy ke (*),,(3533),(3961),(4391),(4820),
III. Bat dong san dau tu,,,,,,
- Nguyen gia,,,,,,
- Gia tri hao mon luy ke (*),,,,,,
IV. Tai san do dang dai han,,,,661,20,
1. Chi phi san xuat kinh doanh do dang dai han,,,,,,
2. Chi phi xay dung co ban do dang,,863,1073,661,20,
V. Dau tu tai chinh dai han,,,,,,
1. Dau tu vao cong ty con,,,,,,
2. Dau tu vao cong ty lien ket. lien doanh,,,,,,
