TAI SAN,,,,,,
A. TAI SAN NGAN HAN,,903541,951663,959750,794310,
I. Tien va cac khoan tuong duong tien,,179225,179006,202751,127788,
1. Tien,,179225,179006,202751,127788,
2. Cac khoan tuong duong tien,,,,,,
II. Dau tu tai chinh ngan han,,,,,11000,
1. Chung khoan kinh doanh,,,,,,
2. Du phong giam gia chung khoan kinh doanh (*),,,,,,
3. Dau tu nam giu den ngay dao han,,,,,11000,
III. Cac khoan phai thu ngan han,,207571,224825,193587,162599,
1. Phai thu ngan han cua khach hang,,178439,193735,150658,133431,
2. Tra truoc cho nguoi ban ngan han,,10264,11507,20829,6435,
3. Phai thu noi bo ngan han,,,,,,
4. Phai thu theo tien do ke hoach hop dong xay dung,,,,,,
5. Phai thu ve cho vay ngan han,,,,,,
6. Phai thu ngan han khac,,21527,21208,25841,26481,
7. Du phong phai thu ngan han kho doi (*),,(2660),(1626),(3742),(3772),
8. Tai san thieu cho xu ly,,,,,23,
IV. Hang ton kho,,459718,455492,511671,463794,
1. Hang ton kho,,461152,457208,513395,465448,
2. Du phong giam gia hang ton kho (*),,(1434),(1716),(1724),(1654),
V. Tai san ngan han khac,,57027,92341,51741,29129,
1. Chi phi tra truoc ngan han,,25712,35752,21706,22129,
2. Thue GTGT duoc khau tru,,25889,50973,26154,4940,
3. Thue va cac khoan khac phai thu cua nha nuoc,,4572,4583,3881,2060,
4. Giao dich mua ban lai trai phieu chinh phu,,,,,,
5. Tai san ngan han khac,,855,1033,,,
B. TAI SAN DAI HAN,,739415,684388,590918,491981,
I. Cac khoan phai thu dai han,,,,8310,3333,
1. Phai thu dai han cua khach hang,,,,,,
2. Tra truoc cho nguoi ban dai han,,,,,,
3. Von kinh doanh o cac don vi truc thuoc,,,,,,
4. Phai thu noi bo dai han,,,,,,
5. Phai thu ve cho vay dai han,,,,,,
6. Phai thu dai han khac,,,,8310,3333,
7. Du phong phai thu dai han kho doi (*),,,,,,
II. Tai san co dinh,,729724,657339,558141,477476,
1. Tai san co dinh huu hinh,,717984,631099,554572,474467,
- Nguyen gia,,1541984,1558115,1598639,1619353,
- Gia tri hao mon luy ke (*),,(824000),(927015),(1044066),(1144886),
2. Tai san co dinh thue tai chinh,,,,,,
- Nguyen gia,,,,,,
- Gia tri hao mon luy ke (*),,,,,,
3. Tai san co dinh vo hinh,,,4069,3569,3009,
- Nguyen gia,,,4439,4495,4495,
- Gia tri hao mon luy ke (*),,,(370),(927),(1486),
III. Bat dong san dau tu,,,,,,
- Nguyen gia,,,,,,
- Gia tri hao mon luy ke (*),,,,,,
IV. Tai san do dang dai han,,,,9123,3468,
1. Chi phi san xuat kinh doanh do dang dai han,,,,,,
2. Chi phi xay dung co ban do dang,,11740,22171,9123,3468,
V. Dau tu tai chinh dai han,,,,,,
1. Dau tu vao cong ty con,,,,,,
2. Dau tu vao cong ty lien ket. lien doanh,,,,,,
3. Dau tu gop von vao don vi khac,,,,,,
4. Du phong dau tu tai chinh dai han (*),,,,,,
5. Dau tu nam giu den ngay dao han,,,,,,
6. Dau tu dai han khac,,,,,,
VI. Tai san dai han khac,,9691,27049,15344,7704,
1. Chi phi tra truoc dai han,,8598,11471,15344,7704,
2. Tai san thue thu nhap hoan lai,,,,,,
3. Thiet bi vat tu phu tung thay the dai han,,,,,,
4. Tai san dai han khac,,1093,15578,,,
VII. Loi the thuong mai,,,,,,
TONG CONG TAI SAN,,1642956,1636052,1550667,1286290,
NGUON VON,,,,,,
A. NO PHAI TRA,,1035988,1030777,901176,619551,
I. No ngan han,,917196,957833,883278,612693,
1. Phai tra nguoi ban ngan han,,296638,278820,254077,207963,
2. Nguoi mua tra tien truoc ngan han,,6897,44609,16330,17857,
3. Thue va cac khoan phai nop Nha nuoc,,611,626,762,410,
4. Phai tra nguoi lao dong,,18234,18420,18561,16487,
5. Chi phi phai tra ngan han,,28040,27323,27143,26796,
6. Phai tra noi bo ngan han,,,,,,
7. Phai tra theo tien do ke hoach hop dong xay dung,,,,,,
8. Doanh thu chua thuc hien ngan han,,,,,,
9. Phai tra ngan han khac,,1407,862,2718,3508,
10. Vay va no thue tai chinh ngan han,,565370,587172,563687,339670,
11. Du phong phai tra ngan han,,,,,,
12. Quy khen thuong phuc loi,,,,,,
13. Quy binh on gia,,,,,,
14. Giao dich mua ban lai trai phieu Chinh phu,,,,,,
II. No dai han,,118791,72944,17897,6858,
1. Phai tra nguoi ban dai han,,,,,,
2. Nguoi mua tra tien truoc dai han,,,,,,
3. Chi phi phai tra dai han,,,,,,
4. Phai tra noi bo ve von kinh doanh,,,,,,
5. Phai tra noi bo dai han,,,,,,
6. Doanh thu chua thuc hien dai han,,,,,,
7. Phai tra dai han khac,,9265,168,168,168,
8. Vay va no thue tai chinh dai han,,109527,72776,17729,6690,
9. Trai phieu chuyen doi,,,,,,
10. Co phieu uu dai (No),,,,,,
11. Thue thu nhap hoan lai phai tra,,,,,,
12. Du phong phai tra dai han,,,,,,
13. Quy phat trien khoa hoc va cong nghe,,,,,,
14. Du phong tro cap mat viec lam,,,,,,
B. VON CHU SO HUU,,588636,587282,649491,666740,
I. Von chu so huu,,588636,587282,649491,666740,
1. Von gop cua chu so huu,,445421,445421,445421,454328,
- Co phieu pho thong co quyen bieu quyet,,,,445421,454328,
- Co phieu uu dai,,,,,,
2. Thang du von co phan,,86521,86521,86521,86521,
3. Quyen chon chuyen doi trai phieu,,,,,,
4. Von khac cua chu so huu,,,,,,
5. Co phieu quy (*),,(67),(67),(67),(77),
6. Chenh lech danh gia lai tai san,,,,,,
7. Chenh lech ty gia hoi doai,,,,,,
8. Quy dau tu phat trien,,63001,63001,50903,45813,
9. Quy ho tro sap xep doanh nghiep,,,,,,
10. Quy khac thuoc von chu so huu,,,,12600,12417,
11. Loi nhuan sau thue chua phan phoi,,(10093),(8097),33170,44571,
- LNST chua phan phoi luy ke den cuoi ky truoc,,,,(8097),14944,
- LNST chua phan phoi ky nay,,,,41267,29628,
12. Nguon von dau tu XDCB,,,,,,
13. Loi ich co dong khong kiem soat,,,,20942,23165,
