TAI SAN,,,,,,
A. TAI SAN NGAN HAN,,66307,92108,105735,143159,
I. Tien va cac khoan tuong duong tien,,53595,29906,6645,7279,
1. Tien,,2695,1306,3945,7279,
2. Cac khoan tuong duong tien,,50900,28600,2700,,
II. Dau tu tai chinh ngan han,,5000,40900,85700,122208,
1. Chung khoan kinh doanh,,5000,40900,,,
2. Du phong giam gia chung khoan kinh doanh (*),,,,,,
3. Dau tu nam giu den ngay dao han,,,,85700,122208,
III. Cac khoan phai thu ngan han,,4343,10970,7883,5875,
1. Phai thu ngan han cua khach hang,,26,890,1163,436,
2. Tra truoc cho nguoi ban ngan han,,3508,8099,2877,2438,
3. Phai thu noi bo ngan han,,,,,,
4. Phai thu theo tien do ke hoach hop dong xay dung,,,,,,
5. Phai thu ve cho vay ngan han,,,,,,
6. Phai thu ngan han khac,,809,1981,3843,3001,
7. Du phong phai thu ngan han kho doi (*),,,,,,
8. Tai san thieu cho xu ly,,,,,,
IV. Hang ton kho,,1520,3822,3434,4392,
1. Hang ton kho,,1520,3891,3546,4503,
2. Du phong giam gia hang ton kho (*),,,(69),(111),(111),
V. Tai san ngan han khac,,1849,6511,2073,3404,
1. Chi phi tra truoc ngan han,,426,359,451,3146,
2. Thue GTGT duoc khau tru,,1169,131,-,127,
3. Thue va cac khoan khac phai thu cua nha nuoc,,25,4717,1622,131,
4. Giao dich mua ban lai trai phieu chinh phu,,,,,,
5. Tai san ngan han khac,,229,1304,,,
B. TAI SAN DAI HAN,,134774,128170,120069,110207,
I. Cac khoan phai thu dai han,,,,,,
1. Phai thu dai han cua khach hang,,,,,,
2. Tra truoc cho nguoi ban dai han,,,,,,
3. Von kinh doanh o cac don vi truc thuoc,,,,,,
4. Phai thu noi bo dai han,,,,,,
5. Phai thu ve cho vay dai han,,,,,,
6. Phai thu dai han khac,,,,,,
7. Du phong phai thu dai han kho doi (*),,,,,,
II. Tai san co dinh,,132626,125681,117153,100393,
1. Tai san co dinh huu hinh,,132020,124038,117153,100393,
- Nguyen gia,,206713,216280,228465,230881,
- Gia tri hao mon luy ke (*),,(74693),(92243),(111312),(130488),
2. Tai san co dinh thue tai chinh,,,,,,
- Nguyen gia,,,,,,
- Gia tri hao mon luy ke (*),,,,,,
3. Tai san co dinh vo hinh,,,,,,
- Nguyen gia,,,,,,
- Gia tri hao mon luy ke (*),,,,,,
III. Bat dong san dau tu,,,,,,
- Nguyen gia,,,,,,
- Gia tri hao mon luy ke (*),,,,,,
IV. Tai san do dang dai han,,,,411,6485,
1. Chi phi san xuat kinh doanh do dang dai han,,,,,,
2. Chi phi xay dung co ban do dang,,605,1643,411,6485,
V. Dau tu tai chinh dai han,,922,1843,1843,706,
1. Dau tu vao cong ty con,,,,,,
2. Dau tu vao cong ty lien ket. lien doanh,,,,,,
3. Dau tu gop von vao don vi khac,,,,1843,1843,
4. Du phong dau tu tai chinh dai han (*),,,,,(1137),
5. Dau tu nam giu den ngay dao han,,,,,,
6. Dau tu dai han khac,,922,1843,,,
VI. Tai san dai han khac,,1227,646,662,2623,
1. Chi phi tra truoc dai han,,847,611,644,2565,
2. Tai san thue thu nhap hoan lai,,380,35,18,58,
3. Thiet bi vat tu phu tung thay the dai han,,,,,,
4. Tai san dai han khac,,,,,,
VII. Loi the thuong mai,,,,,,
TONG CONG TAI SAN,,201081,220279,225804,253366,
NGUON VON,,,,,,
A. NO PHAI TRA,,10925,7742,11372,9713,
I. No ngan han,,9406,7636,11372,9713,
1. Phai tra nguoi ban ngan han,,706,990,1634,1034,
2. Nguoi mua tra tien truoc ngan han,,,,1576,,
3. Thue va cac khoan phai nop Nha nuoc,,26,,,277,
4. Phai tra nguoi lao dong,,3349,3889,4972,6493,
5. Chi phi phai tra ngan han,,,54,67,291,
6. Phai tra noi bo ngan han,,,,,,
7. Phai tra theo tien do ke hoach hop dong xay dung,,,,,,
8. Doanh thu chua thuc hien ngan han,,,,15,20,
9. Phai tra ngan han khac,,85,1769,2231,101,
10. Vay va no thue tai chinh ngan han,,5000,,,,
11. Du phong phai tra ngan han,,,,,,
12. Quy khen thuong phuc loi,,241,934,878,1496,
13. Quy binh on gia,,,,,,
14. Giao dich mua ban lai trai phieu Chinh phu,,,,,,
II. No dai han,,1519,106,,,
1. Phai tra nguoi ban dai han,,,,,,
2. Nguoi mua tra tien truoc dai han,,,,,,
3. Chi phi phai tra dai han,,,,,,
4. Phai tra noi bo ve von kinh doanh,,,,,,
