TAI SAN,,,,,,
A. TAI SAN NGAN HAN,,5259808,5042074,5303784,5314079,
I. Tien va cac khoan tuong duong tien,,70884,23317,27005,32930,
1. Tien,,68360,20817,24505,30406,
2. Cac khoan tuong duong tien,,2524,2500,2500,2524,
II. Dau tu tai chinh ngan han,,4893,4893,4893,4893,
1. Chung khoan kinh doanh,,4893,4893,4893,4893,
2. Du phong giam gia chung khoan kinh doanh (*),,,,,-,
3. Dau tu nam giu den ngay dao han,,,,,-,
III. Cac khoan phai thu ngan han,,1328911,1125957,913137,844780,
1. Phai thu ngan han cua khach hang,,1083438,1062703,869156,829078,
2. Tra truoc cho nguoi ban ngan han,,239307,26954,13036,14800,
3. Phai thu noi bo ngan han,,,,,-,
4. Phai thu theo tien do ke hoach hop dong xay dung,,,,,-,
5. Phai thu ve cho vay ngan han,,,,,-,
6. Phai thu ngan han khac,,19691,49825,44983,14951,
7. Du phong phai thu ngan han kho doi (*),,(13525),(13525),(14038),(14049),
8. Tai san thieu cho xu ly,,,,,-,
IV. Hang ton kho,,3834360,3871282,4316675,4386586,
1. Hang ton kho,,3834581,3871503,4316896,4386807,
2. Du phong giam gia hang ton kho (*),,(221),(221),(221),(221),
V. Tai san ngan han khac,,20761,16625,42074,44890,
1. Chi phi tra truoc ngan han,,2292,2299,2345,2578,
2. Thue GTGT duoc khau tru,,14932,8508,35145,36234,
3. Thue va cac khoan khac phai thu cua nha nuoc,,3536,5819,4584,6078,
4. Giao dich mua ban lai trai phieu chinh phu,,,,,-,
5. Tai san ngan han khac,,,,,-,
B. TAI SAN DAI HAN,,2137972,2123598,2005632,1996070,
I. Cac khoan phai thu dai han,,152371,124661,124927,124712,
1. Phai thu dai han cua khach hang,,145116,116934,116894,116449,
2. Tra truoc cho nguoi ban dai han,,,,,-,
3. Von kinh doanh o cac don vi truc thuoc,,,,,-,
4. Phai thu noi bo dai han,,,,,-,
5. Phai thu ve cho vay dai han,,,,,-,
6. Phai thu dai han khac,,7255,7727,8033,8263,
