TAI SAN,,,,,,
A. TAI SAN NGAN HAN,,1619591,1648261,1384295,1325376,
I. Tien va cac khoan tuong duong tien,,194281,88301,172087,178491,
1. Tien,,47731,64246,156384,162704,
2. Cac khoan tuong duong tien,,146550,24055,15702,15788,
II. Dau tu tai chinh ngan han,,59875,58112,59967,61792,
1. Chung khoan kinh doanh,,86705,86705,86705,86705,
2. Du phong giam gia chung khoan kinh doanh (*),,(26830),(30093),(30738),(28913),
3. Dau tu nam giu den ngay dao han,,,1500,4000,4000,
III. Cac khoan phai thu ngan han,,966030,1023342,688994,806385,
1. Phai thu ngan han cua khach hang,,241640,283025,180187,156334,
2. Tra truoc cho nguoi ban ngan han,,17290,13421,11688,16733,
3. Phai thu noi bo ngan han,,,,,,
4. Phai thu theo tien do ke hoach hop dong xay dung,,,,,,
5. Phai thu ve cho vay ngan han,,563932,554864,311469,304009,
6. Phai thu ngan han khac,,145289,174153,187771,331430,
7. Du phong phai thu ngan han kho doi (*),,(2121),(2121),(2121),(2121),
8. Tai san thieu cho xu ly,,,,,,
IV. Hang ton kho,,397288,476251,461365,268533,
1. Hang ton kho,,397288,476251,461365,268533,
2. Du phong giam gia hang ton kho (*),,,,,,
V. Tai san ngan han khac,,2117,2254,1882,10174,
1. Chi phi tra truoc ngan han,,1251,1164,946,5477,
2. Thue GTGT duoc khau tru,,829,955,920,4363,
3. Thue va cac khoan khac phai thu cua nha nuoc,,37,135,16,334,
4. Giao dich mua ban lai trai phieu chinh phu,,,,,,
5. Tai san ngan han khac,,,,,,
B. TAI SAN DAI HAN,,1219140,1207036,1406380,1586921,
I. Cac khoan phai thu dai han,,486766,515452,482200,403889,
1. Phai thu dai han cua khach hang,,6739,4184,2984,2315,
2. Tra truoc cho nguoi ban dai han,,,,,,
3. Von kinh doanh o cac don vi truc thuoc,,,,,,
4. Phai thu noi bo dai han,,,,,,
5. Phai thu ve cho vay dai han,,14900,14900,14900,14900,
6. Phai thu dai han khac,,465127,496368,464316,386674,
7. Du phong phai thu dai han kho doi (*),,,,,,
II. Tai san co dinh,,84767,82892,83766,82089,
1. Tai san co dinh huu hinh,,19825,18680,20047,18403,
- Nguyen gia,,45964,44764,47171,46899,
- Gia tri hao mon luy ke (*),,(26139),(26085),(27124),(28496),
2. Tai san co dinh thue tai chinh,,,,,,
- Nguyen gia,,,,,,
- Gia tri hao mon luy ke (*),,,,,,
3. Tai san co dinh vo hinh,,64942,64213,63719,63686,
- Nguyen gia,,77745,77745,77987,77987,
- Gia tri hao mon luy ke (*),,(12803),(13532),(14268),(14301),
III. Bat dong san dau tu,,66231,65410,64590,63769,
- Nguyen gia,,76862,76862,76862,76862,
- Gia tri hao mon luy ke (*),,(10632),(11452),(12273),(13093),
IV. Tai san do dang dai han,,6958,6958,6116,266842,
1. Chi phi san xuat kinh doanh do dang dai han,,,,,260726,
2. Chi phi xay dung co ban do dang,,6958,6958,6116,6116,
V. Dau tu tai chinh dai han,,551069,515356,751727,748048,
1. Dau tu vao cong ty con,,,,,,
2. Dau tu vao cong ty lien ket. lien doanh,,510016,411772,647958,644279,
3. Dau tu gop von vao don vi khac,,41053,103769,103769,103769,
4. Du phong dau tu tai chinh dai han (*),,,(185),,,
5. Dau tu nam giu den ngay dao han,,,,,,
6. Dau tu dai han khac,,,,,,
VI. Tai san dai han khac,,23277,20151,17981,21543,
1. Chi phi tra truoc dai han,,20728,17602,15432,21543,
2. Tai san thue thu nhap hoan lai,,2549,2549,2549,,
3. Thiet bi vat tu phu tung thay the dai han,,,,,,
4. Tai san dai han khac,,,,,,
VII. Loi the thuong mai,,74,817,,741,
TONG CONG TAI SAN,,2838731,2855297,2790675,2912296,
