TAI SAN,,,,,,
A. TAI SAN NGAN HAN,,125612,123149,144906,77627,
I. Tien va cac khoan tuong duong tien,,32597,19624,37972,11361,
1. Tien,,4448,9624,17272,11361,
2. Cac khoan tuong duong tien,,28150,10000,20700,,
II. Dau tu tai chinh ngan han,,68700,79626,76203,12066,
1. Chung khoan kinh doanh,,68700,79626,,,
2. Du phong giam gia chung khoan kinh doanh (*),,,,,,
3. Dau tu nam giu den ngay dao han,,,,76203,12066,
III. Cac khoan phai thu ngan han,,12711,9797,5749,17277,
1. Phai thu ngan han cua khach hang,,5067,4067,4583,10405,
2. Tra truoc cho nguoi ban ngan han,,903,778,760,5831,
3. Phai thu noi bo ngan han,,,,,,
4. Phai thu theo tien do ke hoach hop dong xay dung,,,,,,
5. Phai thu ve cho vay ngan han,,,,,,
6. Phai thu ngan han khac,,8556,7192,3280,2041,
7. Du phong phai thu ngan han kho doi (*),,(1815),(2239),(2874),(1001),
8. Tai san thieu cho xu ly,,,,,,
IV. Hang ton kho,,7666,7821,8126,13176,
1. Hang ton kho,,7704,7858,8160,13209,
2. Du phong giam gia hang ton kho (*),,(39),(37),(34),(34),
V. Tai san ngan han khac,,3937,6280,16856,23748,
1. Chi phi tra truoc ngan han,,2210,2341,12948,12115,
2. Thue GTGT duoc khau tru,,1185,986,2246,9950,
3. Thue va cac khoan khac phai thu cua nha nuoc,,218,2278,1661,1683,
4. Giao dich mua ban lai trai phieu chinh phu,,,,,,
5. Tai san ngan han khac,,324,674,,,
B. TAI SAN DAI HAN,,207447,243639,240227,288536,
I. Cac khoan phai thu dai han,,,,,,
1. Phai thu dai han cua khach hang,,,,,,
2. Tra truoc cho nguoi ban dai han,,,,,,
3. Von kinh doanh o cac don vi truc thuoc,,,,,,
4. Phai thu noi bo dai han,,,,,,
5. Phai thu ve cho vay dai han,,,,,,
6. Phai thu dai han khac,,,,,,
7. Du phong phai thu dai han kho doi (*),,,,,,
II. Tai san co dinh,,207441,221238,222518,276981,
1. Tai san co dinh huu hinh,,192536,201676,222422,272599,
- Nguyen gia,,403877,452344,511587,603878,
- Gia tri hao mon luy ke (*),,(211341),(250667),(289165),(331279),
2. Tai san co dinh thue tai chinh,,,,,,
- Nguyen gia,,,,,,
- Gia tri hao mon luy ke (*),,,,,,
3. Tai san co dinh vo hinh,,253,203,96,4382,
- Nguyen gia,,413,478,478,5354,
- Gia tri hao mon luy ke (*),,(160),(275),(382),(972),
III. Bat dong san dau tu,,,,,,
- Nguyen gia,,,,,,
- Gia tri hao mon luy ke (*),,,,,,
IV. Tai san do dang dai han,,,,17090,9988,
1. Chi phi san xuat kinh doanh do dang dai han,,,,,,
2. Chi phi xay dung co ban do dang,,14652,19359,17090,9988,
V. Dau tu tai chinh dai han,,,22396,,,
1. Dau tu vao cong ty con,,,,,,
2. Dau tu vao cong ty lien ket. lien doanh,,,,,,
3. Dau tu gop von vao don vi khac,,,,,,
4. Du phong dau tu tai chinh dai han (*),,,,,,
5. Dau tu nam giu den ngay dao han,,,,,,
6. Dau tu dai han khac,,,22396,,,
VI. Tai san dai han khac,,6,6,619,1567,
1. Chi phi tra truoc dai han,,,,619,1567,
2. Tai san thue thu nhap hoan lai,,,,,,
3. Thiet bi vat tu phu tung thay the dai han,,,,,,
4. Tai san dai han khac,,6,6,,,
VII. Loi the thuong mai,,,,,,
TONG CONG TAI SAN,,333058,366788,385132,366163,
NGUON VON,,,,,,
A. NO PHAI TRA,,201313,226332,226233,234014,
I. No ngan han,,97867,108249,133991,131716,
1. Phai tra nguoi ban ngan han,,18820,42923,82976,85982,
2. Nguoi mua tra tien truoc ngan han,,2846,4118,3393,1843,
3. Thue va cac khoan phai nop Nha nuoc,,1632,2166,9185,7657,
4. Phai tra nguoi lao dong,,13873,18583,19287,12413,
5. Chi phi phai tra ngan han,,70,165,58,627,
6. Phai tra noi bo ngan han,,,,,,
7. Phai tra theo tien do ke hoach hop dong xay dung,,,,,,
8. Doanh thu chua thuc hien ngan han,,,,,,
9. Phai tra ngan han khac,,46326,25474,6336,7082,
10. Vay va no thue tai chinh ngan han,,13043,13203,12050,14220,
11. Du phong phai tra ngan han,,,,,,
12. Quy khen thuong phuc loi,,1257,1618,705,1891,
13. Quy binh on gia,,,,,,
14. Giao dich mua ban lai trai phieu Chinh phu,,,,,,
