TAI SAN,,,,,,
A. TAI SAN NGAN HAN,,48386,56874,81089,55590,
I. Tien va cac khoan tuong duong tien,,1760,1605,2988,23655,
1. Tien,,351,187,561,519,
2. Cac khoan tuong duong tien,,1409,1418,2427,23136,
II. Dau tu tai chinh ngan han,,,,30000,,
1. Chung khoan kinh doanh,,,,,,
2. Du phong giam gia chung khoan kinh doanh (*),,,,,,
3. Dau tu nam giu den ngay dao han,,,,30000,,
III. Cac khoan phai thu ngan han,,46417,55079,47914,31745,
1. Phai thu ngan han cua khach hang,,,458,,,
2. Tra truoc cho nguoi ban ngan han,,13,,,,
3. Phai thu noi bo ngan han,,,,,,
4. Phai thu theo tien do ke hoach hop dong xay dung,,,,,,
5. Phai thu ve cho vay ngan han,,30600,30600,,,
6. Phai thu ngan han khac,,15805,24021,47914,31745,
7. Du phong phai thu ngan han kho doi (*),,,,,,
8. Tai san thieu cho xu ly,,,,,,
IV. Hang ton kho,,198,185,184,184,
1. Hang ton kho,,198,185,184,184,
2. Du phong giam gia hang ton kho (*),,,,,,
V. Tai san ngan han khac,,11,5,3,6,
1. Chi phi tra truoc ngan han,,7,5,3,1,
2. Thue GTGT duoc khau tru,,,,,6,
3. Thue va cac khoan khac phai thu cua nha nuoc,,4,1,,,
4. Giao dich mua ban lai trai phieu chinh phu,,,,,,
5. Tai san ngan han khac,,,,,,
B. TAI SAN DAI HAN,,182702,180574,178878,177500,
I. Cac khoan phai thu dai han,,91056,90525,89243,87961,
1. Phai thu dai han cua khach hang,,,,,,
2. Tra truoc cho nguoi ban dai han,,,,,,
3. Von kinh doanh o cac don vi truc thuoc,,,,,,
4. Phai thu noi bo dai han,,,,,,
5. Phai thu ve cho vay dai han,,,,,87961,
6. Phai thu dai han khac,,91056,90525,89243,,
7. Du phong phai thu dai han kho doi (*),,,,,,
II. Tai san co dinh,,1676,1611,1545,1480,
1. Tai san co dinh huu hinh,,1658,1596,1534,1472,
- Nguyen gia,,5600,5600,5600,5600,
- Gia tri hao mon luy ke (*),,(3943),(4005),(4067),(4128),
2. Tai san co dinh thue tai chinh,,,,,,
- Nguyen gia,,,,,,
- Gia tri hao mon luy ke (*),,,,,,
3. Tai san co dinh vo hinh,,19,15,11,8,
- Nguyen gia,,45,45,45,45,
- Gia tri hao mon luy ke (*),,(26),(30),(34),(38),
III. Bat dong san dau tu,,,,,,
- Nguyen gia,,,,,,
- Gia tri hao mon luy ke (*),,,,,,
IV. Tai san do dang dai han,,,,,,
1. Chi phi san xuat kinh doanh do dang dai han,,,,,,
2. Chi phi xay dung co ban do dang,,,,,,
V. Dau tu tai chinh dai han,,89850,88273,87912,87912,
1. Dau tu vao cong ty con,,,,,,
2. Dau tu vao cong ty lien ket. lien doanh,,,,,,
3. Dau tu gop von vao don vi khac,,89850,88273,87912,87912,
4. Du phong dau tu tai chinh dai han (*),,,,,,
5. Dau tu nam giu den ngay dao han,,,,,,
6. Dau tu dai han khac,,,,,,
VI. Tai san dai han khac,,119,165,177,147,
1. Chi phi tra truoc dai han,,119,165,177,147,
2. Tai san thue thu nhap hoan lai,,,,,,
3. Thiet bi vat tu phu tung thay the dai han,,,,,,
4. Tai san dai han khac,,,,,,
VII. Loi the thuong mai,,,,,,
TONG CONG TAI SAN,,231087,237448,259967,233090,
NGUON VON,,,,,,
A. NO PHAI TRA,,599,1041,30641,1137,
I. No ngan han,,599,1041,30641,1137,
1. Phai tra nguoi ban ngan han,,5,41,,,
2. Nguoi mua tra tien truoc ngan han,,,,,,
3. Thue va cac khoan phai nop Nha nuoc,,126,555,1004,504,
4. Phai tra nguoi lao dong,,,,,,
5. Chi phi phai tra ngan han,,33,,70,70,
6. Phai tra noi bo ngan han,,,,,,
7. Phai tra theo tien do ke hoach hop dong xay dung,,,,,,
8. Doanh thu chua thuc hien ngan han,,,,,,
9. Phai tra ngan han khac,,41,59,29032,58,
10. Vay va no thue tai chinh ngan han,,,,,,
11. Du phong phai tra ngan han,,,,,,
12. Quy khen thuong phuc loi,,395,386,534,506,
13. Quy binh on gia,,,,,,
14. Giao dich mua ban lai trai phieu Chinh phu,,,,,,
II. No dai han,,,,,,
1. Phai tra nguoi ban dai han,,,,,,
2. Nguoi mua tra tien truoc dai han,,,,,,
3. Chi phi phai tra dai han,,,,,,
4. Phai tra noi bo ve von kinh doanh,,,,,,
5. Phai tra noi bo dai han,,,,,,
6. Doanh thu chua thuc hien dai han,,,,,,
7. Phai tra dai han khac,,,,,,
8. Vay va no thue tai chinh dai han,,,,,,
9. Trai phieu chuyen doi,,,,,,
10. Co phieu uu dai (No),,,,,,
11. Thue thu nhap hoan lai phai tra,,,,,,
12. Du phong phai tra dai han,,,,,,
13. Quy phat trien khoa hoc va cong nghe,,,,,,
14. Du phong tro cap mat viec lam,,,,,,
B. VON CHU SO HUU,,230488,236407,229326,231953,
