TAI SAN,,,,,,
A. TAI SAN NGAN HAN,,304484,260416,266888,166054,
I. Tien va cac khoan tuong duong tien,,96932,96414,104977,112890,
1. Tien,,16766,12414,18477,26890,
2. Cac khoan tuong duong tien,,80166,84000,86500,86000,
II. Dau tu tai chinh ngan han,,422,441,1185,1233,
1. Chung khoan kinh doanh,,1424,1424,4077,4077,
2. Du phong giam gia chung khoan kinh doanh (*),,(1001),(983),(2893),(2845),
3. Dau tu nam giu den ngay dao han,,,,,,
III. Cac khoan phai thu ngan han,,98043,82280,83737,26404,
1. Phai thu ngan han cua khach hang,,97289,77389,76739,34082,
2. Tra truoc cho nguoi ban ngan han,,1636,5517,2209,628,
3. Phai thu noi bo ngan han,,,,,,
4. Phai thu theo tien do ke hoach hop dong xay dung,,,,,,
5. Phai thu ve cho vay ngan han,,,,,,
6. Phai thu ngan han khac,,9352,6347,13634,5247,
7. Du phong phai thu ngan han kho doi (*),,(10235),(6973),
