TAI SAN,,,,,,
A. TAI SAN NGAN HAN,,228362,258898,352733,321430,
I. Tien va cac khoan tuong duong tien,,2990,21697,59513,106326,
1. Tien,,2990,3650,2934,12363,
2. Cac khoan tuong duong tien,,,18047,56579,93963,
II. Dau tu tai chinh ngan han,,,,36706,2037,
1. Chung khoan kinh doanh,,,,,,
2. Du phong giam gia chung khoan kinh doanh (*),,,,,,
3. Dau tu nam giu den ngay dao han,,,,36706,2037,
III. Cac khoan phai thu ngan han,,13440,22710,59321,61906,
1. Phai thu ngan han cua khach hang,,13422,11863,6303,5689,
2. Tra truoc cho nguoi ban ngan han,,839,545,132,285,
3. Phai thu noi bo ngan han,,,,,,
4. Phai thu theo tien do ke hoach hop dong xay dung,,,,,,
5. Phai thu ve cho vay ngan han,,,,,47371,
6. Phai thu ngan han khac,,722,12436,54665,8570,
7. Du phong phai thu ngan han kho doi (*),,(1543),(2134),(1780),(9),
8. Tai san thieu cho xu ly,,,,,,
IV. Hang ton kho,,202223,207408,194555,150316,
1. Hang ton kho,,202223,207408,194555,150316,
2. Du phong giam gia hang ton kho (*),,,,,,
V. Tai san ngan han khac,,9709,7083,2639,846,
1. Chi phi tra truoc ngan han,,6537,2205,729,469,
2. Thue GTGT duoc khau tru,,829,2723,1910,113,
3. Thue va cac khoan khac phai thu cua nha nuoc,,2074,2074,,264,
4. Giao dich mua ban lai trai phieu chinh phu,,,,,,
5. Tai san ngan han khac,,269,81,,,
B. TAI SAN DAI HAN,,329920,280239,200146,186810,
I. Cac khoan phai thu dai han,,57223,23535,,,
1. Phai thu dai han cua khach hang,,,,,,
2. Tra truoc cho nguoi ban dai han,,,,,,
3. Von kinh doanh o cac don vi truc thuoc,,,,,,
4. Phai thu noi bo dai han,,,,,,
5. Phai thu ve cho vay dai han,,,,,,
6. Phai thu dai han khac,,57223,23535,,,
7. Du phong phai thu dai han kho doi (*),,,,,,
II. Tai san co dinh,,53136,47375,45801,37357,
1. Tai san co dinh huu hinh,,53136,47375,45801,37357,
- Nguyen gia,,68861,68981,75651,76239,
- Gia tri hao mon luy ke (*),,(15725),(21605),(29851),(38882),
2. Tai san co dinh thue tai chinh,,,,,,
- Nguyen gia,,,,,,
- Gia tri hao mon luy ke (*),,,,,,
3. Tai san co dinh vo hinh,,,,,,
- Nguyen gia,,,
