TAI SAN,,,,,,
A. TAI SAN NGAN HAN,,734436,838443,958249,1025111,
I. Tien va cac khoan tuong duong tien,,176450,317197,426351,424423,
1. Tien,,77450,74197,162351,123423,
2. Cac khoan tuong duong tien,,99000,243000,264000,301000,
II. Dau tu tai chinh ngan han,,59,,,,
1. Chung khoan kinh doanh,,81,,,,
2. Du phong giam gia chung khoan kinh doanh (*),,(22),,,,
3. Dau tu nam giu den ngay dao han,,,,,,
III. Cac khoan phai thu ngan han,,89780,84851,99927,122515,
1. Phai thu ngan han cua khach hang,,82126,74641,75881,99079,
2. Tra truoc cho nguoi ban ngan han,,6942,8693,20866,18775,
3. Phai thu noi bo ngan han,,,,,,
4. Phai thu theo tien do ke hoach hop dong xay dung,,,,,,
5. Phai thu ve cho vay ngan han,,,,,,
6. Phai thu ngan han khac,,1594,3036,4825,5551,
7. Du phong phai thu ngan han kho doi (*),,(882),(1518),(1644),(890),
8. Tai san thieu cho xu ly,,,,,,
IV. Hang ton kho,,455747,424792,420294,460698,
1. Hang ton kho,,470165,449135,447230,478811,
2. Du phong giam gia hang ton kho (*),,(14418),(24343),(26936),(18114),
V. Tai san ngan han khac,,12400,11602,11676,17475,
1. Chi phi tra truoc ngan han,,3203,5952,3436,8251,
2. Thue GTGT duoc khau tru,,2799,705,4439,7470,
3. Thue va cac khoan khac phai thu cua nha nuoc,,2251,3806,3800,1753,
4. Giao dich mua ban lai trai phieu chinh phu,,,,,,
5. Tai san ngan han khac,,4147,1139,,,
B. TAI SAN DAI HAN,,274753,269760,334749,359201,
I. Cac khoan phai thu dai han,,,,2469,2054,
1. Phai thu dai han cua khach hang,,,,,,
2. Tra truoc cho nguoi ban dai han,,,,,,
3. Von kinh doanh o cac don vi truc thuoc,,,,,,
4. Phai thu noi bo dai han,,,,,,
5. Phai thu ve cho vay dai han,,,,,,
6. Phai thu dai han khac,,,,2469,2054,
7. Du phong phai thu dai han kho doi (*),,,,,,
II. Tai san co dinh,,212738,202636,197960,289919,
1. Tai san co dinh huu hinh,,172921,165333,165367,200872,
- Nguyen gia,,423456,445994,469572,532702,
- Gia tri hao mon luy ke (*),,(250535),(280661),(304205),(331830),
2. Tai san co dinh thue tai chinh,,,,,,
- Nguyen gia,,,,,,
- Gia tri hao mon luy ke (*),,,,,,
3. Tai san co dinh vo hinh,,33200,31374,32593,89047,
- Nguyen gia,,42942,44639,50604,112648,
- Gia tri hao mon luy ke (*),,(9742),(13266),(18011),(23601),
III. Bat dong san dau tu,,,,,,
- Nguyen gia,,,,,,
- Gia tri hao mon luy ke (*),,,,,,
IV. Tai san do dang dai han,,,,6506,8310,
1. Chi phi san xuat kinh doanh do dang dai han,,,,6506,,
2. Chi phi xay dung co ban do dang,,6617,5929,,8310,
V. Dau tu tai chinh dai han,,20892,20892,20170,19836,
1. Dau tu vao cong ty con,,,,,,
2. Dau tu vao cong ty lien ket. lien doanh,,,,,,
3. Dau tu gop von vao don vi khac,,,,30685,30685,
4. Du phong dau tu tai chinh dai han (*),,(9793),(9793),(10515),(10849),
5. Dau tu nam giu den ngay dao han,,,,,,
6. Dau tu dai han khac,,30685,30685,,,
VI. Tai san dai han khac,,41124,46232,107644,39083,
1. Chi phi tra truoc dai han,,15964,
