TAI SAN,,,,,,
A. TAI SAN NGAN HAN,,1872928,1913140,1767287,2002477,
I. Tien va cac khoan tuong duong tien,,104067,83311,85175,220667,
1. Tien,,66913,32760,44684,124481,
2. Cac khoan tuong duong tien,,37154,50551,40491,96186,
II. Dau tu tai chinh ngan han,,12060,10700,10969,13036,
1. Chung khoan kinh doanh,,18591,16802,17203,17473,
2. Du phong giam gia chung khoan kinh doanh (*),,(6531),(6102),(6234),(4437),
3. Dau tu nam giu den ngay dao han,,,,,,
III. Cac khoan phai thu ngan han,,300228,341083,267163,415322,
1. Phai thu ngan han cua khach hang,,225812,262751,227175,344164,
2. Tra truoc cho nguoi ban ngan han,,46625,50454,25647,61684,
3. Phai thu noi bo ngan han,,,10620,,,
4. Phai thu theo tien do ke hoach hop dong xay dung,,,,,,
5. Phai thu ve cho vay ngan han,,10620,,10620,9992,
6. Phai thu ngan han khac,,17395,17483,6560,4091,
7. Du phong phai thu ngan han kho doi (*),,(224),(224),(2839),(4609),
8. Tai san thieu cho xu ly,,,,,,
IV. Hang ton kho,,1431392,1445993,1393934,1343762,
1. Hang ton kho,,1483654,1498256,1414547,1400222,
2. Du phong giam gia hang ton kho (*),,(52262),(52262),(20614),(56461),
V. Tai san ngan han khac,,25181,32052,10047,9691,
1. Chi phi tra truoc ngan han,,2805,2004,704,1206,
2. Thue GTGT duoc khau tru,,22376,30048,9343,8485,
3. Thue va cac khoan khac phai thu cua nha nuoc,,-,,-,,
4. Giao dich mua ban lai trai phieu chinh phu,,,,,,
5. Tai san ngan han khac,,,,,,
B. TAI SAN DAI HAN,,612026,612278,621631,632520,
I. Cac khoan phai thu dai han,,1,,11,11,
1. Phai thu dai han cua khach hang,,,,,,
2. Tra truoc cho nguoi ban dai han,,,,,,
3. Von kinh doanh o cac don vi truc thuoc,,,,,,
4. Phai thu noi bo dai han,,,,,,
5. Phai thu ve cho vay dai han,,,,,,
6. Phai thu dai han khac,,1,,11,11,
7. Du phong phai thu dai han kho doi (*),,,,,,
II. Tai san co dinh,,335211,329747,326885,322139,
1. Tai san co dinh huu hinh,,212560,207354,204751,199773,
- Nguyen gia,,360715,360715,363052,360675,
- Gia tri hao mon luy ke (*),,(148155),(153360),(158301),(160902),
2. Tai san co dinh thue tai chinh,,,,,,
- Nguyen gia,,,,,,
- Gia tri hao mon luy ke (*),,,,,,
3. Tai san co dinh vo hinh,,122651,122392,122134,122366,
