TAI SAN,,,,,,
A. TAI SAN NGAN HAN,,204664,270204,367282,320400,
I. Tien va cac khoan tuong duong tien,,90512,172007,235469,122977,
1. Tien,,16512,92007,37339,49713,
2. Cac khoan tuong duong tien,,74000,80000,198131,73264,
II. Dau tu tai chinh ngan han,,25903,9727,13925,47302,
1. Chung khoan kinh doanh,,27287,10723,14760,18338,
2. Du phong giam gia chung khoan kinh doanh (*),,(1384),(996),(835),(1036),
3. Dau tu nam giu den ngay dao han,,,,,30000,
III. Cac khoan phai thu ngan han,,57083,65650,78966,122219,
1. Phai thu ngan han cua khach hang,,47460,45267,41549,77794,
2. Tra truoc cho nguoi ban ngan han,,2435,14123,9101,7372,
3. Phai thu noi bo ngan han,,,,,,
4. Phai thu theo tien do ke hoach hop dong xay dung,,,,,,
5. Phai thu ve cho vay ngan han,,,,,,
6. Phai thu ngan han khac,,7592,6392,28716,37451,
7. Du phong phai thu ngan han kho doi (*),,(404),(131),(399),(399),
8. Tai san thieu cho xu ly,,,,,,
IV. Hang ton kho,,16097,5466,7456,5577,
1. Hang ton kho,,16097,5466,7456,5577,
2. Du phong giam gia hang ton kho (*),,,,,,
V. Tai san ngan han khac,,15069,17353,31465,22325,
1. Chi phi tra truoc ngan han,,5527,3994,9844,7075,
2. Thue GTGT duoc khau tru,,1323,3413,21622,15250,
3. Thue va cac khoan khac phai thu cua nha nuoc,,,,,,
4. Giao dich mua ban lai trai phieu chinh phu,,,,,,
5. Tai san ngan han khac,,8218,9945,,,
B. TAI SAN DAI HAN,,631846,741525,1052788,1685878,
I. Cac khoan phai thu dai han,,,20000,33475,3322,
1. Phai thu dai han cua khach hang,,,,,,
2. Tra truoc cho nguoi ban dai han,,,,,,
3. Von kinh doanh o cac don vi truc thuoc,,,,,,
4. Phai thu noi bo dai han,,,,,,
5. Phai thu ve cho vay dai han,,,,,,
6. Phai thu dai han khac,,,20000,33475,3322,
7. Du phong phai thu dai han kho doi (*),,,,,,
II. Tai san co dinh,,280555,309198,315350,762692,
1. Tai san co dinh huu hinh,,226055,248265,269890,696647,
- Nguyen gia,,393775,438177,483877,936560,
- Gia tri hao mon luy ke (*),,(167719),(189912),(213987),(239914),
2. Tai san co dinh thue tai chinh,,,,,20182,
- Nguyen gia,,,,,20481,
- Gia tri hao mon luy ke (*),,,,,(299),
3. Tai san co dinh vo hinh,,47148,42768,45460,45863,
- Nguyen gia,,48692,45983,51173,54081,
- Gia tri hao mon luy ke (*),,(1544),(3215),(5713),(8218),
III. Bat dong san dau tu,,70907,68188,65470,62751,
- Nguyen gia,,84498,84498,84498,84498,
- Gia tri hao mon luy ke (*),,(13591),(16310),(19028),(21747),
IV. Tai san do dang dai han,,,,219063,17325,
1. Chi phi san xuat kinh doanh do dang dai han,,,,,,
2. Chi phi xay dung co ban do dang,,7352,18164,219063,17325,
V. Dau tu tai chinh dai han,,273546,338468,402078,814513,
1. Dau tu vao cong ty con,,,,,,
2. Dau tu vao cong ty lien ket. lien doanh,,273546,338468,402078,814513,
3. Dau tu gop von vao don vi khac,,,,,,
4. Du phong dau tu tai chinh dai han (*),,,,,,
5. Dau tu nam giu den ngay dao han,,,,,,
6. Dau tu dai han khac,,,,,,
VI. Tai san dai han khac,,6839,5671,17353,25276,
1. Chi phi tra truoc dai han,,4449,3661,15385,25276,
2. Tai san thue thu nhap hoan lai,,2211,1788,1968,,
3. Thiet bi vat tu phu tung thay the dai han,,,,,,
4. Tai san dai han khac,,178,222,,,
VII. Loi the thuong mai,,,,,,
TONG CONG TAI SAN,,836511,1011729,1420069,2006279,
NGUON VON,,,,,,
A. NO PHAI TRA,,203468,265872,551810,927890,
I. No ngan han,,136888,131035,152764,246992,
1. Phai tra nguoi ban ngan han,,27931,10608,11030,29851,
2. Nguoi mua tra tien truoc ngan han,,443,,5,36,
3. Thue va cac khoan phai nop Nha nuoc,,5099,8416,4807,2813,
4. Phai tra nguoi lao dong,,3535,5126,10696,18816,
5. Chi phi phai tra ngan han,,6871,6036,14792,21703,
6. Phai tra noi bo ngan han,,,,,,
7. Phai tra theo tien do ke hoach hop dong xay dung,,,,,,
8. Doanh thu chua thuc hien ngan han,,,,3075,3018,
9. Phai tra ngan han khac,,25172,14722,42831,36807,
10. Vay va no thue tai chinh ngan han,,65571,80487,58070,123836,
11. Du phong phai tra ngan han,,,,,,
12. Quy khen thuong phuc loi,,2265,5641,7458,10113,
13. Quy binh on gia,,,,,,
14. Giao dich mua ban lai trai phieu Chinh phu,,,,,,
II. No dai han,,66580,134837,399046,680898,
1. Phai tra nguoi ban dai han,,,,,,
2. Nguoi mua tra tien truoc dai han,,,,,,
3. Chi phi phai tra dai han,,,,,,
4. Phai tra noi bo ve von kinh doanh,,,,,,
5. Phai tra noi bo dai han,,,,,,
6. Doanh thu chua thuc hien dai han,,,,,,
7. Phai tra dai han khac,,6038,6180,3766,7390,
8. Vay va no thue tai chinh dai han,,60511,128657,395281,673509,
9. Trai phieu chuyen doi,,,,,,
10. Co phieu uu dai (No),,,,,,
11. Thue thu nhap hoan lai phai tra,,31,,,,
12. Du phong phai tra dai han,,,,,,
13. Quy phat trien khoa hoc va cong nghe,,,,,,
14. Du phong tro cap mat viec lam,,,,,,
B. VON CHU SO HUU,,632237,745857,868259,1078388,
I. Von chu so huu,,632237,745857,868259,1078388,
1. Von gop cua chu so huu,,230738,230738,237660,312654,
