TAI SAN,,,,,,
A. TAI SAN NGAN HAN,,634420,830750,893785,1109243,
I. Tien va cac khoan tuong duong tien,,31024,57253,56183,36527,
1. Tien,,25082,47486,46568,17589,
2. Cac khoan tuong duong tien,,5943,9767,9615,18938,
II. Dau tu tai chinh ngan han,,22600,30600,40000,,
1. Chung khoan kinh doanh,,22600,30600,40000,,
2. Du phong giam gia chung khoan kinh doanh (*),,,,,,
3. Dau tu nam giu den ngay dao han,,,,,,
III. Cac khoan phai thu ngan han,,158105,175892,111122,231619,
1. Phai thu ngan han cua khach hang,,133149,130723,
