TAI SAN,,,,,,
A. TAI SAN NGAN HAN,,218934,204606,187893,183816,
I. Tien va cac khoan tuong duong tien,,139520,144159,154471,136536,
1. Tien,,29520,33944,44122,16208,
2. Cac khoan tuong duong tien,,110000,110216,110349,120328,
II. Dau tu tai chinh ngan han,,10000,10000,10000,20000,
1. Chung khoan kinh doanh,,10000,10000,,,
2. Du phong giam gia chung khoan kinh doanh (*),,,,,,
3. Dau tu nam giu den ngay dao han,,,,10000,20000,
III. Cac khoan phai thu ngan han,,25166,8025,6447,12974,
1. Phai thu ngan han cua khach hang,,27060,10853,9205,15275,
2. Tra truoc cho nguoi ban ngan han,,79,30,1388,1585,
3. Phai thu noi bo ngan han,,,,,,
4. Phai thu theo tien do ke hoach hop dong xay dung,,,,,,
5. Phai thu ve cho vay ngan han,,,,,,
6. Phai thu ngan han khac,,2963,2044,2157,2000,
7. Du phong phai thu ngan han kho doi (*),,(4937),(4903),(6303),(5887),
8. Tai san thieu cho xu ly,,,,,,
IV. Hang ton kho,,32540,28254,16971,13054,
1. Hang ton kho,,32540,29710,19461,13054,
2. Du phong giam gia hang ton kho (*),,,(1456),(2490),,
V. Tai san ngan han khac,,11707,14168,5,1252,
1. Chi phi tra truoc ngan han,,,,,,
2. Thue GTGT duoc khau tru,,,,,51,
3. Thue va cac khoan khac phai thu cua nha nuoc,,11013,13542,5,1201,
4. Giao dich mua ban lai trai phieu chinh phu,,,,,,
5. Tai san ngan han khac,,695,626,,,
B. TAI SAN DAI HAN,,129132,127999,133186,141274,
I. Cac khoan phai thu dai han,,,,,,
1. Phai thu dai han cua khach hang,,,,,,
2. Tra truoc cho nguoi ban dai han,,,,,,
3. Von kinh doanh o cac don vi truc thuoc,,,,,,
4. Phai thu noi bo dai han,,,,,,
5. Phai thu ve cho vay dai han,,,,,,
6. Phai thu dai han khac,,,,,,
7. Du phong phai thu dai han kho doi (*),,,,,,
II. Tai san co dinh,,101841,100833,43646,46155,
1. Tai san co dinh huu hinh,,65675,58659,43363,45928,
- Nguyen gia,,127113,119813,97767,104938,
- Gia tri hao mon luy ke (*),,(61438),(61154),(54404),(59010),
2. Tai san co dinh thue tai chinh,,,,,,
- Nguyen gia,,,,,,
- Gia tri hao mon luy ke (*),,,,,,
3. Tai san co dinh vo hinh,,,340,283,227,
- Nguyen gia,,,340,340,340,
- Gia tri hao mon luy ke (*),,,,(57),(113),
III. Bat dong san dau tu,,,,,,
- Nguyen gia,,,,,,
- Gia tri hao mon luy ke (*),,,,,,
IV. Tai san do dang dai han,,,,61558,66946,
1. Chi phi san xuat kinh doanh do dang dai han,,,,144,,
2. Chi phi xay dung co ban do dang,,36167,41834,61414,66946,
V. Dau tu tai chinh dai han,,26811,26811,26811,26811,
1. Dau tu vao cong ty con,,,,,,
2. Dau tu vao cong ty lien ket. lien doanh,,,,,,
3. Dau tu gop von vao don vi khac,,,,26811,26811,
4. Du phong dau tu tai chinh dai han (*),,,,,,
5. Dau tu nam giu den ngay dao han,,,,,,
6. Dau tu dai han khac,,26811,26811,,,
VI. Tai san dai han khac,,480,354,1171,1363,
1. Chi phi tra truoc dai han,,480,354,490,778,
2. Tai san thue thu nhap hoan lai,,,,681,585,
3. Thiet bi vat tu phu tung thay the dai han,,,,,,
4. Tai san dai han khac,,,,,,
VII. Loi the thuong mai,,,,,,
TONG CONG TAI SAN,,348066,332605,321079,325090,
NGUON VON,,,,,,
A. NO PHAI TRA,,31849,30901,18640,17657,
I. No ngan han,,31849,30901,18640,17657,
1. Phai tra nguoi ban ngan han,,3829,2348,1320,301,
2. Nguoi mua tra tien truoc ngan han,,633,1552,1670,930,
3. Thue va cac khoan phai nop Nha nuoc,,2199,2030,1620,2,
4. Phai tra nguoi lao dong,,6922,6575,5755,4329,
5. Chi phi phai tra ngan han,,12423,14406,3454,3352,
6. Phai tra noi bo ngan han,,,,
