TAI SAN,,,,,,
A. TAI SAN NGAN HAN,,152895,144782,147225,148912,
I. Tien va cac khoan tuong duong tien,,3419,421,2152,7136,
1. Tien,,406,421,2152,7136,
2. Cac khoan tuong duong tien,,3013,,,,
II. Dau tu tai chinh ngan han,,,,,,
1. Chung khoan kinh doanh,,,,,,
2. Du phong giam gia chung khoan kinh doanh (*),,,,,,
3. Dau tu nam giu den ngay dao han,,,,,,
III. Cac khoan phai thu ngan han,,149438,142649,143933,140653,
1. Phai thu ngan han cua khach hang,,92631,83051,69435,66655,
2. Tra truoc cho nguoi ban ngan han,,3405,3205,3105,3105,
3. Phai thu noi bo ngan han,,,,,,
4. Phai thu theo tien do ke hoach hop dong xay dung,,,,,,
5. Phai thu ve cho vay ngan han,,,,,,
6. Phai thu ngan han khac,,53904,56895,71895,71195,
7. Du phong phai thu ngan han kho doi (*),,(502),(502),(502),,
8. Tai san thieu cho xu ly,,,,,(302),
IV. Hang ton kho,,,1633,1076,1076,
1. Hang ton kho,,,1633,1076,1076,
2. Du phong giam gia hang ton kho (*),,,,,,
V. Tai san ngan han khac,,38,78,64,47,
1. Chi phi tra truoc ngan han,,,12,9,5,
2. Thue GTGT duoc khau tru,,32,60,16,2,
3. Thue va cac khoan khac phai thu cua nha nuoc,,6,6,39,39,
4. Giao dich mua ban lai trai phieu chinh phu,,,,,,
5. Tai san ngan han khac,,,,,,
B. TAI SAN DAI HAN,,258440,260110,248398,248773,
I. Cac khoan phai thu dai han,,228876,229667,219185,219625,
1. Phai thu dai han cua khach hang,,,,,,
2. Tra truoc cho nguoi ban dai han,,,,,,
3. Von kinh doanh o cac don vi truc thuoc,,,,,,
4. Phai thu noi bo dai han,,,,,,
5. Phai thu ve cho vay dai han,,,,,,
6. Phai thu dai han khac,,228876,229667,219185,219625,
7. Du phong phai thu dai han kho doi (*),,,,,,
II. Tai san co dinh,,,889,844,799,
1. Tai san co dinh huu hinh,,,889,844,799,
- Nguyen gia,,,904,904,904,
- Gia tri hao mon luy ke (*),,,(15),(60),(105),
2. Tai san co dinh thue tai chinh,,,,,,
- Nguyen gia,,,,,,
- Gia tri hao mon luy ke (*),,,,,,
3. Tai san co dinh vo hinh,,,,,,
- Nguyen gia,,47,47,47,47,
- Gia tri hao mon luy ke (*),,(47),(47),(47),(47),
III. Bat dong san dau tu,,,,,,
- Nguyen gia,,,,,,
- Gia tri hao mon luy ke (*),,,,,,
IV. Tai san do dang dai han,,1381,1381,,,
1. Chi phi san xuat kinh doanh do dang dai han,,,,,,
2. Chi phi xay dung co ban do dang,,1381,1381,,,
V. Dau tu tai chinh dai han,,28080,28080,28080,28080,
1. Dau tu vao cong ty con,,,,,,
2. Dau tu vao cong ty lien ket. lien doanh,,,,,,
3. Dau tu gop von vao don vi khac,,28080,28080,28080,28080,
4. Du phong dau tu tai chinh dai han (*),,,,,,
5. Dau tu nam giu den ngay dao han,,,,,,
6. Dau tu dai han khac,,,,,,
VI. Tai san dai han khac,,103,94,289,270,
1. Chi phi tra truoc dai han,,103,94,289,270,
2. Tai san thue thu nhap hoan lai,,,,,,
3. Thiet bi vat tu phu tung thay the dai han,,,,,,
4. Tai san dai han khac,,,,,,
VII. Loi the thuong mai,,,,,,
TONG CONG TAI SAN,,411335,404892,395623,397685,
NGUON VON,,,,,,
A. NO PHAI TRA,,139156,131264,123966,124391,
I. No ngan han,,139156,130729,123465,124027,
1. Phai tra nguoi ban ngan han,,124636,118759,111463,112080,
2. Nguoi mua tra tien truoc ngan han,,,,,,
3. Thue va cac khoan phai nop Nha nuoc,,862,762,773,839,
4. Phai tra nguoi lao dong,,162,176,181,174,
5. Chi phi phai tra ngan han,,1554,926,926,926,
6. Phai tra noi bo ngan han,,,,,,
7. Phai tra theo tien do ke hoach hop dong xay dung,,,,,,
8. Doanh thu chua thuc hien ngan han,,,,,,
9. Phai tra ngan han khac,,11941,10107,10122,9906,
10. Vay va no thue tai chinh ngan han,,,,,102,
11. Du phong phai tra ngan han,,,,,,
12. Quy khen thuong phuc loi,,,,,,
13. Quy binh on gia,,,,,,
14. Giao dich mua ban lai trai phieu Chinh phu,,,,,,
II. No dai han,,,535,501,364,
1. Phai tra nguoi ban dai han,,,,,,
2. Nguoi mua tra tien truoc dai han,,,,,,
3. Chi phi phai tra dai han,,,,,,
4. Phai tra noi bo ve von kinh doanh,,,,,,
5. Phai tra noi bo dai han,,,,,,
6. Doanh thu chua thuc hien dai han,,,,,,
7. Phai tra dai han khac,,,,,,
8. Vay va no thue tai chinh dai han,,,535,501,364,
9. Trai phieu chuyen doi,,,,,,
10. Co phieu uu dai (No),,,,,,
11. Thue thu nhap hoan lai phai tra,,,,,,
12. Du phong phai tra dai han,,,,,,
13. Quy phat trien khoa hoc va cong nghe,,,,,,
14. Du phong tro cap mat viec lam,,,,,,
B. VON CHU SO HUU,,272179,273628,271657,273293,
I. Von chu so huu,,272179,273628,271657,273293,
1. Von gop cua chu so huu,,255000,255000,255000,255000,
- Co phieu pho thong co quyen bieu quyet,,255000,255000,255000,255000,
- Co phieu uu dai,,,,,,
2. Thang du von co phan,,2019,2019,2019,2019,
3. Quyen chon chuyen doi trai phieu,,,,,,
4. Von khac cua chu so huu,,,,,,
5. Co phieu quy (*),,,,,,
6. Chenh lech danh gia lai tai san,,,,,,
7. Chenh lech ty gia hoi doai,,,,,,
8. Quy dau tu phat trien,,,,,,
9. Quy ho tro sap xep doanh nghiep,,,,,,
10. Quy khac thuoc von chu so huu,,,,,,
11. Loi nhuan sau thue chua phan phoi,,9501,10960,8779,10526,
- LNST chua phan phoi luy ke den cuoi ky truoc,,7290,7290,7243,8867,
- LNST chua phan phoi ky nay,,2211,3670,1536,1659,
12. Nguon von dau tu XDCB,,,,,,
13. Loi ich co dong khong kiem soat,,5659,5649,5859,5749,
14. Quy du phong tai chinh,,,,,,
II. Nguon kinh phi va quy khac,,,,,,
1. Nguon kinh phi,,,,,,
2. Nguon kinh phi da hinh thanh TSCD,,,,,,
C. LOI ICH CO DONG THIEU SO,,,,,,
TONG CONG NGUON VON,,411335,404892,395623,397685,
