TAI SAN,,,,,,
A. TAI SAN NGAN HAN,,981524,945641,920768,875804,
I. Tien va cac khoan tuong duong tien,,275431,162019,203276,51460,
1. Tien,,90806,88047,133041,50958,
2. Cac khoan tuong duong tien,,184624,73973,70235,502,
II. Dau tu tai chinh ngan han,,10250,10850,10600,10600,
1. Chung khoan kinh doanh,,10250,,,,
2. Du phong giam gia chung khoan kinh doanh (*),,,,,,
3. Dau tu nam giu den ngay dao han,,,10850,10600,10600,
III. Cac khoan phai thu ngan han,,384509,458854,382185,445039,
1. Phai thu ngan han cua khach hang,,271966,186028,137081,137061,
2. Tra truoc cho nguoi ban ngan han,,96539,251762,129120,130613,
3. Phai thu noi bo ngan han,,,,1441,,
4. Phai thu theo tien do ke hoach hop dong xay dung,,,,,,
5. Phai thu ve cho vay ngan han,,,,,,
6. Phai thu ngan han khac,,22178,24468,117733,180597,
7. Du phong phai thu ngan han kho doi (*),,(6855),(4085),(3934),(3975),
8. Tai san thieu cho xu ly,,681,681,743,743,
IV. Hang ton kho,,300270,303393,304833,338692,
1. Hang ton kho,,300818,303721,305780,338903,
2. Du phong giam gia hang ton kho (*),,(548),(328),(947),(211),
V. Tai san ngan han khac,,11063,10525,19874,30014,
1. Chi phi tra truoc ngan han,,3201,2522,4420,4735,
2. Thue GTGT duoc khau tru,,7834,7778,15262,25032,
3. Thue va cac khoan khac phai thu cua nha nuoc,,28,225,192,247,
4. Giao dich mua ban lai trai phieu chinh phu,,,,,,
5. Tai san ngan han khac,,,,,,
B. TAI SAN DAI HAN,,383891,354749,436591,584481,
I. Cac khoan phai thu dai han,
