TAI SAN,,,,,,
A. TAI SAN NGAN HAN,,1137922,524301,373471,392543,
I. Tien va cac khoan tuong duong tien,,590633,180602,92677,136194,
1. Tien,,71476,40402,24977,11123,
2. Cac khoan tuong duong tien,,519157,140200,67700,125070,
II. Dau tu tai chinh ngan han,,292281,43775,,,
1. Chung khoan kinh doanh,,292281,43775,,,
2. Du phong giam gia chung khoan kinh doanh (*),,,,,,
3. Dau tu nam giu den ngay dao han,,,,,,
III. Cac khoan phai thu ngan han,,144831,190605,178863,179235,
1. Phai thu ngan han cua khach hang,,7903,5062,5930,3708,
2. Tra truoc cho nguoi ban ngan han,,99800,170393,161516,168210,
3. Phai thu noi bo ngan han,,,,,,
4. Phai thu theo tien do ke hoach hop dong xay dung,,,,,,
5. Phai thu ve cho vay ngan han,,,,,,
6. Phai thu ngan han khac,,38244,16427,12696,8595,
7. Du phong phai thu ngan han kho doi (*),,(1115),(1278),(1278),(1278),
8. Tai san thieu cho xu ly,,,,,,
IV. Hang ton kho,,94605,88381,74239,49058,
1. Hang ton kho,,94686,88710,75185,49058,
2. Du phong giam gia hang ton kho (*),,(81),(329),(947),,
V. Tai san ngan han khac,,15572,20938,27692,28057,
1. Chi phi tra truoc ngan han,,,226,36,,
2. Thue GTGT duoc khau tru,,7535,17181,27169,27961,
3. Thue va cac khoan khac phai thu cua nha nuoc,,4586,1846,487,96,
4. Giao dich mua ban lai trai phieu chinh phu,,,,,,
5. Tai san ngan han khac,,3451,1686,,,
B. TAI SAN DAI HAN,,796129,1062955,1274998,1360834,
I. Cac khoan phai thu dai han,,,,1730,1749,
1. Phai thu dai han cua khach hang,,,,,,
2. Tra truoc cho nguoi ban dai han,,,,,,
3. Von kinh doanh o cac don vi truc thuoc,,,,,,
4. Phai thu noi bo dai han,,,,,,
5. Phai thu ve cho vay dai han,,,,,,
6. Phai thu dai han khac,,,,1730,1749,
7. Du phong phai thu dai han kho doi (*),,,,,,
II. Tai san co dinh,,610101,862938,263532,248967,
1. Tai san co dinh huu hinh,,241952,262106,260809,246593,
- Nguyen gia,,452603,480611,486372,485237,
- Gia tri hao mon luy ke (*),,(210651),(218505),(225563),(238644),
2. Tai san co dinh thue tai chinh,,,,,,
- Nguyen gia,,,,
