TAI SAN,,,,,,
A. TAI SAN NGAN HAN,,646998,768524,981209,958011,
I. Tien va cac khoan tuong duong tien,,461,479,8587,991,
1. Tien,,461,479,787,991,
2. Cac khoan tuong duong tien,,,,7800,,
II. Dau tu tai chinh ngan han,,7800,7800,104300,142874,
1. Chung khoan kinh doanh,,7800,7800,,,
2. Du phong giam gia chung khoan kinh doanh (*),,,,,,
3. Dau tu nam giu den ngay dao han,,,,104300,142874,
III. Cac khoan phai thu ngan han,,92542,136942,202817,178690,
1. Phai thu ngan han cua khach hang,,69593,76420,153838,100600,
2. Tra truoc cho nguoi ban ngan han,,15646,52837,36409,39887,
3. Phai thu noi bo ngan han,,,,,,
4. Phai thu theo tien do ke hoach hop dong xay dung,,,,,,
5. Phai thu ve cho vay ngan han,,,,,,
6. Phai thu ngan han khac,,7303,7686,12760,38252,
7. Du phong phai thu ngan han kho doi (*),,,,(190),(49),
8. Tai san thieu cho xu ly,,,,,,
IV. Hang ton kho,,538449,614432,650896,618209,
1. Hang ton kho,,538449,614432,650896,618209,
2. Du phong giam gia hang ton kho (*),,,,,,
V. Tai san ngan han khac,,7745,8871,14609,17247,
1. Chi phi tra truoc ngan han,,764,1408,4321,1152,
2. Thue GTGT duoc khau tru,,5962,6702,9825,15338,
3. Thue va cac khoan khac phai thu cua nha nuoc,,697,465,464,757,
4. Giao dich mua ban lai trai phieu chinh phu,,,,,,
5. Tai san ngan han khac,,322,297,,,
B. TAI SAN DAI HAN,,339540,306675,309788,331932,
I. Cac khoan phai thu dai han,,34230,34281,34408,34408,
1. Phai thu dai han cua khach hang,,,,,,
2. Tra truoc cho nguoi ban dai han,,,,,,
3. Von kinh doanh o cac don vi truc thuoc,,,,,,
4. Phai thu noi bo dai han,,,,,,
5. Phai thu ve cho vay dai han,,,,,,
6. Phai thu dai han khac,,34230,34281,34408,34408,
7. Du phong phai thu dai han kho doi (*),,,,,,
II. Tai san co dinh,,244258,233041,216525,221866,
1. Tai san co dinh huu hinh,,233005,215833,207027,212370,
- Nguyen gia,,307152,308591,314335,331793,
- Gia tri hao mon luy ke (*),,(74148),(92758),(107309),(119423),
2. Tai san co dinh thue tai chinh,,,,,,
- Nguyen gia,,,,,,
- Gia tri hao mon luy ke (*),,,,,,
3. Tai san co dinh vo hinh,,9519,9508,9498,9496,
- Nguyen gia,,9572,9572,9572,9572,
- Gia tri hao mon luy ke (*),,(54),(64),(74),(77),
III. Bat dong san dau tu,,15434,,,,
- Nguyen gia,,15434,,,,
- Gia tri hao mon luy ke (*),,,,,,
IV. Tai san do dang dai han,,,,8251,20437,
1. Chi phi san xuat kinh doanh do dang dai han,,,,,,
2. Chi phi xay dung co ban do dang,,1735,7699,8251,20437,
V. Dau tu tai chinh dai han,,,,,,
1. Dau tu vao cong ty con,,,,,,
2. Dau tu vao cong ty lien ket. lien doanh,,,,,,
3. Dau tu gop von vao don vi khac,,,,,,
4. Du phong dau tu tai chinh dai han (*),,,,,,
5. Dau tu nam giu den ngay dao han,,,,,,
6. Dau tu dai han khac,,,,,,
VI. Tai san dai han khac,,45617,39353,50604,55221,
1. Chi phi tra truoc dai han,,45517,39253,50604,55221,
2. Tai san thue thu nhap hoan lai,,,,,,
3. Thiet bi vat tu phu tung thay the dai han,,,,,,
4. Tai san dai han khac,,100,100,,,
VII. Loi the thuong mai,,,,,,
TONG CONG TAI SAN,,986537,1075198,1290997,1289943,
NGUON VON,,,,,,
A. NO PHAI TRA,,701242,789860,1012314,1035575,
I. No ngan han,,661398,770296,997839,992675,
1. Phai tra nguoi ban ngan han,,132881,137540,146111,170300,
2. Nguoi mua tra tien truoc ngan han,,9270,5751,3926,4316,
3. Thue va cac khoan phai nop Nha nuoc,,25912,27274,26846,25890,
4. Phai tra nguoi lao dong,,5472,6425,5502,4757,
5. Chi phi phai tra ngan han,,,598,649,,
6. Phai tra noi bo ngan han,,,,,,
7. Phai tra theo tien do ke hoach hop dong xay dung,,,,,,
8. Doanh thu chua thuc hien ngan han,,,,,,
9. Phai tra ngan han khac,,30344,9558,13852,1297,
10. Vay va no thue tai chinh ngan han,,459129,584577,802413,786282,
11. Du phong phai tra ngan han,,,,,,
12. Quy khen thuong phuc loi,,(1611),(1428),(1461),(168),
13. Quy binh on gia,,,,,,
14. Giao dich mua ban lai trai phieu Chinh phu,,,,,,
II. No dai han,,39844,19564,14475,42900,
1. Phai tra nguoi ban dai han,,,,3075,,
2. Nguoi mua tra tien truoc dai han,,,,,,
3. Chi phi phai tra dai han,,,,,,
4. Phai tra noi bo ve von kinh doanh,,,,,,
5. Phai tra noi bo dai han,,,,,,
6. Doanh thu chua thuc hien dai han,,,,,,
