TAI SAN,,,,,,
A. TAI SAN NGAN HAN,,657681,615104,808710,697592,
I. Tien va cac khoan tuong duong tien,,29385,22529,32673,78359,
1. Tien,,26385,22529,31673,25359,
2. Cac khoan tuong duong tien,,3000,,1000,53000,
II. Dau tu tai chinh ngan han,,280675,249210,208060,319138,
1. Chung khoan kinh doanh,,150755,150755,115930,148808,
2. Du phong giam gia chung khoan kinh doanh (*),,,,,,
3. Dau tu nam giu den ngay dao han,,129920,98455,92130,170330,
III. Cac khoan phai thu ngan han,,159364,165442,440550,175596,
1. Phai thu ngan han cua khach hang,,139308,148219,407704,126527,
2. Tra truoc cho nguoi ban ngan han,,34458,32597,34673,48339,
3. Phai thu noi bo ngan han,,,,,,
4. Phai thu theo tien do ke hoach hop dong xay dung,,,,,,
5. Phai thu ve cho vay ngan han,,,,,2000,
6. Phai thu ngan han khac,,6426,7110,8290,8847,
7. Du phong phai thu ngan han kho doi (*),,(20827),(22485),(10591),(10591),
8. Tai san thieu cho xu ly,,,,474,474,
IV. Hang ton kho,,170191,156906,108479,104007,
1. Hang ton kho,,172309,159024,110302,105830,
2. Du phong giam gia hang ton kho (*),,(2117),(2117),(1823),(1823),
V. Tai san ngan han khac,,18065,21016,18948,20492,
1. Chi phi tra truoc ngan han,,3642,3199,1054,1822,
2. Thue GTGT duoc khau tru,,11974,15368,16564,17336,
3. Thue va cac khoan khac phai thu cua nha nuoc,,2450,2450,1329,1335,
4. Giao dich mua ban lai trai phieu chinh phu,,,,,,
5. Tai san ngan han khac,,,,,,
B. TAI SAN DAI HAN,,1581933,1607313,1514490,1531655,
I. Cac khoan phai thu dai han,,8914,5970,4953,5035,
1. Phai thu dai han cua khach hang,,8904,5960,,,
2. Tra truoc cho nguoi ban dai han,,,,,,
3. Von kinh doanh o cac don vi truc thuoc,,,,,,
4. Phai thu noi bo dai han,,,,,,
5. Phai thu ve cho vay dai han,,,,,,
6. Phai thu dai han khac,,10,10,4953,5035,
7. Du phong phai thu dai han kho doi (*),,,,,,
II. Tai san co dinh,,231778,238499,157876,163240,
1. Tai san co dinh huu hinh,,129604,137189,73005,78739,
- Nguyen gia,,215198,226549,142640,146350,
- Gia tri hao mon luy ke (*),,(85594),(89360),(69634),(67612),
2. Tai san co dinh thue tai chinh,,,,,,
- Nguyen gia,,,,,,
- Gia tri hao mon luy ke (*),,,,,,
3. Tai san co dinh vo hinh,,102174,101310,84871,84501,
- Nguyen gia,,106564,106564,86444,86444,
- Gia tri hao mon luy ke (*),,(4390),(5254),(1573),(1943),
III. Bat dong san dau tu,,,,,,
- Nguyen gia,,,,,,
