TAI SAN,,,,,,
A. TAI SAN NGAN HAN,,846254,863554,909115,1022649,
I. Tien va cac khoan tuong duong tien,,66785,47117,29503,36035,
1. Tien,,66785,47117,29503,36035,
2. Cac khoan tuong duong tien,,,,,,
II. Dau tu tai chinh ngan han,,,,,,
1. Chung khoan kinh doanh,,,,,,
2. Du phong giam gia chung khoan kinh doanh (*),,,,,,
3. Dau tu nam giu den ngay dao han,,,,,,
III. Cac khoan phai thu ngan han,,433805,394880,408435,468166,
1. Phai thu ngan han cua khach hang,,389432,376126,352419,395560,
2. Tra truoc cho nguoi ban ngan han,,32959,10230,16646,26538,
3. Phai thu noi bo ngan han,,,,,,
4. Phai thu theo tien do ke hoach hop dong xay dung,,,,,,
5. Phai thu ve cho vay ngan han,,,,,,
6. Phai thu ngan han khac,,11415,8524,39370,46068,
7. Du phong phai thu ngan han kho doi (*),,,,,,
8. Tai san thieu cho xu ly,,,,,,
IV. Hang ton kho,,324359,396325,471115,518307,
1. Hang ton kho,,324359,396325,471115,518307,
2. Du phong giam gia hang ton kho (*),,,,,,
V. Tai san ngan han khac,,21305,25232,62,141,
1. Chi phi tra truoc ngan han,,109,146,62,141,
2. Thue GTGT duoc khau tru,,,,,,
3. Thue va cac khoan khac phai thu cua nha nuoc,,,,,,
4. Giao dich mua ban lai trai phieu chinh phu,,,,,,
5. Tai san ngan han khac,,21196,25086,,,
B. TAI SAN DAI HAN,,1008101,1043712,1022603,947516,
I. Cac khoan phai thu dai han,,76029,94835,85251,61705,
1. Phai thu dai han cua khach hang,,73284,78496,72739,34910,
2. Tra truoc cho nguoi ban dai han,,,,17410,29692,
3. Von kinh doanh o cac don vi truc thuoc,,,,,,
4. Phai thu noi bo dai han,,,,,,
5. Phai thu ve cho vay dai han,,,,,,
6. Phai thu dai han khac,,7972,21070,,,
7. Du phong phai thu dai han kho doi (*),,(5228),(4731),(4898),(2898),
II. Tai san co dinh,,921175,939654,928023,881024,
1. Tai san co dinh huu hinh,,907562,916542,903918,858082,
- Nguyen gia,,1051516,1102950,1138618,1143151,
- Gia tri hao mon luy ke (*),,(143954),(186408),(234700),(285069),
2. Tai san co dinh thue tai chinh,,,,,,
- Nguyen gia,,,,,,
- Gia tri hao mon luy ke (*),,,,,,
3. Tai san co dinh vo hinh,,3479,18430,24105,22942,
- Nguyen gia,,16296,27544,35255,37105,
- Gia tri hao mon luy ke (*),
