TAI SAN,,,,,,
A. TAI SAN NGAN HAN,,510650,611105,664965,428877,
I. Tien va cac khoan tuong duong tien,,157514,192842,234552,106553,
1. Tien,,25849,26707,49212,26553,
2. Cac khoan tuong duong tien,,131665,166135,185340,80000,
II. Dau tu tai chinh ngan han,,1000,,,40000,
1. Chung khoan kinh doanh,,1000,,,,
2. Du phong giam gia chung khoan kinh doanh (*),,,,,,
3. Dau tu nam giu den ngay dao han,,,,,40000,
III. Cac khoan phai thu ngan han,,197654,217152,209329,139584,
1. Phai thu ngan han cua khach hang,,190957,217214,207304,139383,
2. Tra truoc cho nguoi ban ngan han,,6404,966,2873,248,
3. Phai thu noi bo ngan han,,,,,,
4. Phai thu theo tien do ke hoach hop dong xay dung,,,,,,
5. Phai thu ve cho vay ngan han,,,,,,
6. Phai thu ngan han khac,,1939,687,648,1072,
7. Du phong phai thu ngan han kho doi (*),,(1645),(1715),(1497),(1119),
8. Tai san thieu cho xu ly,,,,,,
IV. Hang ton kho,,145560,178168,199975,136563,
1. Hang ton kho,,146477,178785,200915,137986,
2. Du phong giam gia hang ton kho (*),,(917),(617),(941),(1423),
V. Tai san ngan han khac,,8922,22942,21110,6176,
1. Chi phi tra truoc ngan han,,1622,1105,1657,921,
2. Thue GTGT duoc khau tru,,7093,21595,19231,4640,
3. Thue va cac khoan khac phai thu cua nha nuoc,,,,,,
4. Giao dich mua ban lai trai phieu chinh phu,,,,,,
5. Tai san ngan han khac,,208,242,222,616,
B. TAI SAN DAI HAN,,126547,116429,108851,190602,
I. Cac khoan phai thu dai han,,,,,122802,
1. Phai thu dai han cua khach hang,,,,,,
2. Tra truoc cho nguoi ban dai han,,,,,,
3. Von kinh doanh o cac don vi truc thuoc,,,,,122802,
4. Phai thu noi bo dai han,,,,,,
5. Phai thu ve cho vay dai han,,,,,,
6. Phai thu dai han khac,,,,,,
7. Du phong phai thu dai han kho doi (*),,,,,,
II. Tai san co dinh,,122591,112884,97516,55369,
1. Tai san co dinh huu hinh,,121460,112235,97327,55293,
- Nguyen gia,,429863,439938,442619,301628,
- Gia tri hao mon luy ke (*),,(308403),(327703),(345292),(246334),
2. Tai san co dinh thue tai chinh,,,,,,
- Nguyen gia,,,,,,
