TAI SAN,,,,,,
A. TAI SAN NGAN HAN,,1154681,1144136,1233442,503816,
I. Tien va cac khoan tuong duong tien,,11405,33225,23428,42727,
1. Tien,,11405,33225,21928,21173,
2. Cac khoan tuong duong tien,,,,1500,21554,
II. Dau tu tai chinh ngan han,,,,,400,
1. Chung khoan kinh doanh,,,,,,
2. Du phong giam gia chung khoan kinh doanh (*),,,,,,
3. Dau tu nam giu den ngay dao han,,,,,400,
III. Cac khoan phai thu ngan han,,408708,369224,366815,209834,
1. Phai thu ngan han cua khach hang,,160940,204240,199550,144644,
2. Tra truoc cho nguoi ban ngan han,,48869,43218,32683,22449,
3. Phai thu noi bo ngan han,,,,,,
4. Phai thu theo tien do ke hoach hop dong xay dung,,,,,,
5. Phai thu ve cho vay ngan han,,,,,,
6. Phai thu ngan han khac,,200005,122226,135043,44577,
7. Du phong phai thu ngan han kho doi (*),,(1106),(460),(460),(1836),
8. Tai san thieu cho xu ly,,,,,,
IV. Hang ton kho,,700531,718111,829249,222064,
1. Hang ton kho,,700531,718111,829249,222064,
2. Du phong giam gia hang ton kho (*),,,,,,
V. Tai san ngan han khac,,34037,23577,13950,28792,
1. Chi phi tra truoc ngan han,,190,154,574,599,
2. Thue GTGT duoc khau tru,,20011,13681,8628,7240,
3. Thue va cac khoan khac phai thu cua nha nuoc,,5969,6776,4748,20953,
4. Giao dich mua ban lai trai phieu chinh phu,,,,,,
5. Tai san ngan han khac,,7867,2965,,,
B. TAI SAN DAI HAN,,653231,514238,561394,575169,
I. Cac khoan phai thu dai han,,,,6185,6775,
1. Phai thu dai han cua khach hang,,,,,,
2. Tra truoc cho nguoi ban dai han,,,,,,
3. Von kinh doanh o cac don vi truc thuoc,,,,,,
4. Phai thu noi bo dai han,,,,,,
5. Phai thu ve cho vay dai han,,,,,,
6. Phai thu dai han khac,,,,6185,6775,
7. Du phong phai thu dai han kho doi (*),,,,,,
II. Tai san co dinh,,487224,394721,81178,77697,
1. Tai san co dinh huu hinh,,110407,58719,55980,53929,
- Nguyen gia,,193318,109743,116914,122770,
- Gia tri hao mon luy ke (*),,(82912),(51024),(60934),(68842),
2. Tai san co dinh thue tai chinh,,6992,,,,
- Nguyen gia,,9323,,,,
- Gia tri hao mon luy ke (*),,(2331),,,,
3. Tai san co dinh vo hinh,,85949,25659,25198,23768,
- Nguyen gia,,94593,28470,28470,26120,
- Gia tri hao mon luy ke (*),,(8644),(2811),
