TAI SAN,,,,,,
A. TAI SAN NGAN HAN,,524268,460708,585755,495198,
I. Tien va cac khoan tuong duong tien,,247237,198037,142367,160926,
1. Tien,,26237,22037,26367,55926,
2. Cac khoan tuong duong tien,,221000,176000,116000,105000,
II. Dau tu tai chinh ngan han,,10000,10000,10000,10000,
1. Chung khoan kinh doanh,,,,,,
2. Du phong giam gia chung khoan kinh doanh (*),,,,,,
3. Dau tu nam giu den ngay dao han,,10000,10000,10000,10000,
III. Cac khoan phai thu ngan han,,31881,42278,28377,86672,
1. Phai thu ngan han cua khach hang,,19773,31986,5078,62130,
2. Tra truoc cho nguoi ban ngan han,,9679,9615,2851,4482,
3. Phai thu noi bo ngan han,,,,,,
4. Phai thu theo tien do ke hoach hop dong xay dung,,,,,,
5. Phai thu ve cho vay ngan han,,1141,1141,1141,1141,
6. Phai thu ngan han khac,,3183,1431,21201,20814,
7. Du phong phai thu ngan han kho doi (*),,(1894),(1894),(1894),(1894),
8. Tai san thieu cho xu ly,,,,,,
IV. Hang ton kho,,223622,193768,365791,216203,
1. Hang ton kho,,223622,193768,365791,216203,
2. Du phong giam gia hang ton kho (*),,,,,,
V. Tai san ngan han khac,,11528,16625,39220,21398,
1. Chi phi tra truoc ngan han,,9828,10817,28402,15105,
2. Thue GTGT duoc khau tru,,1699,5807,5928,5897,
3. Thue va cac khoan khac phai thu cua nha nuoc,,,,4891,396,
4. Giao dich mua ban lai trai phieu chinh phu,,,,,,
5. Tai san ngan han khac,,,,,,
B. TAI SAN DAI HAN,,108607,104849,113443,113401,
I. Cac khoan phai thu dai han,,,,,,
1. Phai thu dai han cua khach hang,,,,,,
2. Tra truoc cho nguoi ban dai han,,,,,,
3. Von kinh doanh o cac don vi truc thuoc,,,,,,
4. Phai thu noi bo dai han,,,,,,
5. Phai thu ve cho vay dai han,,,,,,
6. Phai thu dai han khac,,,,,,
7. Du phong phai thu dai han kho doi (*),,,,,,
II. Tai san co dinh,,12405,12405,16853,14063,
1. Tai san co dinh huu hinh,,12405,12405,16853,14063,
- Nguyen gia,,167879,167879,171431,171431,
- Gia tri hao mon luy ke (*),,(155474),(155474),(154578),(157368),
2. Tai san co dinh thue tai chinh,,,,,,
- Nguyen gia,,,,,,
- Gia tri hao mon luy ke (*),,,,,,
3. Tai san co dinh vo hinh,,,,,,
- Nguyen gia,,34358,34358,34358,34358,
- Gia tri hao mon luy ke (*),,(34358),(34358),(34358),(34358),
III. Bat dong san dau tu,,,,,,
- Nguyen gia,,,,,,
- Gia tri hao mon luy ke (*),,,,,,
IV. Tai san do dang dai han,,91926,88168,94560,97308,
1. Chi phi san xuat kinh doanh do dang dai han,,,,,,
2. Chi phi xay dung co ban do dang,,91926,88168,94560,97308,
V. Dau tu tai chinh dai han,,,,,,
1. Dau tu vao cong ty con,,,,,,
2. Dau tu vao cong ty lien ket. lien doanh,,,,,,
3. Dau tu gop von vao don vi khac,,,,,,
4. Du phong dau tu tai chinh dai han (*),,,,,,
5. Dau tu nam giu den ngay dao han,,,,,,
6. Dau tu dai han khac,,,,,,
VI. Tai san dai han khac,,4276,4276,2031,2031,
1. Chi phi tra truoc dai han,,,,,,
2. Tai san thue thu nhap hoan lai,,4276,4276,2031,2031,
3. Thiet bi vat tu phu tung thay the dai han,,,,,,
4. Tai san dai han khac,,,,,,
VII. Loi the thuong mai,,,,,,
TONG CONG TAI SAN,,632875,565557,699198,608599,
NGUON VON,,,,,,
A. NO PHAI TRA,,179284,104352,233897,122993,
I. No ngan han,,179284,104352,233897,122993,
1. Phai tra nguoi ban ngan han,,55575,42212,70063,81158,
2. Nguoi mua tra tien truoc ngan han,,28456,193,361,140,
3. Thue va cac khoan phai nop Nha nuoc,,6464,4192,14,3090,
4. Phai tra nguoi lao dong,,30858,37870,33502,26594,
5. Chi phi phai tra ngan han,,11500,8104,2143,579,
6. Phai tra noi bo ngan han,,,,,,
7. Phai tra theo tien do ke hoach hop dong xay dung,,,,,,
8. Doanh thu chua thuc hien ngan han,,,,,,
9. Phai tra ngan han khac,,31274,1634,116788,1473,
10. Vay va no thue tai chinh ngan han,,,,,,
11. Du phong phai tra ngan han,,6473,1566,2500,2500,
12. Quy khen thuong phuc loi,,8684,8580,8525,7460,
13. Quy binh on gia,,,,,,
14. Giao dich mua ban lai trai phieu Chinh phu,,,,,,
II. No dai han,,,
