TAI SAN,,,,,,
A. TAI SAN NGAN HAN,,792703,951628,957407,1103981,
I. Tien va cac khoan tuong duong tien,,146586,193005,167946,171369,
1. Tien,,34554,43005,87946,171369,
2. Cac khoan tuong duong tien,,112032,150000,80000,,
II. Dau tu tai chinh ngan han,,,,,40000,
1. Chung khoan kinh doanh,,,,,,
2. Du phong giam gia chung khoan kinh doanh (*),,,,,,
3. Dau tu nam giu den ngay dao han,,,,,40000,
III. Cac khoan phai thu ngan han,,353852,389136,339688,497411,
1. Phai thu ngan han cua khach hang,,363823,429248,375140,486643,
2. Tra truoc cho nguoi ban ngan han,,4030,1030,1675,13726,
3. Phai thu noi bo ngan han,,,,,,
4. Phai thu theo tien do ke hoach hop dong xay dung,,,,,,
5. Phai thu ve cho vay ngan han,,,,,,
6. Phai thu ngan han khac,,16734,15725,13679,28128,
7. Du phong phai thu ngan han kho doi (*),,(30736),(56867),(50820),(31087),
8. Tai san thieu cho xu ly,,,,13,,
IV. Hang ton kho,,281580,363625,445779,391217,
1. Hang ton kho,,284259,370586,445779,396435,
2. Du phong giam gia hang ton kho (*),,(2679),(6961),,(5218),
V. Tai san ngan han khac,,10685,5862,3995,3984,
1. Chi phi tra truoc ngan han,,1655,2266,2445,3000,
2. Thue GTGT duoc khau tru,,149,145,134,,
3. Thue va cac khoan khac phai thu cua nha nuoc,,2641,13,1416,985,
4. Giao dich mua ban lai trai phieu chinh phu,,,,,,
5. Tai san ngan han khac,,6241,3438,,,
B. TAI SAN DAI HAN,,359589,338049,338227,396950,
I. Cac khoan phai thu dai han,,,,1215,1727,
1. Phai thu dai han cua khach hang,,,,,,
2. Tra truoc cho nguoi ban dai han,,,,,,
3. Von kinh doanh o cac don vi truc thuoc,,,,,,
4. Phai thu noi bo dai han,,,,,,
5. Phai thu ve cho vay dai han,,,,,,
6. Phai thu dai han khac,,,,1215,1727,
7. Du phong phai thu dai han kho doi (*),,,,,,
II. Tai san co dinh,,116406,105826,95878,109286,
1. Tai san co dinh huu hinh,,50194,41523,33788,43265,
- Nguyen gia,,112940,115180,116551,139189,
- Gia tri hao mon luy ke (*),,
