TAI SAN,,,,,,
A. TAI SAN NGAN HAN,,141559,442271,1324934,186379,
I. Tien va cac khoan tuong duong tien,,29505,70311,390255,1645,
1. Tien,,29505,70311,23255,1645,
2. Cac khoan tuong duong tien,,,,367000,,
II. Dau tu tai chinh ngan han,,2752,13252,9610,86,
1. Chung khoan kinh doanh,,3040,13540,10632,350,
2. Du phong giam gia chung khoan kinh doanh (*),,(288),(288),(1022),(264),
3. Dau tu nam giu den ngay dao han,,,,,,
III. Cac khoan phai thu ngan han,,99776,342847,900358,165466,
1. Phai thu ngan han cua khach hang,,37605,239946,150989,38614,
2. Tra truoc cho nguoi ban ngan han,,17412,72897,440785,64732,
3. Phai thu noi bo ngan han,,,,,,
4. Phai thu theo tien do ke hoach hop dong xay dung,,,,,,
5. Phai thu ve cho vay ngan han,,,,194700,,
6. Phai thu ngan han khac,,58743,40725,123809,83607,
7. Du phong phai thu ngan han kho doi (*),,(13985),(10721),(9925),(21488),
8. Tai san thieu cho xu ly,,,,,,
IV. Hang ton kho,,682,2389,21375,16058,
1. Hang ton kho,,682,2389,21375,16566,
2. Du phong giam gia hang ton kho (*),,,,,(509),
V. Tai san ngan han khac,,8844,13471,3335,3124,
1. Chi phi tra truoc ngan han,,57,,8,47,
2. Thue GTGT duoc khau tru,,6109,3305,3265,3024,
3. Thue va cac khoan khac phai thu cua nha nuoc,,38,37,62,53,
4. Giao dich mua ban lai trai phieu chinh phu,,,,,,
5. Tai san ngan han khac,,2640,10129,,,
B. TAI SAN DAI HAN,,421391,629699,
