TAI SAN,,,,,
A. TAI SAN NGAN HAN,,39844678,34875608,67699620,87583802
I. Tien va cac khoan tuong duong tien,,7534049,7607514,6938465,9833332
1. Tien,,830198,1709678,3771966,6243231
2. Cac khoan tuong duong tien,,6703850,5897836,3166499,3590102
II. Dau tu tai chinh ngan han,,5512841,6168171,11142980,494157
1. Chung khoan kinh doanh,,5564825,6245416,32369,32369
2. Du phong giam gia chung khoan kinh doanh (*),,-51984,-77245,-14958,-18997
3. Dau tu nam giu den ngay dao han,,,,11125568,480784
III. Cac khoan phai thu ngan han,,3791906,2863605,13848128,18254656
1. Phai thu ngan han cua khach hang,,906583,833001,2438800,3170763
2. Tra truoc cho nguoi ban ngan han,,1067204,1459216,6695027,5229186
3. Phai thu noi bo ngan han,,,,,
4. Phai thu theo tien do ke hoach hop dong xay dung,,,,,
5. Phai thu ve cho vay ngan han,,,,1763124,3224259
6. Phai thu ngan han khac,,1848566,626203,3165755,6809970
7. Du phong phai thu ngan han kho doi (*),,-30447,-54816,-214577,-179522
8. Tai san thieu cho xu ly,,,,,
IV. Hang ton kho,,18913717,16598351,28027418,49782781
1. Hang ton kho,,18922656,16653248,28085896,49879776
2. Du phong giam gia hang ton kho (*),,-8939,-54897,-58478,-96995
V. Tai san ngan han khac,,4092165,1637967,7742629,9218876
1. Chi phi tra truoc ngan han,,112996,175767,1548029,3123025
2. Thue GTGT duoc khau tru,,235933,549937,660028,972723
3. Thue va cac khoan khac phai thu cua nha nuoc,,20329,29444,23051,111458
4. Giao dich mua ban lai trai phieu chinh phu,,,,,
5. Tai san ngan han khac,,3722908,882819,5511521,5011671
B. TAI SAN DAI HAN,,35927971,55609699,77795053,92867048
I. Cac khoan phai thu dai han,,,,254324,465507
1. Phai thu dai han cua khach hang,,,,,
2. Tra truoc cho nguoi ban dai han,,,,,
3. Von kinh doanh o cac don vi truc thuoc,,,,,
4. Phai thu noi bo dai han,,,,,
5. Phai thu ve cho vay dai han,,,,62560,58990
6. Phai thu dai han khac,,,,191764,406517
7. Du phong phai thu dai han kho doi (*),,,,,
II. Tai san co dinh,,11724115,22319696,19763407,26878731
1. Tai san co dinh huu hinh,,5645717,10526341,19114346,26066822
- Nguyen gia,,6707573,12125926,22037695,30165242
- Gia tri hao mon luy ke (*),,-1061857,-1599586,-2923349,-4098420
