TAI SAN,,,,,,
A. TAI SAN NGAN HAN,,211969,140275,144481,187906,
I. Tien va cac khoan tuong duong tien,,1267,1255,2575,4971,
1. Tien,,1267,1255,2575,4971,
2. Cac khoan tuong duong tien,,,,,,
II. Dau tu tai chinh ngan han,,3920,,,12500,
1. Chung khoan kinh doanh,,3920,,,,
2. Du phong giam gia chung khoan kinh doanh (*),,,,,,
3. Dau tu nam giu den ngay dao han,,,,,12500,
III. Cac khoan phai thu ngan han,,155374,72000,99325,147551,
1. Phai thu ngan han cua khach hang,,153284,99668,132667,137265,
2. Tra truoc cho nguoi ban ngan han,,12280,3433,5861,14236,
3. Phai thu noi bo ngan han,,,,,,
4. Phai thu theo tien do ke hoach hop dong xay dung,,,,,,
5. Phai thu ve cho vay ngan han,,,,,,
6. Phai thu ngan han khac,,2605,3320,8083,20778,
7. Du phong phai thu ngan han kho doi (*),,(12796),(34422),(47286),(24728),
8. Tai san thieu cho xu ly,,,,,,
IV. Hang ton kho,,50481,65071,40755,22106,
1. Hang ton kho,,52991,65598,43437,27337,
2. Du phong giam gia hang ton kho (*),,(2510),(527),(2682),(5231),
V. Tai san ngan han khac,,926,1949,1826,778,
1. Chi phi tra truoc ngan han,,364,168,86,124,
2. Thue GTGT duoc khau tru,,172,1257,1564,456,
3. Thue va cac khoan khac phai thu cua nha nuoc,,340,516,176,198,
4. Giao dich mua ban lai trai phieu chinh phu,,,,,,
5. Tai san ngan han khac,,50,8,,,
B. TAI SAN DAI HAN,,234160,252719,294783,314213,
I. Cac khoan phai thu dai han,,,,,,
1. Phai thu dai han cua khach hang,,,,,,
2. Tra truoc cho nguoi ban dai han,,,,,,
3. Von kinh doanh o cac don vi truc thuoc,,,,,,
4. Phai thu noi bo dai han,,,,,,
5. Phai thu ve cho vay dai han,,,,,,
6. Phai thu dai han khac,,,,,,
7. Du phong phai thu dai han kho doi (*),,,,,,
II. Tai san co dinh,,6909,5981,7743,43764,
1. Tai san co dinh huu hinh,,6822,5971,7743,18788,
- Nguyen gia,,29148,29148,32077,48996,
- Gia tri hao mon luy ke (*),,(22326),(23177),(24334),(30208),
2. Tai san co dinh thue tai chinh,,,,,,
- Nguyen gia,,,,,,
- Gia tri hao mon luy ke (*),,,,,,
3. Tai san co dinh vo hinh,,20,10,,24976,
- Nguyen gia,,175,175,175,26653,
- Gia tri hao mon luy ke (*),,(155),(166),(175),(1678),
III. Bat dong san dau tu,,,,,,
- Nguyen gia,,,,,,
- Gia tri hao mon luy ke (*),,,,,,
IV. Tai san do dang dai han,,,,,2416,
1. Chi phi san xuat kinh doanh do dang dai han,,,,,,
2. Chi phi xay dung co ban do dang,,66,,,2416,
V. Dau tu tai chinh dai han,,226924,246714,287038,259132,
1. Dau tu vao cong ty con,,,,,,
2. Dau tu vao cong ty lien ket. lien doanh,,282544,282544,320484,226427,
3. Dau tu gop von vao don vi khac,,,,62434,69230,
4. Du phong dau tu tai chinh dai han (*),,(100707),(117235),(95880),(36524),
5. Dau tu nam giu den ngay dao han,,,,,,
6. Dau tu dai han khac,,45087,81405,,,
VI. Tai san dai han khac,,327,25,2,,
1. Chi phi tra truoc dai han,,327,25,2,,
2. Tai san thue thu nhap hoan lai,,,,,,
3. Thiet bi vat tu phu tung thay the dai han,,,,,,
4. Tai san dai han khac,,,,,,
VII. Loi the thuong mai,,,,,8901,
TONG CONG TAI SAN,,446129,392994,439264,502119,
NGUON VON,,,,,,
A. NO PHAI TRA,,169327,108127,145847,138929,
I. No ngan han,,118852,65100,105615,103990,
1. Phai tra nguoi ban ngan han,,15402,24027,8013,9149,
2. Nguoi mua tra tien truoc ngan han,,245,296,572,304,
3. Thue va cac khoan phai nop Nha nuoc,,1873,59,10297,1559,
4. Phai tra nguoi lao dong,,369,435,501,715,
5. Chi phi phai tra ngan han,,49729,3518,8972,12283,
6. Phai tra noi bo ngan han,,,,,,
7. Phai tra theo tien do ke hoach hop dong xay dung,,,,,,
8. Doanh thu chua thuc hien ngan han,,,,,,
9. Phai tra ngan han khac,,2480,3879,45558,18994,
10. Vay va no thue tai chinh ngan han,,48768,32776,31128,59547,
11. Du phong phai tra ngan han,,,,,,
12. Quy khen thuong phuc loi,,(13),109,574,1438,
13. Quy binh on gia,,,,,,
14. Giao dich mua ban lai trai phieu Chinh phu,,,,,,
II. No dai han,,50475,43027,40232,34940,
1. Phai tra nguoi ban dai han,,,,,,
2. Nguoi mua tra tien truoc dai han,,,,,,
3. Chi phi phai tra dai han,,,,,,
4. Phai tra noi bo ve von kinh doanh,,,,,,
5. Phai tra noi bo dai han,,,,,,
6. Doanh thu chua thuc hien dai han,,,,,,
7. Phai tra dai han khac,,7197,,,,
8. Vay va no thue tai chinh dai han,,43278,43027,40232,32100,
9. Trai phieu chuyen doi,,,,,,
10. Co phieu uu dai (No),,,,,,
11. Thue thu nhap hoan lai phai tra,,,,,2840,
12. Du phong phai tra dai han,,,,,,
13. Quy phat trien khoa hoc va cong nghe,,,,,,
14. Du phong tro cap mat viec lam,,,,,,
B. VON CHU SO HUU,,276802,284866,293418,363190,
I. Von chu so huu,,276802,284866,293418,363190,
1. Von gop cua chu so huu,,255228,255228,255228,255228,
- Co phieu pho thong co quyen bieu quyet,,,,255228,255228,
- Co phieu uu dai,,,,,,
2. Thang du von co phan,,3254,3254,3254,3254,
3. Quyen chon chuyen doi trai phieu,,,,,,
4. Von khac cua chu so huu,,2968,2968,2968,2968,
5. Co phieu quy (*),,,,,,
6. Chenh lech danh gia lai tai san,,,,,,
7. Chenh lech ty gia hoi doai,,,,,,
8. Quy dau tu phat trien,,8367,8367,14455,15325,
9. Quy ho tro sap xep doanh nghiep,,,,,,
10. Quy khac thuoc von chu so huu,,106,106,106,106,
11. Loi nhuan sau thue chua phan phoi,,1258,9322,17408,40888,
- LNST chua phan phoi luy ke den cuoi ky truoc,,,,8390,24296,
- LNST chua phan phoi ky nay,,,,9018,16591,
12. Nguon von dau tu XDCB,,,,,,
13. Loi ich co dong khong kiem soat,,,,,45422,
14. Quy du phong tai chinh,,5622,5622,,,
II. Nguon kinh phi va quy khac,,,,,,
1. Nguon kinh phi,,,,,,
2. Nguon kinh phi da hinh thanh TSCD,,,,,,
C. LOI ICH CO DONG THIEU SO,,,,,,
TONG CONG NGUON VON,,446129,392994,439264,502119,
