TAI SAN,,,,,,
A. TAI SAN NGAN HAN,,293284,430339,262773,248321,
I. Tien va cac khoan tuong duong tien,,49635,211228,121856,63503,
1. Tien,,25735,30428,28856,14503,
2. Cac khoan tuong duong tien,,23900,180800,93000,49000,
II. Dau tu tai chinh ngan han,,80583,70717,580,,
1. Chung khoan kinh doanh,,83447,73227,3227,,
2. Du phong giam gia chung khoan kinh doanh (*),,(2865),(2510),(2647),,
3. Dau tu nam giu den ngay dao han,,,,,,
III. Cac khoan phai thu ngan han,,62009,59830,57254,89666,
1. Phai thu ngan han cua khach hang,,57030,65099,56963,74684,
2. Tra truoc cho nguoi ban ngan han,,4537,788,991,7144,
3. Phai thu noi bo ngan han,,,,,,
4. Phai thu theo tien do ke hoach hop dong xay dung,,,,,,
5. Phai thu ve cho vay ngan han,,,,,,
6. Phai thu ngan han khac,,27652,22884,9632,18561,
7. Du phong phai thu ngan han kho doi (*),,(27210),(28941),(10332),(10723),
8. Tai san thieu cho xu ly,,,,,,
IV. Hang ton kho,,97275,83913,82209,94128,
1. Hang ton kho,,104762,91401,89573,101492,
2. Du phong giam gia hang ton kho (*),,(7488),(7488),(7363),(7363),
V. Tai san ngan han khac,,3783,4651,873,1023,
1. Chi phi tra truoc ngan han,,334,2592,613,757,
2. Thue GTGT duoc khau tru,,35,1,,7,
3. Thue va cac khoan khac phai thu cua nha nuoc,,300,341,261,259,
4. Giao dich mua ban lai trai phieu chinh phu,,,,,,
5. Tai san ngan han khac,,3114,1716,,,
B. TAI SAN DAI HAN,,1499708,1370883,1255295,1459024,
I. Cac khoan phai thu dai han,,,,2660,2771,
1. Phai thu dai han cua khach hang,,155,155,406,386,
2. Tra truoc cho nguoi ban dai han,,,,,,
3. Von kinh doanh o cac don vi truc thuoc,,,,,,
4. Phai thu noi bo dai han,,,,,,
5. Phai thu ve cho vay dai han,,,,,,
6. Phai thu dai han khac,,,,21253,21384,
7. Du phong phai thu dai han kho doi (*),,(155),(155),(18999),(18999),
II. Tai san co dinh,,1334965,1073874,812656,1146028,
1. Tai san co dinh huu hinh,,1071654,921464,798537,1133789,
- Nguyen gia,,2074226,2074079,2076438,2559031,
- Gia tri hao mon luy ke (*),,(1002571),(1152616),(1277901),(1425242),
2. Tai san co dinh thue tai chinh,,,,,,
- Nguyen gia,,,,,,
- Gia tri hao mon luy ke (*),,,,,,
3. Tai san co dinh vo hinh,,14870,14491,14119,12240,
- Nguyen gia,,16410,16410,16410,14511,
- Gia tri hao mon luy ke (*),,(1541),(1919),(2291),(2271),
III. Bat dong san dau tu,,100133,96354,92576,88797,
- Nguyen gia,,113358,113358,113358,113358,
- Gia tri hao mon luy ke (*),,(13225),(17004),(20782),(24561),
IV. Tai san do dang dai han,,,,147018,148086,
1. Chi phi san xuat kinh doanh do dang dai han,,,,,,
2. Chi phi xay dung co ban do dang,,248441,137919,147018,148086,
V. Dau tu tai chinh dai han,,62021,196744,194313,71777,
1. Dau tu vao cong ty con,,,,,,
2. Dau tu vao cong ty lien ket. lien doanh,,55660,190383,192181,69113,
3. Dau tu gop von vao don vi khac,,,,57224,61454,
4. Du phong dau tu tai chinh dai han (*),,(55093),(55093),(55093),(58790),
5. Dau tu nam giu den ngay dao han,,,,,,
6. Dau tu dai han khac,,61454,61454,,,
VI. Tai san dai han khac,,2589,3911,6072,1565,
1. Chi phi tra truoc dai han,,1493,1459,1842,1565,
2. Tai san thue thu nhap hoan lai,,,,,,
3. Thiet bi vat tu phu tung thay the dai han,,,,,,
4. Tai san dai han khac,,1096,2451,4230,,
VII. Loi the thuong mai,,,,,,
TONG CONG TAI SAN,,1792992,1801222,1518067,1707345,
NGUON VON,,,,,,
A. NO PHAI TRA,,789931,760743,469528,595608,
I. No ngan han,,267065,412708,260293,203544,
1. Phai tra nguoi ban ngan han,,34638,12772,15801,42830,
2. Nguoi mua tra tien truoc ngan han,,1453,1311,38,90,
3. Thue va cac khoan phai nop Nha nuoc,,9798,60007,13309,6210,
4. Phai tra nguoi lao dong,,12726,11219,13528,20972,
5. Chi phi phai tra ngan han,,6832,4472,3775,3337,
6. Phai tra noi bo ngan han,,,,,,
7. Phai tra theo tien do ke hoach hop dong xay dung,,,,,,
8. Doanh thu chua thuc hien ngan han,,,,576,555,
9. Phai tra ngan han khac,,18304,169942,45198,16914,
10. Vay va no thue tai chinh ngan han,,180160,149610,157404,98365,
11. Du phong phai tra ngan han,,,,,,
12. Quy khen thuong phuc loi,,3155,3374,10664,14270,
13. Quy binh on gia,,,,,,
14. Giao dich mua ban lai trai phieu Chinh phu,,,,,,
II. No dai han,,522866,348034,209236,392064,
1. Phai tra nguoi ban dai han,,,,,,
2. Nguoi mua tra tien truoc dai han,,,,625,760,
3. Chi phi phai tra dai han,,,,,,
4. Phai tra noi bo ve von kinh doanh,,,,,,
5. Phai tra noi bo dai han,,,,,,
6. Doanh thu chua thuc hien dai han,,318,137,,,
7. Phai tra dai han khac,,1655,1628,1709,2500,
