TAI SAN,,,,,,
A. TAI SAN NGAN HAN,,1581059,1395099,982213,2057144,
I. Tien va cac khoan tuong duong tien,,347230,128624,187438,10348,
1. Tien,,87230,30944,9838,10348,
2. Cac khoan tuong duong tien,,260000,97680,177600,,
II. Dau tu tai chinh ngan han,,,,,,
1. Chung khoan kinh doanh,,,,,,
2. Du phong giam gia chung khoan kinh doanh (*),,,,,,
3. Dau tu nam giu den ngay dao han,,,,,,
III. Cac khoan phai thu ngan han,,325528,389180,357901,1406321,
1. Phai thu ngan han cua khach hang,,299599,368038,326911,1160108,
2. Tra truoc cho nguoi ban ngan han,,22839,27310,19620,263388,
3. Phai thu noi bo ngan han,,,,,,
4. Phai thu theo tien do ke hoach hop dong xay dung,,,,,,
5. Phai thu ve cho vay ngan han,,,,,,
6. Phai thu ngan han khac,,36204,27639,60744,56378,
7. Du phong phai thu ngan han kho doi (*),,(33115),(33807),(49374),(73553),
8. Tai san thieu cho xu ly,,,,,,
IV. Hang ton kho,,891675,840033,423015,611025,
1. Hang ton kho,,891675,840033,433946,611025,
2. Du phong giam gia hang ton kho (*),,,,(10931),,
V. Tai san ngan han khac,,16626,37261,13859,29450,
1. Chi phi tra truoc ngan han,,1153,3314,3936,6958,
2. Thue GTGT duoc khau tru,,8201,27542,7342,19949,
3. Thue va cac khoan khac phai thu cua nha nuoc,,3772,2541,2581,2544,
4. Giao dich mua ban lai trai phieu chinh phu,,,,,,
5. Tai san ngan han khac,,3500,3865,,,
B. TAI SAN DAI HAN,,987718,874124,766171,646224,
I. Cac khoan phai thu dai han,,,,,,
1. Phai thu dai han cua khach hang,,,,,,
2. Tra truoc cho nguoi ban dai han,,,,,,
3. Von kinh doanh o cac don vi truc thuoc,,,,,,
4. Phai thu noi bo dai han,,,,,,
5. Phai thu ve cho vay dai han,,,,,,
6. Phai thu dai han khac,,,,,,
7. Du phong phai thu dai han kho doi (*),,,,,,
II. Tai san co dinh,,823874,722357,605018,497833,
1. Tai san co dinh huu hinh,,776366,677353,580888,489897,
- Nguyen gia,,1384239,1384366,1384591,1381334,
- Gia tri hao mon luy ke (*),,(607872),(707013),(803704),(891437),
2. Tai san co dinh thue tai chinh,,,,,,
- Nguyen gia,,,,,,
- Gia tri hao mon luy ke (*),,,,,,
3. Tai san co dinh vo hinh,,25662,24896,24131,7936,
- Nguyen gia,,28019,28019,28019,10169,
- Gia tri hao mon luy ke (*),,(2357),(3123),(3889),(2233),
III. Bat dong san dau tu,,,,,,
- Nguyen gia,,,,,,
- Gia tri hao mon luy ke (*),,,,,,
IV. Tai san do dang dai han,,,,20023,20073,
1. Chi phi san xuat kinh doanh do dang dai han,,,,,,
2. Chi phi xay dung co ban do dang,,21846,20107,20023,20073,
V. Dau tu tai chinh dai han,,1000,,,,
1. Dau tu vao cong ty con,,,,,,
2. Dau tu vao cong ty lien ket. lien doanh,,,,,,
3. Dau tu gop von vao don vi khac,,,,,,
4. Du phong dau tu tai chinh dai han (*),,,,,,
5. Dau tu nam giu den ngay dao han,,,,,,
6. Dau tu dai han khac,,1000,,,,
VI. Tai san dai han khac,,162844,151768,141130,128318,
1. Chi phi tra truoc dai han,,162844,151768,141130,128318,
2. Tai san thue thu nhap hoan lai,,,,,,
3. Thiet bi vat tu phu tung thay the dai han,,,,,,
4. Tai san dai han khac,,,,,,
VII. Loi the thuong mai,,,,,,
TONG CONG TAI SAN,,2568778,2269224,1748384,2703368,
NGUON VON,,,,,,
A. NO PHAI TRA,,1937320,1615389,1145121,2027254,
I. No ngan han,,1735491,1530248,1145121,2027254,
1. Phai tra nguoi ban ngan han,,81665,83509,89050,521959,
2. Nguoi mua tra tien truoc ngan han,,840,794,967,48538,
