TAI SAN,,,,,,
A. TAI SAN NGAN HAN,,,,,12430063,
I. Tien va cac khoan tuong duong tien,,,,,2793605,
1. Tien,,,,,217455,
2. Cac khoan tuong duong tien,,,,,2576150,
II. Dau tu tai chinh ngan han,,,,,1400,
1. Chung khoan kinh doanh,,,,,,
2. Du phong giam gia chung khoan kinh doanh (*),,,,,,
3. Dau tu nam giu den ngay dao han,,,,,1400,
III. Cac khoan phai thu ngan han,,,,,9275994,
1. Phai thu ngan han cua khach hang,,,,,2089274,
2. Tra truoc cho nguoi ban ngan han,,,,,200737,
3. Phai thu noi bo ngan han,,,,,,
4. Phai thu theo tien do ke hoach hop dong xay dung,,,,,,
5. Phai thu ve cho vay ngan han,,,,,,
6. Phai thu ngan han khac,,,,,6985984,
7. Du phong phai thu ngan han kho doi (*),,,,,,
8. Tai san thieu cho xu ly,,,,,,
IV. Hang ton kho,,,,,151468,
1. Hang ton kho,,,,,151468,
2. Du phong giam gia hang ton kho (*),,,,,,
V. Tai san ngan han khac,,,,,207595,
1. Chi phi tra truoc ngan han,,,,,145737,
2. Thue GTGT duoc khau tru,,,,,5005,
3. Thue va cac khoan khac phai thu cua nha nuoc,,,,,56854,
4. Giao dich mua ban lai trai phieu chinh phu,,,,,,
5. Tai san ngan han khac,,,,,,
B. TAI SAN DAI HAN,,,,,10928397,
I. Cac khoan phai thu dai han,,,,,6473595,
1. Phai thu dai han cua khach hang,,,,,,
2. Tra truoc cho nguoi ban dai han,,,,,701500,
3. Von kinh doanh o cac don vi truc thuoc,,,,,,
4. Phai thu noi bo dai han,,,,,,
5. Phai thu ve cho vay dai han,,,,,,
6. Phai thu dai han khac,,,,,5772095,
7. Du phong phai thu dai han kho doi (*),,,,,,
II. Tai san co dinh,,,,,1034395,
1. Tai san co dinh huu hinh,,,,,1028202,
- Nguyen gia,,,,,1106050,
- Gia tri hao mon luy ke (*),,,,,(77847),
2. Tai san co dinh thue tai chinh,,,,,,
- Nguyen gia,,,,,,
- Gia tri hao mon luy ke (*),,,,,,
3. Tai san co dinh vo hinh,,,,,6193,
- Nguyen gia,,,,,27580,
- Gia tri hao mon luy ke (*),,,,,(21387),
III. Bat dong san dau tu,,,,,,
- Nguyen gia,,,,,,
- Gia tri hao mon luy ke (*),,,,,,
IV. Tai san do dang dai han,,,,,208517,
1. Chi phi san xuat kinh doanh do dang dai han,,,,,,
2. Chi phi xay dung co ban do dang,,,,,208517,
V. Dau tu tai chinh dai han,,,,,68425,
1. Dau tu vao cong ty con,,,,,,
2. Dau tu vao cong ty lien ket. lien doanh,,,,,60000,
3. Dau tu gop von vao don vi khac,,,,,7868,
4. Du phong dau tu tai chinh dai han (*),,,,,,
5. Dau tu nam giu den ngay dao han,,,,,556,
6. Dau tu dai han khac,,,,,,
VI. Tai san dai han khac,,,,,3143464,
1. Chi phi tra truoc dai han,,,,,3143464,
2. Tai san thue thu nhap hoan lai,,,,,,
3. Thiet bi vat tu phu tung thay the dai han,,,,,,
4. Tai san dai han khac,,,,,,
VII. Loi the thuong mai,,,,,,
TONG CONG TAI SAN,,,,,23358460,
NGUON VON,,,,,,
A. NO PHAI TRA,,,,,16483687,
I. No ngan han,,,,,11917668,
