TAI SAN,,,,,,
A. TAI SAN NGAN HAN,,4941297,5662736,6209523,7534535,
I. Tien va cac khoan tuong duong tien,,141690,93390,88377,370132,
1. Tien,,93130,93390,88377,185132,
2. Cac khoan tuong duong tien,,48560,,,185000,
II. Dau tu tai chinh ngan han,,4150,810,326,,
1. Chung khoan kinh doanh,,4150,810,,,
2. Du phong giam gia chung khoan kinh doanh (*),,,,,,
3. Dau tu nam giu den ngay dao han,,,,326,,
III. Cac khoan phai thu ngan han,,2363602,2848242,3023383,3056182,
1. Phai thu ngan han cua khach hang,,1573945,1774593,1976705,2609588,
2. Tra truoc cho nguoi ban ngan han,,567909,717624,619729,369580,
3. Phai thu noi bo ngan han,,,,,,
4. Phai thu theo tien do ke hoach hop dong xay dung,,,,,,
5. Phai thu ve cho vay ngan han,,,,,,
6. Phai thu ngan han khac,,225690,360884,461405,116252,
7. Du phong phai thu ngan han kho doi (*),,(3942),(4859),(35583),(40367),
8. Tai san thieu cho xu ly,,,,1128,1128,
IV. Hang ton kho,,2323499,2619426,3003991,4018993,
1. Hang ton kho,,2324933,2619703,3004771,4022858,
2. Du phong giam gia hang ton kho (*),,(1434),(277),(780),(3866),
V. Tai san ngan han khac,,108357,100867,93445,89229,
1. Chi phi tra truoc ngan han,,971,1682,1033,3698,
2. Thue GTGT duoc khau tru,,97484,87521,89145,83269,
3. Thue va cac khoan khac phai thu cua nha nuoc,,19,57,3268,2263,
4. Giao dich mua ban lai trai phieu chinh phu,,,,,,
5. Tai san ngan han khac,,9883,11607,,,
B. TAI SAN DAI HAN,,156631,152159,146463,155071,
I. Cac khoan phai thu dai han,,,,21749,3486,
1. Phai thu dai han cua khach hang,,,,,,
2. Tra truoc cho nguoi ban dai han,,,,,,
3. Von kinh doanh o cac don vi truc thuoc,,,,,,
4. Phai thu noi bo dai han,,,,,,
5. Phai thu ve cho vay dai han,,,,,,
6. Phai thu dai han khac,,,,21749,3486,
7. Du phong phai thu dai han kho doi (*),,,,,,
II. Tai san co dinh,,40022,36696,31410,61181,
1. Tai san co dinh huu hinh,,16274,13336,11460,40884,
- Nguyen gia,,43238,43238,44429,74385,
- Gia tri hao mon luy ke (*),,(26964),(29902),(32969),(33501),
2. Tai san co dinh thue tai chinh,,,,,,
- Nguyen gia,,,,,,
- Gia tri hao mon luy ke (*),,,,,,
3. Tai san co dinh vo hinh,,21032,20505,19950,20297,
- Nguyen gia,,22377,22406,22406,23513,
- Gia tri hao mon luy ke (*),,(1345),(1900),(2456),(3216),
III. Bat dong san dau tu,,94247,91247,86613,83707,
- Nguyen gia,,105282,105282,102827,102827,
- Gia tri hao mon luy ke (*),,(11035),(14035),(16215),(19120),
IV. Tai san do dang dai han,,,,2855,220,
1. Chi phi san xuat kinh doanh do dang dai han,,,,,,
2. Chi phi xay dung co ban do dang,,2715,2855,2855,220,
V. Dau tu tai chinh dai han,,17310,18960,460,460,
1. Dau tu vao cong ty con,,,,,,
