TAI SAN,,,,,,
A. TAI SAN NGAN HAN,,973281,1008171,911836,1005617,
I. Tien va cac khoan tuong duong tien,,79990,53616,81713,43379,
1. Tien,,79340,52406,81713,43379,
2. Cac khoan tuong duong tien,,650,1209,,,
II. Dau tu tai chinh ngan han,,108958,121928,21030,502,
1. Chung khoan kinh doanh,,114761,110031,23245,3,
2. Du phong giam gia chung khoan kinh doanh (*),,(6334),(3697),(2716),(1),
3. Dau tu nam giu den ngay dao han,,531,15594,500,500,
III. Cac khoan phai thu ngan han,,712265,715490,752198,879875,
1. Phai thu ngan han cua khach hang,,305111,283302,342743,348691,
2. Tra truoc cho nguoi ban ngan han,,199134,189008,192633,233631,
3. Phai thu noi bo ngan han,,,,,,
4. Phai thu theo tien do ke hoach hop dong xay dung,,,,,,
5. Phai thu ve cho vay ngan han,,19344,49869,26464,25770,
6. Phai thu ngan han khac,,280297,266051,261479,342995,
7. Du phong phai thu ngan han kho doi (*),,(91753),(72862),(71241),(71212),
8. Tai san thieu cho xu ly,,133,121,121,,
IV. Hang ton kho,,67235,112202,53171,76957,
1. Hang ton kho,,67457,112424,53392,77103,
2. Du phong giam gia hang ton kho (*),,(222),(222),(222),(146),
V. Tai san ngan han khac,,4832,4936,3725,4905,
1. Chi phi tra truoc ngan han,,4634,4748,3666,2146,
2. Thue GTGT duoc khau tru,,,74,,2759,
3. Thue va cac khoan khac phai thu cua nha nuoc,,198,113,59,,
4. Giao dich mua ban lai trai phieu chinh phu,,,,,,
5. Tai san ngan han khac,,,,,,
B. TAI SAN DAI HAN,,711502,633517,623944,
