TAI SAN,,,,,,
A. TAI SAN NGAN HAN,,74878,76662,160247,793588,
I. Tien va cac khoan tuong duong tien,,3913,10164,8341,631690,
1. Tien,,3913,10164,8341,631690,
2. Cac khoan tuong duong tien,,,,,,
II. Dau tu tai chinh ngan han,,500,,50626,50626,
1. Chung khoan kinh doanh,,,,50626,50626,
2. Du phong giam gia chung khoan kinh doanh (*),,,,,,
3. Dau tu nam giu den ngay dao han,,500,,,,
III. Cac khoan phai thu ngan han,,62139,59683,95771,102813,
1. Phai thu ngan han cua khach hang,,11981,10580,49965,68596,
2. Tra truoc cho nguoi ban ngan han,,24842,17937,7408,6697,
3. Phai thu noi bo ngan han,,,,,,
4. Phai thu theo tien do ke hoach hop dong xay dung,,,,,,
5. Phai thu ve cho vay ngan han,,12900,14200,4900,9900,
6. Phai thu ngan han khac,,12639,17188,33698,17820,
7. Du phong phai thu ngan han kho doi (*),,(241),(241),(219),(219),
8. Tai san thieu cho xu ly,,19,19,19,19,
IV. Hang ton kho,,2167,947,1052,1785,
1. Hang ton kho,,2167,947,1052,1785,
2. Du phong giam gia hang ton kho (*),,,,,,
V. Tai san ngan han khac,,6159,5868,4457,6674,
1. Chi phi tra truoc ngan han,,2117,1885,533,2690,
2. Thue GTGT duoc khau tru,,3467,3366,3491,3074,
3. Thue va cac khoan khac phai thu cua nha nuoc,,575,618,434,909,
4. Giao dich mua ban lai trai phieu chinh phu,,,,,,
5. Tai san ngan han khac,,,,,,
B. TAI SAN DAI HAN,,301644,310113,258901,301238,
I. Cac khoan phai thu dai han,,4383,9878,4378,4348,
1. Phai thu dai han cua khach hang,,,,,,
2. Tra truoc cho nguoi ban dai han,,,,,
