TAI SAN,,,,,,
A. TAI SAN NGAN HAN,,138053,245153,252054,247581,
I. Tien va cac khoan tuong duong tien,,42537,140920,133330,129341,
1. Tien,,31662,33867,61196,68207,
2. Cac khoan tuong duong tien,,10875,107053,72134,61135,
II. Dau tu tai chinh ngan han,,,900,,,
1. Chung khoan kinh doanh,,,900,,,
2. Du phong giam gia chung khoan kinh doanh (*),,,,,,
3. Dau tu nam giu den ngay dao han,,,,,,
III. Cac khoan phai thu ngan han,,91490,98870,118711,117981,
1. Phai thu ngan han cua khach hang,,65125,82869,111536,115956,
2. Tra truoc cho nguoi ban ngan han,,20041,10419,1312,922,
3. Phai thu noi bo ngan han,,,,,,
4. Phai thu theo tien do ke hoach hop dong xay dung,,,,,,
5. Phai thu ve cho vay ngan han,,,,900,,
6. Phai thu ngan han khac,,8679,7936,7079,3219,
7. Du phong phai thu ngan han kho doi (*),,(2353),(2353),(2115),(2115),
8. Tai san thieu cho xu ly,,,,,,
IV. Hang ton kho,,,,,,
1. Hang ton kho,,,,,,
2. Du phong giam gia hang ton kho (*),,,,,,
V. Tai san ngan han khac,,4025,4462,13,259,
1. Chi phi tra truoc ngan han,,168,130,13,259,
2. Thue GTGT duoc khau tru,,52,35,,,
3. Thue va cac khoan khac phai thu cua nha nuoc,,,,,,
4. Giao dich mua ban lai trai phieu chinh phu,,,,,,
5. Tai san ngan han khac,,3805,4297,,,
B. TAI SAN DAI HAN,,80785,62872,86820,86852,
I. Cac khoan phai thu dai han,,,,16451,16634,
1. Phai thu dai han cua khach hang,,,,,,
2. Tra truoc cho nguoi ban dai han,,,,7973,7973,
3. Von kinh doanh o cac don vi truc thuoc,,,,,,
4. Phai thu noi bo dai han,,,,,,
5. Phai thu ve cho vay dai han,,,,,,
6. Phai thu dai han khac,,,,8477,8661,
7. Du phong phai thu dai han kho doi (*),,,,,,
II. Tai san co dinh,,11844,9261,10481,11925,
1. Tai san co dinh huu hinh,,11844,9261,10481,11925,
- Nguyen gia,,31736,31834,35418,40055,
- Gia tri hao mon luy ke (*),,(19892),(22573),(24937),(28130),
2. Tai san co dinh thue tai chinh,,,,,,
- Nguyen gia,,,,,,
- Gia tri hao mon luy ke (*),,,,,,
3. Tai san co dinh vo hinh,,,,,,
- Nguyen gia,,,,,,
- Gia tri hao mon luy ke (*),,,,,,
III. Bat dong san dau tu,,,,,,
- Nguyen gia,,,,,,
- Gia tri hao mon luy ke (*),,,,,,
IV. Tai san do dang dai han,,,,,,
1. Chi phi san xuat kinh doanh do dang dai han,,,,,,
2. Chi phi xay dung co ban do dang,,,,,,
V. Dau tu tai chinh dai han,,68308,53045,59889,57307,
1. Dau tu vao cong ty con,,,,,,
2. Dau tu vao cong ty lien ket. lien doanh,,67581,52319,59162,56580,
3. Dau tu gop von vao don vi khac,,,,726,726,
4. Du phong dau tu tai chinh dai han (*),,,,,,
5. Dau tu nam giu den ngay dao han,,,,,,
6. Dau tu dai han khac,,726,726,,,
VI. Tai san dai han khac,,634,565,,986,
1. Chi phi tra truoc dai han,,196,120,,986,
2. Tai san thue thu nhap hoan lai,,,,,,
3. Thiet bi vat tu phu tung thay the dai han,,,,,,
4. Tai san dai han khac,,
