TAI SAN,,,,,,
A. TAI SAN NGAN HAN,,13018930,15522310,16731875,18673828,
I. Tien va cac khoan tuong duong tien,,2745645,1527875,1358683,655423,
1. Tien,,1394534,993334,1212518,599923,
2. Cac khoan tuong duong tien,,1351111,534542,146165,55500,
II. Dau tu tai chinh ngan han,,4167318,7467963,8668378,10453749,
1. Chung khoan kinh doanh,,4313293,7607171,525981,443133,
2. Du phong giam gia chung khoan kinh doanh (*),,(145975),(139208),(72195),(501),
3. Dau tu nam giu den ngay dao han,,,,8214593,10011117,
III. Cac khoan phai thu ngan han,,2728421,2771737,2685469,2866684,
1. Phai thu ngan han cua khach hang,,1894721,1988614,2202396,2191348,
2. Tra truoc cho nguoi ban ngan han,,423821,420615,126290,288808,
3. Phai thu noi bo ngan han,,,,,,
4. Phai thu theo tien do ke hoach hop dong xay dung,,,,,,
5. Phai thu ve cho vay ngan han,,,,,,
6. Phai thu ngan han khac,,417267,368425,359995,390619,
7. Du phong phai thu ngan han kho doi (*),,(7387),(5918),(3212),(4169),
8. Tai san thieu cho xu ly,,,,,76,
IV. Hang ton kho,,3217483,3620107,3810095,4521766,
1. Hang ton kho,,3227860,3633232,3827369,4538440,
2. Du phong giam gia hang ton kho (*),,(10377),(13124),(17274),(16673),
V. Tai san ngan han khac,,160063,134627,209251,176205,
1. Chi phi tra truoc ngan han,,129708,115703,156056,59288,
2. Thue GTGT duoc khau tru,,25468,13465,53192,116836,
3. Thue va cac khoan khac phai thu cua nha nuoc,,,,2,81,
4. Giao dich mua ban lai trai phieu chinh phu,,,,,,
5. Tai san ngan han khac,,4886,5459,,,
B. TAI SAN DAI HAN,,9856484,10247829,10746301,10704829,
I. Cac khoan phai thu dai han,,737,7395,20898,21855,
1. Phai thu dai han cua khach hang,,,,,,
2. Tra truoc cho nguoi ban dai han,,,,,,
3. Von kinh doanh o cac don vi truc thuoc,,,,,,
4. Phai thu noi bo dai han,,,,,,
5. Phai thu ve cho vay dai han,,,,5574,7246,
6. Phai thu dai han khac,,737,7395,15325,14609,
7. Du phong phai thu dai han kho doi (*),,,,,,
II. Tai san co dinh,,8918417,8890084,8214135,8321053,
1. Tai san co dinh huu hinh,,7849059,7548189,7795346,7916323,
- Nguyen gia,,11147267,11782649,13059721,14257739,
- Gia tri hao mon luy ke (*),,(3298209),(4234460),(5264376),(6341416),
2. Tai san co dinh thue tai chinh,,,,,,
- Nguyen gia,,,,,,
- Gia tri hao mon luy ke (*),,,,,,
3. Tai san co dinh vo hinh,,531485,538207,418789,404730,
- Nguyen gia,,690742,691496,553684,557891,
- Gia tri hao mon luy ke (*),,(159257),(153289),(134895),(153161),
III. Bat dong san dau tu,,149446,147726,142368,136973,
- Nguyen gia,,176332,179595,179678,179678,
- Gia tri hao mon luy ke (*),,(26886),(31869),(37310),(42705),
IV. Tai san do dang dai han,,,,843679,993112,
1. Chi phi san xuat kinh doanh do dang dai han,,,,82394,127672,
2. Chi phi xay dung co ban do dang,,537872,803688,761285,865440,
V. Dau tu tai chinh dai han,,318308,700375,940365,613807,
1. Dau tu vao cong ty con,,,,,,
2. Dau tu vao cong ty lien ket. lien doanh,,284629,325220,397131,419909,
3. Dau tu gop von vao don vi khac,,,,11378,11387,
4. Du phong dau tu tai chinh dai han (*),,(10248),(4857),(4740),(7490),
5. Dau tu nam giu den ngay dao han,,,,536596,190000,
6. Dau tu dai han khac,,43928,380012,,,
VI. Tai san dai han khac,,295113,341541,442510,494046,
1. Chi phi tra truoc dai han,,171152,183505,417330,459395,
2. Tai san thue thu nhap hoan lai,,115301,150793,25180,34651,
3. Thiet bi vat tu phu tung thay the dai han,,,,,,
4. Tai san dai han khac,,8660,7243,,,
VII. Loi the thuong mai,,174464,160707,142345,123983,
TONG CONG TAI SAN,,22875414,25770138,27478176,29378656,
NGUON VON,,,,,,
A. NO PHAI TRA,,5307061,5969902,6554260,6972707,
I. No ngan han,,4956398,5453263,6004317,6457498,
1. Phai tra nguoi ban ngan han,,1968257,1898529,2193603,2561910,
2. Nguoi mua tra tien truoc ngan han,,20929,17826,19882,35952,
3. Thue va cac khoan phai nop Nha nuoc,,456726,502643,215808,255510,
4. Phai tra nguoi lao dong,,137540,163477,452476,192349,
5. Chi phi phai tra ngan han,,490761,637114,593486,1025975,
6. Phai tra noi bo ngan han,,,,,,
7. Phai tra theo tien do ke hoach hop dong xay dung,,,,,,
8. Doanh thu chua thuc hien ngan han,,,,1351,3360,
9. Phai tra ngan han khac,,1341763,598429,644468,592100,
10. Vay va no thue tai chinh ngan han,,178944,1279525,1475359,1332666,
11. Du phong phai tra ngan han,,,,2420,890,
12. Quy khen thuong phuc loi,,361478,355719,405464,456785,
13. Quy binh on gia,,,,,,
14. Giao dich mua ban lai trai phieu Chinh phu,,,,,,
II. No dai han,,350663,516639,549943,515209,
