TAI SAN,,,,,,
A. TAI SAN NGAN HAN,,406858,401899,399810,319702,
I. Tien va cac khoan tuong duong tien,,208554,288084,267171,164600,
1. Tien,,208554,288084,267171,164600,
2. Cac khoan tuong duong tien,,,,,,
II. Dau tu tai chinh ngan han,,,,,,
1. Chung khoan kinh doanh,,,,,,
2. Du phong giam gia chung khoan kinh doanh (*),,,,,,
3. Dau tu nam giu den ngay dao han,,,,,,
III. Cac khoan phai thu ngan han,,162963,73188,98517,118072,
1. Phai thu ngan han cua khach hang,,53485,64166,71615,99507,
2. Tra truoc cho nguoi ban ngan han,,98204,1937,2213,1941,
3. Phai thu noi bo ngan han,,,,,,
4. Phai thu theo tien do ke hoach hop dong xay dung,,,,,,
5. Phai thu ve cho vay ngan han,,,,,,
6. Phai thu ngan han khac,,12150,8077,25726,19584,
7. Du phong phai thu ngan han kho doi (*),,(876),(992),(1036),(2960),
8. Tai san thieu cho xu ly,,,,,,
IV. Hang ton kho,,5166,5434,7073,12498,
1. Hang ton kho,,5166,5434,7073,12498,
2. Du phong giam gia hang ton kho (*),,,,,,
V. Tai san ngan han khac,,30174,35193,27049,24532,
1. Chi phi tra truoc ngan han,,19431,24322,27049,24434,
2. Thue GTGT duoc khau tru,,361,,,,
3. Thue va cac khoan khac phai thu cua nha nuoc,,71,65,,98,
4. Giao dich mua ban lai trai phieu chinh phu,,,,,,
5. Tai san ngan han khac,,10311,10806,,,
B. TAI SAN DAI HAN,,1609581,2033622,2382737,2863472,
I. Cac khoan phai thu dai han,,,,600,1110,
1. Phai thu dai han cua khach hang,,,,,,
2. Tra truoc cho nguoi ban dai han,,,,,,
3. Von kinh doanh o cac don vi truc thuoc,,,,,,
4. Phai thu noi bo dai han,,,,,,
5. Phai thu ve cho vay dai han,,,,,,
6. Phai thu dai han khac,,,,600,1110,
7. Du phong phai thu dai han kho doi (*),,,,,,
II. Tai san co dinh,,1588565,1962981,2253873,2756651,
1. Tai san co dinh huu hinh,,1497886,1792670,2031314,2535524,
- Nguyen gia,,2608207,3114723,3545734,4128713,
- Gia tri hao mon luy ke (*),,(1110321),(1322054),(1514420),(1593189),
2. Tai san co dinh thue tai chinh,,90178,170218,222512,220960,
- Nguyen gia,,115295,222761,264260,297078,
- Gia tri hao mon luy ke (*),,(25117),(52542),(41748),(76118),
3. Tai san co dinh vo hinh,,399,93,47,166,
- Nguyen gia,,1168,1218,1218,1431,
- Gia tri hao mon luy ke (*),,(769),(1125),(1171),(1265),
III. Bat dong san dau tu,,11570,8491,8491,,
