TAI SAN,,,,,,
A. TAI SAN NGAN HAN,,684144,787464,742733,734942,
I. Tien va cac khoan tuong duong tien,,81723,200307,97290,181544,
1. Tien,,81723,168307,52640,78344,
2. Cac khoan tuong duong tien,,,32000,44650,103200,
II. Dau tu tai chinh ngan han,,,,60000,,
1. Chung khoan kinh doanh,,,,,,
2. Du phong giam gia chung khoan kinh doanh (*),,,,,,
3. Dau tu nam giu den ngay dao han,,,,60000,,
III. Cac khoan phai thu ngan han,,412368,410140,468208,463110,
1. Phai thu ngan han cua khach hang,,121244,117979,103289,89741,
2. Tra truoc cho nguoi ban ngan han,,280233,288745,279540,280169,
3. Phai thu noi bo ngan han,,,,,,
4. Phai thu theo tien do ke hoach hop dong xay dung,,,,,,
5. Phai thu ve cho vay ngan han,,,,,,
6. Phai thu ngan han khac,,17673,13784,96769,98921,
7. Du phong phai thu ngan han kho doi (*),,(6781),(10367),(11390),(5721),
8. Tai san thieu cho xu ly,,,,,,
IV. Hang ton kho,,186037,170419,115130,86069,
1. Hang ton kho,,186125,170622,115514,86069,
2. Du phong giam gia hang ton kho (*),,(88),(202),(384),,
V. Tai san ngan han khac,,4015,6598,2105,4219,
1. Chi phi tra truoc ngan han,,1826,1597,1056,4180,
2. Thue GTGT duoc khau tru,,972,2455,1021,33,
3. Thue va cac khoan khac phai thu cua nha nuoc,,428,1748,28,6,
4. Giao dich mua ban lai trai phieu chinh phu,,,,,,
5. Tai san ngan han khac,,788,798,,,
B. TAI SAN DAI HAN,,4657855,4303811,3895998,3503768,
I. Cac khoan phai thu dai han,,,,1239,3198,
1. Phai thu dai han cua khach hang,,,,,,
2. Tra truoc cho nguoi ban dai han,,,,,,
3. Von kinh doanh o cac don vi truc thuoc,,,,,,
4. Phai thu noi bo dai han,,,,,,
5. Phai thu ve cho vay dai han,,,,,,
6. Phai thu dai han khac,,,,1239,3198,
7. Du phong phai thu dai han kho doi (*),,,,,,
II. Tai san co dinh,,4429428,4047699,3667752,3289207,
1. Tai san co dinh huu hinh,,4419291,4037614,3657870,3279682,
- Nguyen gia,,7009316,6597419,6601291,6469422,
- Gia tri hao mon luy ke (*),,(2590025),(2559805),(2943420),(3189740),
2. Tai san co dinh thue tai chinh,,,,,,
- Nguyen gia,,,,,,
- Gia tri hao mon luy ke (*),,,,,,
3. Tai san co dinh vo hinh,,10025,9973,9882,9525,
- Nguyen gia,,10393,10573,10783,10783,
- Gia tri hao mon luy ke (*),,(368),(600),(901),(1258),
III. Bat dong san dau tu,,,,,,
- Nguyen gia,,,,,,
- Gia tri hao mon luy ke (*),,,,,,
IV. Tai san do dang dai han,,,,111,,
1. Chi phi san xuat kinh doanh do dang dai han,,,,,,
2. Chi phi xay dung co ban do dang,,111,111,111,,
V. Dau tu tai chinh dai han,,82183,82183,82183,93729,
1. Dau tu vao cong ty con,,,,,,
2. Dau tu vao cong ty lien ket. lien doanh,,,,,16546,
3. Dau tu gop von vao don vi khac,,,,82183,77183,
4. Du phong dau tu tai chinh dai han (*),,,,,,
5. Dau tu nam giu den ngay dao han,,,,,,
6. Dau tu dai han khac,,82183,82183,,,
VI. Tai san dai han khac,,146244,173929,144713,117633,
1. Chi phi tra truoc dai han,,130061,106757,78827,56341,
2. Tai san thue thu nhap hoan lai,,14882,65891,65886,61292,
3. Thiet bi vat tu phu tung thay the dai han,,,,,,
4. Tai san dai han khac,,1301,1281,,,
VII. Loi the thuong mai,,,,,,
TONG CONG TAI SAN,,5341999,5091275,4638731,4238710,
NGUON VON,,,,,,
A. NO PHAI TRA,,4107452,3784572,3629866,3609911,
I. No ngan han,,748563,538064,589049,710986,
1. Phai tra nguoi ban ngan han,,472164,369296,343093,210915,
2. Nguoi mua tra tien truoc ngan han,,56814,17281,18522,20688,
3. Thue va cac khoan phai nop Nha nuoc,,4145,12746,3605,558,
4. Phai tra nguoi lao dong,,15151,12760,22068,9804,
5. Chi phi phai tra ngan han,,332,17,5,,
6. Phai tra noi bo ngan han,,,,,,
7. Phai tra theo tien do ke hoach hop dong xay dung,,,,,,
8. Doanh thu chua thuc hien ngan han,,,,65,18,
9. Phai tra ngan han khac,,33275,36525,113878,116591,
10. Vay va no thue tai chinh ngan han,,164232,88346,86882,351118,
11. Du phong phai tra ngan han,,,,,320,
12. Quy khen thuong phuc loi,,2449,1092,930,974,
13. Quy binh on gia,,,,,,
14. Giao dich mua ban lai trai phieu Chinh phu,,,,,,
II. No dai han,,3358890,3246507,3040817,2898924,
1. Phai tra nguoi ban dai han,,,,,197041,
2. Nguoi mua tra tien truoc dai han,,,,,,
3. Chi phi phai tra dai han,,,,,,
4. Phai tra noi bo ve von kinh doanh,,,,,,
5. Phai tra noi bo dai han,,,,,,
6. Doanh thu chua thuc hien dai han,,36,65,,,
7. Phai tra dai han khac,,517672,517672,518720,518564,
8. Vay va no thue tai chinh dai han,,2841113,2728665,2522039,2183319,
9. Trai phieu chuyen doi,,,,,,
10. Co phieu uu dai (No),,,,,,
11. Thue thu nhap hoan lai phai tra,,68,104,57,,
12. Du phong phai tra dai han,,,,,,
13. Quy phat trien khoa hoc va cong nghe,,,,,,
14. Du phong tro cap mat viec lam,,,,,,
B. VON CHU SO HUU,,1221073,1291277,1008864,628799,
I. Von chu so huu,,1221073,1291277,1008864,628799,
1. Von gop cua chu so huu,,1400000,1400000,1400000,1400000,
- Co phieu pho thong co quyen bieu quyet,,,,1400000,1400000,
- Co phieu uu dai,,,,,,
2. Thang du von co phan,,1777,1777,1777,1777,
3. Quyen chon chuyen doi trai phieu,,,,,,
4. Von khac cua chu so huu,,,,6285,,
5. Co phieu quy (*),,,,,,
6. Chenh lech danh gia lai tai san,,,,,,
7. Chenh lech ty gia hoi doai,,,,,,
8. Quy dau tu phat trien,,12080,12187,28081,27916,
9. Quy ho tro sap xep doanh nghiep,,,,,,
10. Quy khac thuoc von chu so huu,,,,,,
11. Loi nhuan sau thue chua phan phoi,,(209505),(139586),(443200),(800895),
- LNST chua phan phoi luy ke den cuoi ky truoc,,,,(145294),(439704),
- LNST chua phan phoi ky nay,,,,(297906),(361190),
12. Nguon von dau tu XDCB,,,,,,
13. Loi ich co dong khong kiem soat,,,,15921,,
14. Quy du phong tai chinh,,16721,16899,,,
II. Nguon kinh phi va quy khac,,,,,,
1. Nguon kinh phi,,,,,,
2. Nguon kinh phi da hinh thanh TSCD,,,,,,
C. LOI ICH CO DONG THIEU SO,,13474,15427,,,
TONG CONG NGUON VON,,5341999,5091275,4638731,4238710,
