TAI SAN,,,,,,
A. TAI SAN NGAN HAN,,1709620,1658119,1536575,1564987,
I. Tien va cac khoan tuong duong tien,,1618,5792,208594,61346,
1. Tien,,1618,5792,208594,61346,
2. Cac khoan tuong duong tien,,,,,,
II. Dau tu tai chinh ngan han,,31208,624,132,132,
1. Chung khoan kinh doanh,,32487,1867,1441,1441,
2. Du phong giam gia chung khoan kinh doanh (*),,(1280),(1243),(1309),(1309),
3. Dau tu nam giu den ngay dao han,,,,,,
III. Cac khoan phai thu ngan han,,197878,152885,264222,540547,
1. Phai thu ngan han cua khach hang,,32121,45166,28052,145623,
2. Tra truoc cho nguoi ban ngan han,,45776,27389,25658,19618,
3. Phai thu noi bo ngan han,,,,,,
4. Phai thu theo tien do ke hoach hop dong xay dung,,,,,,
5. Phai thu ve cho vay ngan han,,,,3300,1000,
6. Phai thu ngan han khac,,120105,80455,207336,374430,
7. Du phong phai thu ngan han kho doi (*),,(124),(124),(124),(124),
8. Tai san thieu cho xu ly,,,,,,
IV. Hang ton kho,,1474407,1493844,1061277,960467,
1. Hang ton kho,,1499538,1518974,1105861,1005051,
2. Du phong giam gia hang ton kho (*),,(25131),(25131),(44584),(44584),
V. Tai san ngan han khac,,4509,4974,2351,2496,
1. Chi phi tra truoc ngan han,,,,213,,
2. Thue GTGT duoc khau tru,,,,40,71,
3. Thue va cac khoan khac phai thu cua nha nuoc,,4509,4974,2098,2425,
4. Giao dich mua ban lai trai phieu chinh phu,,,,,,
5. Tai san ngan han khac,,,,,,
B. TAI SAN DAI HAN,,81786,54702,136001,183126,
I. Cac khoan phai thu dai han,,,,53,50053,
1. Phai thu dai han cua khach hang,,,,,,
2. Tra truoc cho nguoi ban dai han,,,,,,
3. Von kinh doanh o cac don vi truc thuoc,,,,,,
4. Phai thu noi bo dai han,,,,,,
5. Phai thu ve cho vay dai han,,,,,,
6. Phai thu dai han khac,,,,53,50053,
7. Du phong phai thu dai han kho doi (*),,,,,,
II. Tai san co dinh,,38952,19231,18890,19625,
1. Tai san co dinh huu hinh,,21062,18731,18890,19625,
- Nguyen gia,,29391,29946,32003,35749,
- Gia tri hao mon luy ke (*),,(8329),(11215),(13113),(16123),
2. Tai san co dinh thue tai chinh,,,,,,
- Nguyen gia,,,,,,
- Gia tri hao mon luy ke (*),,,,,,
3. Tai san co dinh vo hinh,,,,,,
- Nguyen gia,,30,30,30,30,
- Gia tri hao mon luy ke (*),,(30),(30),(30),(30),
III. Bat dong san dau tu,,5062,4584,4105,6546,
- Nguyen gia,,7174,7174,7174,10418,
- Gia tri hao mon luy ke (*),,(2112),(2591),(3069),(3872),
IV. Tai san do dang dai han,,,,74700,74801,
1. Chi phi san xuat kinh doanh do dang dai han,,,,74700,74543,
2. Chi phi xay dung co ban do dang,,17890,499,,258,
V. Dau tu tai chinh dai han,,21045,14592,14592,14592,
1. Dau tu vao cong ty con,,,,,,
2. Dau tu vao cong ty lien ket. lien doanh,,14700,14700,14700,14700,
3. Dau tu gop von vao don vi khac,,,,,,
4. Du phong dau tu tai chinh dai han (*),,(7020),(108),(108),(108),
5. Dau tu nam giu den ngay dao han,
