TAI SAN,,,,,,
A. TAI SAN NGAN HAN,,92253,81443,84977,69373,
I. Tien va cac khoan tuong duong tien,,14370,4052,3854,2845,
1. Tien,,14370,4052,3854,2845,
2. Cac khoan tuong duong tien,,,,,,
II. Dau tu tai chinh ngan han,,,,,,
1. Chung khoan kinh doanh,,,,,,
2. Du phong giam gia chung khoan kinh doanh (*),,,,,,
3. Dau tu nam giu den ngay dao han,,,,,,
III. Cac khoan phai thu ngan han,,33089,31310,33543,27598,
1. Phai thu ngan han cua khach hang,,30252,31288,33502,27488,
2. Tra truoc cho nguoi ban ngan han,,2891,52,49,139,
3. Phai thu noi bo ngan han,,,,,,
4. Phai thu theo tien do ke hoach hop dong xay dung,,,,,,
5. Phai thu ve cho vay ngan han,,,,,,
6. Phai thu ngan han khac,,319,195,195,
