TAI SAN,,,,,,
A. TAI SAN NGAN HAN,,426190,421123,466620,451561,
I. Tien va cac khoan tuong duong tien,,74893,81957,49424,86630,
1. Tien,,46093,65857,33324,59630,
2. Cac khoan tuong duong tien,,28800,16100,16100,27000,
II. Dau tu tai chinh ngan han,,,10000,,10000,
1. Chung khoan kinh doanh,,,10000,,,
2. Du phong giam gia chung khoan kinh doanh (*),,,,,,
3. Dau tu nam giu den ngay dao han,,,,,10000,
III. Cac khoan phai thu ngan han,,175810,157112,228177,204671,
1. Phai thu ngan han cua khach hang,,190084,180652,241919,228862,
2. Tra truoc cho nguoi ban ngan han,,6550,2435,6598,3864,
3. Phai thu noi bo ngan han,,,,,,
4. Phai thu theo tien do ke hoach hop dong xay dung,,,,,,
5. Phai thu ve cho vay ngan han,,,,,,
6. Phai thu ngan han khac,,4033,3493,9052,7493,
7. Du phong phai thu ngan han kho doi (*),,(24858),(29469),(29398),(35554),
8. Tai san thieu cho xu ly,,,,6,6,
IV. Hang ton kho,,161329,158929,178658,144590,
1. Hang ton kho,,169048,168427,183958,150769,
2. Du phong giam gia hang ton kho (*),,(7719),(9499),(5300),(6179),
V. Tai san ngan han khac,,14159,13126,10362,5670,
1. Chi phi tra truoc ngan han,,230,136,136,472,
2. Thue GTGT duoc khau tru,,9056,9348,9843,4982,
3. Thue va cac khoan khac phai thu cua nha nuoc,,35,20,384,215,
4. Giao dich mua ban lai trai phieu chinh phu,,,,,,
5. Tai san ngan han khac,,4837,3622,,,
B. TAI SAN DAI HAN,,57375,82086,90765,110581,
I. Cac khoan phai thu dai han,,,,1132,2363,
1. Phai thu dai han cua khach hang,,,,,,
2. Tra truoc cho nguoi ban dai han,,,,266,,
3. Von kinh doanh o cac don vi truc thuoc,,,,,,
4. Phai thu noi bo dai han,,,,,,
5. Phai thu ve cho vay dai han,,,,,,
6. Phai thu dai han khac,,,,866,2363,
7. Du phong phai thu dai han kho doi (*),,,,,,
II. Tai san co dinh,,34107,33787,38687,44691,
1. Tai san co dinh huu hinh,,27542,33284,38231,38412,
- Nguyen gia,,128349,136489,144989,146356,
- Gia tri hao mon luy ke (*),,(100807),(103205),(106758),(107944),
2. Tai san co dinh thue tai chinh,,,,,,
- Nguyen gia,,,,,,
- Gia tri hao mon luy ke (*),,,,,,
3. Tai san co dinh vo hinh,,549,503,457,6279,
- Nguyen gia,,1996,1887,1887,7748,
- Gia tri hao mon luy ke (*),,(1447),(1384),(1430),(1469),
III. Bat dong san dau tu,,,,,,
- Nguyen gia,,,,,,
- Gia tri hao mon luy ke (*),,,,,,
IV. Tai san do dang dai han,,,7219,7388,17353,
1. Chi phi san xuat kinh doanh do dang dai han,,,,7388,,
2. Chi phi xay dung co ban do dang,,6015,7219,,17353,
V. Dau tu tai chinh dai han,,18698,36988,40684,42846,
1. Dau tu vao cong ty con,,,,,,
2. Dau tu vao cong ty lien ket. lien doanh,,17279,35568,39265,41426,
3. Dau tu gop von vao don vi khac,,,,1420,1420,
4. Du phong dau tu tai chinh dai han (*),,,,,,
5. Dau tu nam giu den ngay dao han,,,,,,
6. Dau tu dai han khac,,1420,1420,,,
VI. Tai san dai han khac,,4315,3965,2874,3328,
1. Chi phi tra truoc dai han,,4269,3416,2874,3328,
2. Tai san thue thu nhap hoan lai,,,,,,
3. Thiet bi vat tu phu tung thay the dai han,,,,,,
4. Tai san dai han khac,,46,549,,,
VII. Loi the thuong mai,,255,128,,,
TONG CONG TAI SAN,,483566,503209,557385,562141,
NGUON VON,,,,,,
A. NO PHAI TRA,,163644,177357,223559,214384,
I. No ngan han,,162034,176316,223032,214357,
1. Phai tra nguoi ban ngan han,,77707,82556,132469,94849,
2. Nguoi mua tra tien truoc ngan han,,457,591,754,379,
3. Thue va cac khoan phai nop Nha nuoc,,5055,3383,1230,3692,
4. Phai tra nguoi lao dong,,18792,18873,10134,20666,
5. Chi phi phai tra ngan han,,25216,24784,21275,26134,
6. Phai tra noi bo ngan han,,,,,,
7. Phai tra theo tien do ke hoach hop dong xay dung,,,,,,
8. Doanh thu chua thuc hien ngan han,,,,,,
9. Phai tra ngan han khac,,11568,10737,10078,12168,
10. Vay va no thue tai chinh ngan han,,20549,31362,42649,53143,
11. Du phong phai tra ngan han,,,,,,
12. Quy khen thuong phuc loi,,2689,4029,4442,3327,
13. Quy binh on gia,,,,,,
14. Giao dich mua ban lai trai phieu Chinh phu,,,,,,
II. No dai han,,1610,1042,527,27,
1. Phai tra nguoi ban dai han,,,,,,
2. Nguoi mua tra tien truoc dai han,,,,,,
3. Chi phi phai tra dai han,,,,,,
4. Phai tra noi bo ve von kinh doanh,,,,,,
5. Phai tra noi bo dai han,,,,,,
6. Doanh thu chua thuc hien dai han,,,14,,,
7. Phai tra dai han khac,,,,,,
8. Vay va no thue tai chinh dai han,,1610,1027,527,27,
9. Trai phieu chuyen doi,,,,,,
10. Co phieu uu dai (No),,,,,,
11. Thue thu nhap hoan lai phai tra,,,,,,
12. Du phong phai tra dai han,,,,,,
13. Quy phat trien khoa hoc va cong nghe,,,,,,
14. Du phong tro cap mat viec lam,,,,,,
B. VON CHU SO HUU,,311726,318483,333826,347757,
I. Von chu so huu,,310599,317356,333696,347627,
1. Von gop cua chu so huu,,174720,174720,174720,244608,
- Co phieu pho thong co quyen bieu quyet,,,174720,174720,244608,
- Co phieu uu dai,,,,,,
2. Thang du von co phan,,,,,,
3. Quyen chon chuyen doi trai phieu,,,,,,
4. Von khac cua chu so huu,,,,,,
5. Co phieu quy (*),,,,,,
6. Chenh lech danh gia lai tai san,,,,,,
7. Chenh lech ty gia hoi doai,,,,,,
8. Quy dau tu phat trien,,51928,63320,77301,20416,
9. Quy ho tro sap xep doanh nghiep,,,,,,
10. Quy khac thuoc von chu so huu,,4300,6701,8959,2389,
11. Loi nhuan sau thue chua phan phoi,,72629,63154,65674,72754,
- LNST chua phan phoi luy ke den cuoi ky truoc,,,,19560,15083,
- LNST chua phan phoi ky nay,,,,46113,57671,
12. Nguon von dau tu XDCB,,,,,,
13. Loi ich co dong khong kiem soat,,,,7042,7460,
14. Quy du phong tai chinh,,7022,9461,,,
II. Nguon kinh phi va quy khac,,1127,1127,130,130,
1. Nguon kinh phi,,305,305,130,130,
2. Nguon kinh phi da hinh thanh TSCD,,822,822,,,
C. LOI ICH CO DONG THIEU SO,,8196,7369,,,
TONG CONG NGUON VON,,483566,503209,557385,562141,
