TAI SAN,,,,,,
A. TAI SAN NGAN HAN,,255726,280775,81625,101810,
I. Tien va cac khoan tuong duong tien,,396,1033,1932,55380,
1. Tien,,396,1033,1932,55380,
2. Cac khoan tuong duong tien,,,,,,
II. Dau tu tai chinh ngan han,,,,,3000,
1. Chung khoan kinh doanh,,,,,,
2. Du phong giam gia chung khoan kinh doanh (*),,,,,,
3. Dau tu nam giu den ngay dao han,,,,,3000,
III. Cac khoan phai thu ngan han,,9396,37390,41459,36821,
1. Phai thu ngan han cua khach hang,,6426,34519,36997,8615,
2. Tra truoc cho nguoi ban ngan han,,3929,1075,607,640,
3. Phai thu noi bo ngan han,,,,,,
4. Phai thu theo tien do ke hoach hop dong xay dung,,,,,,
5. Phai thu ve cho vay ngan han,,,,,,
6. Phai thu ngan han khac,,580,3453,5765,29586,
7. Du phong phai thu ngan han kho doi (*),,(1539),(1656),(1910),(2020),
8. Tai san thieu cho xu ly,,,,,,
IV. Hang ton kho,,244520,240872,37727,6113,
1. Hang ton kho,,244520,241038,37892,6279,
2. Du phong giam gia hang ton kho (*),,,(166),(166),(166),
V. Tai san ngan han khac,,1413,1480,507,496,
1. Chi phi tra truoc ngan han,,41,,106,16,
2. Thue GTGT duoc khau tru,,105,201,401,479,
3. Thue va cac khoan khac phai thu cua nha nuoc,,8,,,1,
4. Giao dich mua ban lai trai phieu chinh phu,,,,,,
5. Tai san ngan han khac,,1260,1279,,,
B. TAI SAN DAI HAN,,74731,62223,148411,153893,
I. Cac khoan phai thu dai han,,,,,10000,
1. Phai thu dai han cua khach hang,,,,,,
2. Tra truoc cho nguoi ban dai han,,,,,,
3. Von kinh doanh o cac don vi truc thuoc,,,,,,
4. Phai thu noi bo dai han,,,,,,
5. Phai thu ve cho vay dai han,,,,,,
6. Phai thu dai han khac,,,,,10000,
7. Du phong phai thu dai han kho doi (*),,,,,,
II. Tai san co dinh,,44254,42906,5008,4762,
1. Tai san co dinh huu hinh,,1643,416,224,84,
- Nguyen gia,,4762,2663,2470,2470,
- Gia tri hao mon luy ke (*),,(3118),(2247),(2246),(2386),
2. Tai san co dinh thue tai chinh,,,,,,
- Nguyen gia,,,,,,
- Gia tri hao mon luy ke (*),,,,,,
3. Tai san co dinh vo hinh,,10145,10024,4783,4678,
- Nguyen gia,,10728,10728,5607,5607,
- Gia tri hao mon luy ke (*),,(583),(703),(824),(929),
III. Bat dong san dau tu,,28063,17860,17044,13073,
- Nguyen gia,,31122,20390,20390,16007,
- Gia tri hao mon luy ke (*),,(3059),(2531),(3346),(2935),
IV. Tai san do dang dai han,,,,126055,126058,
1. Chi phi san xuat kinh doanh do dang dai han,,,,126055,126058,
2. Chi phi xay dung co ban do dang,,32466,32466,,,
V. Dau tu tai chinh dai han,,900,,,,
1. Dau tu vao cong ty con,,,,,,
2. Dau tu vao cong ty lien ket. lien doanh,,,,,,
3. Dau tu gop von vao don vi khac,,,,,,
4. Du phong dau tu tai chinh dai han (*),,,,,,
5. Dau tu nam giu den ngay dao han,,,,,,
6. Dau tu dai han khac,,900,,,,
VI. Tai san dai han khac,,1513,1457,305,,
1. Chi phi tra truoc dai han,,924,868,8,,
2. Tai san thue thu nhap hoan lai,,589,589,297,,
3. Thiet bi vat tu phu tung thay the dai han,,,,,,
4. Tai san dai han khac,,,,,,
VII. Loi the thuong mai,,,,,,
TONG CONG TAI SAN,,330457,342998,230036,255703,
NGUON VON,,,,,,
A. NO PHAI TRA,,152684,162787,57644,78309,
I. No ngan han,,108855,128967,51072,71447,
1. Phai tra nguoi ban ngan han,,283,12502,3826,1215,
2. Nguoi mua tra tien truoc ngan han,,9620,4280,3229,1862,
