TAI SAN,,,,,,
A. TAI SAN NGAN HAN,,493460,480360,585876,605005,
I. Tien va cac khoan tuong duong tien,,281725,216025,332398,331452,
1. Tien,,59262,82526,76505,86934,
2. Cac khoan tuong duong tien,,222463,133499,255893,244519,
II. Dau tu tai chinh ngan han,,60857,52106,78526,32327,
1. Chung khoan kinh doanh,,69107,52106,,,
2. Du phong giam gia chung khoan kinh doanh (*),,(8250),,,,
3. Dau tu nam giu den ngay dao han,,,,78526,32327,
III. Cac khoan phai thu ngan han,,121091,154266,92981,130269,
1. Phai thu ngan han cua khach hang,,103962,93888,81639,112860,
2. Tra truoc cho nguoi ban ngan han,,15697,49081,4146,6230,
3. Phai thu noi bo ngan han,,,,,,
4. Phai thu theo tien do ke hoach hop dong xay dung,,,,,,
5. Phai thu ve cho vay ngan han,,,,,,
6. Phai thu ngan han khac,,2504,12354,8229,12128,
7. Du phong phai thu ngan han kho doi (*),,(1072),(1057),(1033),(950),
8. Tai san thieu cho xu ly,,,,,,
IV. Hang ton kho,,10323,7338,9960,9263,
1. Hang ton kho,,10323,7338,9960,9263,
2. Du phong giam gia hang ton kho (*),,,,,,
V. Tai san ngan han khac,,19464,50625,72011,101693,
1. Chi phi tra truoc ngan han,,706,1140,1183,4356,
2. Thue GTGT duoc khau tru,,16437,45118,70824,97284,
3. Thue va cac khoan khac phai thu cua nha nuoc,,,,4,53,
4. Giao dich mua ban lai trai phieu chinh phu,,,,,,
5. Tai san ngan han khac,,2321,4368,,,
B. TAI SAN DAI HAN,,639103,1014742,1638136,1792433,
I. Cac khoan phai thu dai han,,,,291,,
1. Phai thu dai han cua khach hang,,,,,,
2. Tra truoc cho nguoi ban dai han,,,,,,
3. Von kinh doanh o cac don vi truc thuoc,,,,,,
4. Phai thu noi bo dai han,,,,,,
5. Phai thu ve cho vay dai han,,,,,,
6. Phai thu dai han khac,,,,291,,
7. Du phong phai thu dai han kho doi (*),,,,,,
II. Tai san co dinh,,456542,420986,958833,1215129,
1. Tai san co dinh huu hinh,,399050,404659,944621,1204039,
- Nguyen gia,,692553,758313,1356793,1766478,
- Gia tri hao mon luy ke (*),,(293502),(353655),(412172),(562439),
2. Tai san co dinh thue tai chinh,,,,,,
- Nguyen gia,,,,,,
- Gia tri hao mon luy ke (*),,,,,,
3. Tai san co dinh vo hinh,,10748,10675,14212,11090,
- Nguyen gia,,11691,11691,15842,14282,
- Gia tri hao mon luy ke (*),,(943),(1016),(1630),(3192),
III. Bat dong san dau tu,,,,,,
- Nguyen gia,,,,,,
- Gia tri hao mon luy ke (*),,,,,,
IV. Tai san do dang dai han,,,,82696,11151,
1. Chi phi san xuat kinh doanh do dang dai han,,,,,,
2. Chi phi xay dung co ban do dang,,46743,5652,82696,11151,
V. Dau tu tai chinh dai han,,41631,100330,108890,104799,
1. Dau tu vao cong ty con,,,,,,
2. Dau tu vao cong ty lien ket. lien doanh,,37131,99865,108580,104644,
3. Dau tu gop von vao don vi khac,,,,310,155,
4. Du phong dau tu tai chinh dai han (*),,,,,,
5. Dau tu nam giu den ngay dao han,,,,,,
6. Dau tu dai han khac,,4500,465,,,
VI. Tai san dai han khac,,140931,493425,487426,461353,
1. Chi phi tra truoc dai han,,140335,492789,487426,461353,
2. Tai san thue thu nhap hoan lai,,,,,,
3. Thiet bi vat tu phu tung thay the dai han,,,,,,
4. Tai san dai han khac,,596,636,,,
