TAI SAN,,,,,,
A. TAI SAN NGAN HAN,,1256830,987070,2018221,2155744,
I. Tien va cac khoan tuong duong tien,,573932,229959,1153237,320474,
1. Tien,,31292,21459,5995,3654,
2. Cac khoan tuong duong tien,,542640,208500,1147242,316820,
II. Dau tu tai chinh ngan han,,,32000,33500,663530,
1. Chung khoan kinh doanh,,,32000,,,
2. Du phong giam gia chung khoan kinh doanh (*),,,,,,
3. Dau tu nam giu den ngay dao han,,,,33500,663530,
III. Cac khoan phai thu ngan han,,628101,687753,441330,753675,
1. Phai thu ngan han cua khach hang,,157474,481870,114068,131363,
2. Tra truoc cho nguoi ban ngan han,,435586,196935,313112,603082,
3. Phai thu noi bo ngan han,,,,,,
4. Phai thu theo tien do ke hoach hop dong xay dung,,,,,,
5. Phai thu ve cho vay ngan han,,,,,,
6. Phai thu ngan han khac,,35041,8948,14151,19231,
7. Du phong phai thu ngan han kho doi (*),,,,,,
8. Tai san thieu cho xu ly,,,,,,
IV. Hang ton kho,,36166,36358,368861,374227,
1. Hang ton kho,,44131,43056,368861,374227,
2. Du phong giam gia hang ton kho (*),,(7966),(6698),,,
V. Tai san ngan han khac,,18631,1000,21292,43838,
1. Chi phi tra truoc ngan han,,,39,50,17,
2. Thue GTGT duoc khau tru,,18175,,,43820,
3. Thue va cac khoan khac phai thu cua nha nuoc,,,,21242,,
4. Giao dich mua ban lai trai phieu chinh phu,,,,,,
5. Tai san ngan han khac,,457,961,,,
B. TAI SAN DAI HAN,,2408122,2652478,3031164,3954378,
I. Cac khoan phai thu dai han,,,,,,
1. Phai thu dai han cua khach hang,,,,,,
2. Tra truoc cho nguoi ban dai han,,,,,,
3. Von kinh doanh o cac don vi truc thuoc,,,,,,
4. Phai thu noi bo dai han,,,,,,
5. Phai thu ve cho vay dai han,,,,,,
6. Phai thu dai han khac,,,,,,
7. Du phong phai thu dai han kho doi (*),,,,,,
II. Tai san co dinh,,2392392,2637200,813683,762608,
1. Tai san co dinh huu hinh,,920536,861745,813683,762608,
- Nguyen gia,,2968224,2986330,3017226,3046864,
- Gia tri hao mon luy ke (*),,(2047688),(2124585),(2203543),(2284257),
2. Tai san co dinh thue tai chinh,,,,,,
- Nguyen gia,,,,,,
- Gia tri hao mon luy ke (*),,,,,,
3. Tai san co dinh vo hinh,,,,,,
- Nguyen gia,,,,,,
- Gia tri hao mon luy ke (*),,,,,,
III. Bat dong san dau tu,,,,,,
- Nguyen gia,,,,,,
- Gia tri hao mon luy ke (*),,,,,,
IV. Tai san do dang dai han,,,,2182041,3166606,
1. Chi phi san xuat kinh doanh do dang dai han,,,,,,
2. Chi phi xay dung co ban do dang,,1471856,1775455,2182041,3166606,
V. Dau tu tai chinh dai han,,12908,12496,12916,13065,
1. Dau tu vao cong ty con,,,,,,
2. Dau tu vao cong ty lien ket. lien doanh,,12908,12496,12916,13065,
3. Dau tu gop von vao don vi khac,,,,,,
4. Du phong dau tu tai chinh dai han (*),,,,,,
5. Dau tu nam giu den ngay dao han,,,,,,
6. Dau tu dai han khac,,,,,,
VI. Tai san dai han khac,,2823,2783,22523,12099,
1. Chi phi tra truoc dai han,,209,168,9261,1148,
2. Tai san thue thu nhap hoan lai,,2614,2614,2614,2614,
3. Thiet bi vat tu phu tung thay the dai han,,,,10648,8336,
4. Tai san dai han khac,,,,,,
VII. Loi the thuong mai,,,,,,
TONG CONG TAI SAN,,3664952,3639548,5049385,6110122,
NGUON VON,,,,,,
A. NO PHAI TRA,,1054460,676940,2258034,3277436,
I. No ngan han,,900957,539875,483489,488485,
1. Phai tra nguoi ban ngan han,,38063,194347,197594,200090,
2. Nguoi mua tra tien truoc ngan han,,1056,1306,80,40,
3. Thue va cac khoan phai nop Nha nuoc,,63553,40060,15451,23641,
4. Phai tra nguoi lao dong,,6166,5481,4179,5461,
5. Chi phi phai tra ngan han,,3778,962,353,649,
6. Phai tra noi bo ngan han,,,,,,
7. Phai tra theo tien do ke hoach hop dong xay dung,,,,,,
8. Doanh thu chua thuc hien ngan han,,,,,,
9. Phai tra ngan han khac,,119278,32333,2438,2627,
10. Vay va no thue tai chinh ngan han,,664833,258431,250801,246258,
11. Du phong phai tra ngan han,,,,,,
12. Quy khen thuong phuc loi,,4231,6955,12594,9721,
13. Quy binh on gia,,,,,,
14. Giao dich mua ban lai trai phieu Chinh phu,,,,,,
II. No dai han,,153503,137064,1774545,2788951,
1. Phai tra nguoi ban dai han,,,,,,
2. Nguoi mua tra tien truoc dai han,,,,,,
3. Chi phi phai tra dai han,,,,,,
4. Phai tra noi bo ve von kinh doanh,,,,,,
5. Phai tra noi bo dai han,,,,,,
6. Doanh thu chua thuc hien dai han,,,,,,
7. Phai tra dai han khac,,,,,,
8. Vay va no thue tai chinh dai han,,153503,137064,1774545,2788951,
9. Trai phieu chuyen doi,,,,,,
10. Co phieu uu dai (No),,,,,,
11. Thue thu nhap hoan lai phai tra,,,,,,
12. Du phong phai tra dai han,,,,,,
13. Quy phat trien khoa hoc va cong nghe,,,,,,
14. Du phong tro cap mat viec lam,,,,,,
B. VON CHU SO HUU,,2610492,2962608,2791351,2832686,
I. Von chu so huu,,2609649,2962117,2791138,2832686,
1. Von gop cua chu so huu,,2062412,2062412,2062412,2062412,
- Co phieu pho thong co quyen bieu quyet,,,,2062412,2062412,
- Co phieu uu dai,,,,,,
2. Thang du von co phan,,6332,6332,6332,6332,
3. Quyen chon chuyen doi trai phieu,,,,,,
4. Von khac cua chu so huu,,,,,,
5. Co phieu quy (*),,,,,,
6. Chenh lech danh gia lai tai san,,,,,,
7. Chenh lech ty gia hoi doai,,(8576),(8542),,,
8. Quy dau tu phat trien,,21500,21500,294414,294414,
9. Quy ho tro sap xep doanh nghiep,,,,,,
10. Quy khac thuoc von chu so huu,,,,27661,27661,
11. Loi nhuan sau thue chua phan phoi,,501100,853534,400318,441866,
- LNST chua phan phoi luy ke den cuoi ky truoc,,,,154727,183743,
- LNST chua phan phoi ky nay,,,,245591,258122,
12. Nguon von dau tu XDCB,,,,,,
13. Loi ich co dong khong kiem soat,,,,,,
14. Quy du phong tai chinh,,26880,26880,,,
II. Nguon kinh phi va quy khac,,844,492,212,,
1. Nguon kinh phi,,,,,,
2. Nguon kinh phi da hinh thanh TSCD,,844,492,212,,
C. LOI ICH CO DONG THIEU SO,,,,,,
TONG CONG NGUON VON,,3664952,3639548,5049385,6110122,
