TAI SAN,,,,,,
A. TAI SAN NGAN HAN,,199283,203864,273320,712802,
I. Tien va cac khoan tuong duong tien,,7515,6265,5982,12061,
1. Tien,,6765,6265,5982,12061,
2. Cac khoan tuong duong tien,,750,,,,
II. Dau tu tai chinh ngan han,,68807,56237,37487,45987,
1. Chung khoan kinh doanh,,71807,56245,287,287,
2. Du phong giam gia chung khoan kinh doanh (*),,(3000),(8),,,
3. Dau tu nam giu den ngay dao han,,,,37200,45700,
III. Cac khoan phai thu ngan han,,42748,57528,120930,441420,
1. Phai thu ngan han cua khach hang,,31552,42267,117396,438807,
2. Tra truoc cho nguoi ban ngan han,,9079,16144,2933,2211,
3. Phai thu noi bo ngan han,,,,,,
4. Phai thu theo tien do ke hoach hop dong xay dung,,,,,,
5. Phai thu ve cho vay ngan han,,,,,,
6. Phai thu ngan han khac,,3170,526,2196,2034,
7. Du phong phai thu ngan han kho doi (*),,(1053),(1409),(1726),(1818),
8. Tai san thieu cho xu ly,,,,132,186,
IV. Hang ton kho,,74566,80260,107346,204986,
1. Hang ton kho,,75006,80730,107932,205494,
2. Du phong giam gia hang ton kho (*),,(440),(470),(586),(508),
V. Tai san ngan han khac,,5647,3574,1574,8347,
1. Chi phi tra truoc ngan han,,545,1068,62,1337,
2. Thue GTGT duoc khau tru,,2936,1279,1205,6703,
3. Thue va cac khoan khac phai thu cua nha nuoc,,378,430,307,307,
4. Giao dich mua ban lai trai phieu chinh phu,,,,,,
5. Tai san ngan han khac,,1788,796,,,
B. TAI SAN DAI HAN,,69225,69321,78242,77914,
I. Cac khoan phai thu dai han,,,249,8331,8331,
1. Phai thu dai han cua khach hang,,,,,,
2. Tra truoc cho nguoi ban dai han,,,,8331,8331,
3. Von kinh doanh o cac don vi truc thuoc,,,,,,
4. Phai thu noi bo dai han,,,,,,
5. Phai thu ve cho vay dai han,,,,,,
6. Phai thu dai han khac,,,249,,,
7. Du phong phai thu dai han kho doi (*),,,,,,
II. Tai san co dinh,,66984,61987,54787,51149,
1. Tai san co dinh huu hinh,,37693,34874,32473,29485,
- Nguyen gia,,80013,80607,82320,83264,
- Gia tri hao mon luy ke (*),,(42321),(45732),(49848),(53779),
2. Tai san co dinh thue tai chinh,,,,,,
- Nguyen gia,,,,,,
- Gia tri hao mon luy ke (*),,,,,,
3. Tai san co dinh vo hinh,,23710,23042,22314,21664,
- Nguyen gia,,26949,27023,27023,27023,
- Gia tri hao mon luy ke (*),,(3239),(3980),(4708),(5359),
III. Bat dong san dau tu,,,,,,
- Nguyen gia,,,,,,
- Gia tri hao mon luy ke (*),,,,,,
IV. Tai san do dang dai han,,,,4096,3625,
1. Chi phi san xuat kinh doanh do dang dai han,,,,,,
2. Chi phi xay dung co ban do dang,,5582,4070,4096,3625,
V. Dau tu tai chinh dai han,,,,,,
1. Dau tu vao cong ty con,,,,,,
2. Dau tu vao cong ty lien ket. lien doanh,,,,,,
3. Dau tu gop von vao don vi khac,,,,,,
4. Du phong dau tu tai chinh dai han (*),,,,,,
5. Dau tu nam giu den ngay dao han,,,,,,
6. Dau tu dai han khac,,,,,,
VI. Tai san dai han khac,,2240,7085,11028,14810,
1. Chi phi tra truoc dai han,,1714,6272,9660,12560,
2. Tai san thue thu nhap hoan lai,,526,813,1368,2250,
3. Thiet bi vat tu phu tung thay the dai han,,,,,,
4. Tai san dai han khac,,,,,,
VII. Loi the thuong mai,,,,,,
TONG CONG TAI SAN,,268507,273185,351562,790716,
NGUON VON,,,,,,
A. NO PHAI TRA,,61209,61292,139871,576199,
