TAI SAN,,,,,,
A. TAI SAN NGAN HAN,,283947,264923,224488,170114,
I. Tien va cac khoan tuong duong tien,,86422,73892,71143,48635,
1. Tien,,68422,50892,24143,46635,
2. Cac khoan tuong duong tien,,18000,23000,47000,2000,
II. Dau tu tai chinh ngan han,,1117,,,,
1. Chung khoan kinh doanh,,2866,,,,
2. Du phong giam gia chung khoan kinh doanh (*),,(1750),,,,
3. Dau tu nam giu den ngay dao han,,,,,,
III. Cac khoan phai thu ngan han,,141392,133854,99968,52155,
1. Phai thu ngan han cua khach hang,,130479,121032,77678,37704,
2. Tra truoc cho nguoi ban ngan han,,6595,2691,969,937,
3. Phai thu noi bo ngan han,,,,,,
4. Phai thu theo tien do ke hoach hop dong xay dung,,,,,,
5. Phai thu ve cho vay ngan han,,,,,,
6. Phai thu ngan han khac,,4400,10272,21587,13795,
7. Du phong phai thu ngan han kho doi (*),,(82),(141),(265),(281),
8. Tai san thieu cho xu ly,,,,,,
IV. Hang ton kho,,51628,53558,52877,68567,
1. Hang ton kho,,51738,53667,52986,68677,
2. Du phong giam gia hang ton kho (*),,(109),(109),(109),(109),
V. Tai san ngan han khac,,3388,3619,501,758,
1. Chi phi tra truoc ngan han,,344,355,501,758,
2. Thue GTGT duoc khau tru,,313,,,,
3. Thue va cac khoan khac phai thu cua nha nuoc,,,933,,,
4. Giao dich mua ban lai trai phieu chinh phu,,,,,,
5. Tai san ngan han khac,,2732,2331,,,
B. TAI SAN DAI HAN,,1953857,1843881,1735479,1906725,
I. Cac khoan phai thu dai han,,,,1686,1686,
1. Phai thu dai han cua khach hang,,,,,,
2. Tra truoc cho nguoi ban dai han,,,,,,
3. Von kinh doanh o cac don vi truc thuoc,,,,,,
4. Phai thu noi bo dai han,,,,,,
5. Phai thu ve cho vay dai han,,,,,,
6. Phai thu dai han khac,,,,1686,1686,
7. Du phong phai thu dai han kho doi (*),,,,,,
II. Tai san co dinh,,1936066,1825271,1722340,1868905,
1. Tai san co dinh huu hinh,,1888029,1791421,1695315,1842493,
- Nguyen gia,,3591563,3743958,3882739,4328568,
- Gia tri hao mon luy ke (*),,(1703534),(1952537),(2187424),(2486074),
2. Tai san co dinh thue tai chinh,,,,,,
- Nguyen gia,,,,,,
- Gia tri hao mon luy ke (*),,,,,,
3. Tai san co dinh vo hinh,,28251,27638,27025,26412,
- Nguyen gia,,28251,28251,28251,28251,
- Gia tri hao mon luy ke (*),,,(613),(1226),(1839),
III. Bat dong san dau tu,,,,,,
- Nguyen gia,,,,,,
- Gia tri hao mon luy ke (*),,,,,,
IV. Tai san do dang dai han,,,,823,22896,
1. Chi phi san xuat kinh doanh do dang dai han,,,,,,
2. Chi phi xay dung co ban do dang,,19787,6212,823,22896,
V. Dau tu tai chinh dai han,,17006,16872,10630,13238,
1. Dau tu vao cong ty con,,,,,,
2. Dau tu vao cong ty lien ket. lien doanh,,2206,2021,,,
3. Dau tu gop von vao don vi khac,,,,64500,64500,
4. Du phong dau tu tai chinh dai han (*),,(51700),(51650),(53870),(51262),
5. Dau tu nam giu den ngay dao han,,,,,,
6. Dau tu dai han khac,,66500,66500,,,
VI. Tai san dai han khac,,784,1739,,,
1. Chi phi tra truoc dai han,,151,48,,,
2. Tai san thue thu nhap hoan lai,,320,,,,
3. Thiet bi vat tu phu tung thay the dai han,,,,,,
4. Tai san dai han khac,,313,1691,,,
VII. Loi the thuong mai,,,,,,
TONG CONG TAI SAN,,2237804,2108804,1959967,2076839,
NGUON VON,,,,,,
A. NO PHAI TRA,,1185693,1059956,873171,965969,
I. No ngan han,,429745,464014,429327,434982,
1. Phai tra nguoi ban ngan han,,55052,75152,26311,54925,
2. Nguoi mua tra tien truoc ngan han,,131,636,36441,10275,
3. Thue va cac khoan phai nop Nha nuoc,,11801,8322,18022,12373,
4. Phai tra nguoi lao dong,,26725,32347,31043,35663,
5. Chi phi phai tra ngan han,,69169,39428,8562,11198,
6. Phai tra noi bo ngan han,,,,,,
7. Phai tra theo tien do ke hoach hop dong xay dung,,,,,,
8. Doanh thu chua thuc hien ngan han,,,,,,
9. Phai tra ngan han khac,,5059,27831,10727,29730,
10. Vay va no thue tai chinh ngan han,,258677,276272,269706,220532,
11. Du phong phai tra ngan han,,,,26100,54639,
12. Quy khen thuong phuc loi,,3131,4026,2415,5647,
13. Quy binh on gia,,,,,,
14. Giao dich mua ban lai trai phieu Chinh phu,,,,,,
II. No dai han,,755948,595941,443844,530987,
1. Phai tra nguoi ban dai han,,,,,,
2. Nguoi mua tra tien truoc dai han,,,,,,
3. Chi phi phai tra dai han,,,,,,
4. Phai tra noi bo ve von kinh doanh,,,,,,
5. Phai tra noi bo dai han,,,,,,
6. Doanh thu chua thuc hien dai han,,,,,,
7. Phai tra dai han khac,,,,,,
8. Vay va no thue tai chinh dai han,,755948,595941,443844,530987,
9. Trai phieu chuyen doi,,,,,,
10. Co phieu uu dai (No),,,,,,
11. Thue thu nhap hoan lai phai tra,,,,,,
12. Du phong phai tra dai han,,,,,,
13. Quy phat trien khoa hoc va cong nghe,,,,,,
14. Du phong tro cap mat viec lam,,,,,,
B. VON CHU SO HUU,,1052112,1048849,1086796,1110871,
I. Von chu so huu,,1052112,1048849,1086796,1110871,
1. Von gop cua chu so huu,,798667,798667,798667,798667,
- Co phieu pho thong co quyen bieu quyet,,,,798667,798667,
- Co phieu uu dai,,,,,,
2. Thang du von co phan,,(160),(160),(160),(160),
3. Quyen chon chuyen doi trai phieu,,,,,,
4. Von khac cua chu so huu,,,,,,
5. Co phieu quy (*),,(11636),(11636),(11636),(11636),
6. Chenh lech danh gia lai tai san,,,,,,
7. Chenh lech ty gia hoi doai,,,,,,
8. Quy dau tu phat trien,,195098,206605,245091,250992,
9. Quy ho tro sap xep doanh nghiep,,,,,,
10. Quy khac thuoc von chu so huu,,,,,,
11. Loi nhuan sau thue chua phan phoi,,45876,28812,54834,73008,
- LNST chua phan phoi luy ke den cuoi ky truoc,,,,,(8952),
- LNST chua phan phoi ky nay,,,,54834,81960,
12. Nguon von dau tu XDCB,,,,,,
13. Loi ich co dong khong kiem soat,,,,,,
14. Quy du phong tai chinh,,24266,26560,,,
II. Nguon kinh phi va quy khac,,,,,,
1. Nguon kinh phi,,,,,,
2. Nguon kinh phi da hinh thanh TSCD,,,,,,
C. LOI ICH CO DONG THIEU SO,,,,,,
TONG CONG NGUON VON,,2237804,2108804,1959967,2076839,
